GEN: 42    BEST FITNESS: 2382653.5350875403       	BEST SCORE: 21   	BEST RATIO: 0.056910569105691054     WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 175048.02679570398       	BEST SCORE: 15   	BEST RATIO: 0.06097560975609756      WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 469799.92994072585       	BEST SCORE: 18   	BEST RATIO: 0.05921052631578947      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 470463.9502831139        	BEST SCORE: 18   	BEST RATIO: 0.06293706293706294      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 757707.7619136107        	BEST SCORE: 19   	BEST RATIO: 0.06440677966101695      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 2387647.7641926706       	BEST SCORE: 21   	BEST RATIO: 0.08108108108108109      WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 1304796.3059756614       	BEST SCORE: 20   	BEST RATIO: 0.05128205128205128      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 67555787.89507905        	BEST SCORE: 26   	BEST RATIO: 0.06074766355140187      WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 4512407.275512429        	BEST SCORE: 22   	BEST RATIO: 0.07006369426751592      WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 17159619.566650633       	BEST SCORE: 24   	BEST RATIO: 0.07430340557275542      WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 4512407.275512429        	BEST SCORE: 22   	BEST RATIO: 0.07006369426751592      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 17157755.098037194       	BEST SCORE: 24   	BEST RATIO: 0.06722689075630252      WON: 0    	WON AVG RATIO: 0                        	
GEN: 54    BEST FITNESS: 17158858.758410044       	BEST SCORE: 24   	BEST RATIO: 0.0712166172106825       WON: 0    	WON AVG RATIO: 0                        	
GEN: 55    BEST FITNESS: 2148136739.6659226       	BEST SCORE: 31   	BEST RATIO: 0.07711442786069651      WON: 0    	WON AVG RATIO: 0                        	
GEN: 56    BEST FITNESS: 537435247.4197645        	BEST SCORE: 29   	BEST RATIO: 0.06728538283062645      WON: 0    	WON AVG RATIO: 0                        	
GEN: 57    BEST FITNESS: 134703544.44142744       	BEST SCORE: 27   	BEST RATIO: 0.06601466992665037      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 67558596.22135928        	BEST SCORE: 26   	BEST RATIO: 0.06770833333333333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 268962205.01291496       	BEST SCORE: 28   	BEST RATIO: 0.07272727272727272      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 268958129.6035209        	BEST SCORE: 28   	BEST RATIO: 0.06320541760722348      WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 537433601.4702287        	BEST SCORE: 29   	BEST RATIO: 0.0640176600441501       WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 134696250.91297117       	BEST SCORE: 27   	BEST RATIO: 0.05252918287937743      WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 1074351097.1848643       	BEST SCORE: 30   	BEST RATIO: 0.07537688442211055      WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 268960889.22001314       	BEST SCORE: 28   	BEST RATIO: 0.06930693069306931      WON: 0    	WON AVG RATIO: 0                        	
GEN: 65    BEST FITNESS: 134698948.4628241        	BEST SCORE: 27   	BEST RATIO: 0.05672268907563025      WON: 0    	WON AVG RATIO: 0                        	
GEN: 66    BEST FITNESS: 1074351774.5177548       	BEST SCORE: 30   	BEST RATIO: 0.07712082262210797      WON: 0    	WON AVG RATIO: 0                        	
