GEN: 26    AVG FITNESS: 0.4217300300675686       	AVG SCORE: 0.459     	AVG RATIO: 0.02781481032602109      	BEST FITNESS: 7.6923076923076925       	BEST SCORE: 8    	BEST RATIO: 0.04                     TOO_OLD: 61      	WON: 0    	
GEN: 27    AVG FITNESS: 0.44510379730842237      	AVG SCORE: 0.482     	AVG RATIO: 0.023084291187739463     	BEST FITNESS: 9.655172413793103        	BEST SCORE: 10   	BEST RATIO: 0.03571428571428571      TOO_OLD: 92      	WON: 0    	
GEN: 28    AVG FITNESS: 0.45277363315694014      	AVG SCORE: 0.49      	AVG RATIO: 0.02173238124805961      	BEST FITNESS: 9.45054945054945         	BEST SCORE: 10   	BEST RATIO: 0.05813953488372093      TOO_OLD: 109     	WON: 0    	
GEN: 29    AVG FITNESS: 0.4785485960127363       	AVG SCORE: 0.512     	AVG RATIO: 0.02097672894133071      	BEST FITNESS: 6.436781609195402        	BEST SCORE: 7    	BEST RATIO: 0.0875                   TOO_OLD: 114     	WON: 0    	
GEN: 30    AVG FITNESS: 0.5589224795807657       	AVG SCORE: 0.599     	AVG RATIO: 0.02161908542967481      	BEST FITNESS: 20.555223880597016       	BEST SCORE: 22   	BEST RATIO: 0.07028753993610223      TOO_OLD: 140     	WON: 0    	
GEN: 31    AVG FITNESS: 0.6201731841216628       	AVG SCORE: 0.665     	AVG RATIO: 0.02240943555181129      	BEST FITNESS: 9.45945945945946         	BEST SCORE: 10   	BEST RATIO: 0.05714285714285714      TOO_OLD: 157     	WON: 0    	
GEN: 32    AVG FITNESS: 0.6384706115031673       	AVG SCORE: 0.683     	AVG RATIO: 0.021822480669691356     	BEST FITNESS: 9.49238578680203         	BEST SCORE: 10   	BEST RATIO: 0.053475935828877004     TOO_OLD: 163     	WON: 0    	
GEN: 33    AVG FITNESS: 0.7600739624273091       	AVG SCORE: 0.811     	AVG RATIO: 0.02370859765545064      	BEST FITNESS: 8.48076923076923         	BEST SCORE: 9    	BEST RATIO: 0.061224489795918366     TOO_OLD: 180     	WON: 0    	
GEN: 34    AVG FITNESS: 0.8111709519335293       	AVG SCORE: 0.861     	AVG RATIO: 0.02446648290756159      	BEST FITNESS: 16.096875                	BEST SCORE: 17   	BEST RATIO: 0.056105610561056105     TOO_OLD: 175     	WON: 0    	
GEN: 35    AVG FITNESS: 0.9613442470426198       	AVG SCORE: 1.026     	AVG RATIO: 0.028130397828530697     	BEST FITNESS: 18.534798534798536       	BEST SCORE: 20   	BEST RATIO: 0.07905138339920949      TOO_OLD: 173     	WON: 0    	
