GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 51    BEST FITNESS: 4295635423.766351        	BEST SCORE: 32   	BEST RATIO: 0.043243243243243246     WON: 0    	
GEN: 52    BEST FITNESS: 8590669511.809391        	BEST SCORE: 33   	BEST RATIO: 0.062381852551984876     WON: 0    	
GEN: 53    BEST FITNESS: 2148136739.6659226       	BEST SCORE: 31   	BEST RATIO: 0.07711442786069651      WON: 0    	
GEN: 54    BEST FITNESS: 68720353605.19669        	BEST SCORE: 36   	BEST RATIO: 0.058823529411764705     WON: 0    	
GEN: 55    BEST FITNESS: 137439870209.31552       	BEST SCORE: 37   	BEST RATIO: 0.05075445816186557      WON: 0    	
GEN: 56    BEST FITNESS: 68720349706.4152         	BEST SCORE: 36   	BEST RATIO: 0.05555555555555555      WON: 0    	
GEN: 57    BEST FITNESS: 137439881771.29315       	BEST SCORE: 37   	BEST RATIO: 0.0589171974522293       WON: 0    	
GEN: 58    BEST FITNESS: 68720355209.52972        	BEST SCORE: 36   	BEST RATIO: 0.06030150753768844      WON: 0    	
GEN: 59    BEST FITNESS: 8590667184.5049          	BEST SCORE: 33   	BEST RATIO: 0.05956678700361011      WON: 0    	
GEN: 60    BEST FITNESS: 274878891082.98517       	BEST SCORE: 38   	BEST RATIO: 0.061389337641357025     WON: 0    	
GEN: 61    BEST FITNESS: 4398047720571.322        	BEST SCORE: 42   	BEST RATIO: 0.060085836909871244     WON: 0    	
GEN: 62    BEST FITNESS: 274878880750.8011        	BEST SCORE: 38   	BEST RATIO: 0.05374823196605375      WON: 0    	
GEN: 63    BEST FITNESS: 34360577276.224075       	BEST SCORE: 35   	BEST RATIO: 0.07352941176470588      WON: 0    	
GEN: 64    BEST FITNESS: 274878885145.47314       	BEST SCORE: 38   	BEST RATIO: 0.056716417910447764     WON: 0    	
GEN: 65    BEST FITNESS: 4398047704147.695        	BEST SCORE: 42   	BEST RATIO: 0.05134474327628362      WON: 0    	
GEN: 66    BEST FITNESS: 4398047717594.429        	BEST SCORE: 42   	BEST RATIO: 0.05825242718446602      WON: 0    	
GEN: 67    BEST FITNESS: 4398047704571.149        	BEST SCORE: 42   	BEST RATIO: 0.051533742331288344     WON: 0    	
GEN: 68    BEST FITNESS: 2199024385421.7466       	BEST SCORE: 41   	BEST RATIO: 0.04904306220095694      WON: 0    	
GEN: 69    BEST FITNESS: 8796094258894.84         	BEST SCORE: 43   	BEST RATIO: 0.045550847457627115     WON: 0    	
GEN: 70    BEST FITNESS: 4398047705557.377        	BEST SCORE: 42   	BEST RATIO: 0.05198019801980198      WON: 0    	
GEN: 71    BEST FITNESS: 4503599629245151.0       	BEST SCORE: 52   	BEST RATIO: 0.056955093099671415     WON: 0    	
GEN: 72    BEST FITNESS: 35184373471052.945       	BEST SCORE: 45   	BEST RATIO: 0.053763440860215055     WON: 0    	
GEN: 73    BEST FITNESS: 140737489851337.3        	BEST SCORE: 47   	BEST RATIO: 0.04835390946502058      WON: 0    	
GEN: 74    BEST FITNESS: 35184373480678.46        	BEST SCORE: 45   	BEST RATIO: 0.05813953488372093      WON: 0    	
GEN: 75    BEST FITNESS: 140737489845684.6        	BEST SCORE: 47   	BEST RATIO: 0.046766169154228855     WON: 0    	
GEN: 76    BEST FITNESS: 562949955068973.0        	BEST SCORE: 49   	BEST RATIO: 0.05343511450381679      WON: 0    	
GEN: 77    BEST FITNESS: 562949955058842.8        	BEST SCORE: 49   	BEST RATIO: 0.050308008213552365     WON: 0    	
GEN: 78    BEST FITNESS: 2251799815437019.5       	BEST SCORE: 51   	BEST RATIO: 0.044270833333333336     WON: 0    	
GEN: 79    BEST FITNESS: 281474978276411.94       	BEST SCORE: 48   	BEST RATIO: 0.049281314168377825     WON: 0    	
GEN: 80    BEST FITNESS: 281474978272726.6        	BEST SCORE: 48   	BEST RATIO: 0.04824120603015075      WON: 0    	
GEN: 81    BEST FITNESS: 1125899908543989.2       	BEST SCORE: 50   	BEST RATIO: 0.04873294346978557      WON: 0    	
GEN: 82    BEST FITNESS: 1125899908514809.0       	BEST SCORE: 50   	BEST RATIO: 0.04240882103477523      WON: 0    	
GEN: 83    BEST FITNESS: 562949955044321.9        	BEST SCORE: 49   	BEST RATIO: 0.046489563567362426     WON: 0    	
GEN: 84    BEST FITNESS: 1125899908515198.2       	BEST SCORE: 50   	BEST RATIO: 0.04248088360237893      WON: 0    	
GEN: 85    BEST FITNESS: 281474978270433.44       	BEST SCORE: 48   	BEST RATIO: 0.047619047619047616     WON: 0    	
GEN: 86    BEST FITNESS: 2251799815465353.5       	BEST SCORE: 51   	BEST RATIO: 0.05069582504970179      WON: 0    	
GEN: 87    BEST FITNESS: 562949955035632.8        	BEST SCORE: 49   	BEST RATIO: 0.04450499545867393      WON: 0    	
GEN: 88    BEST FITNESS: 562949955043219.0        	BEST SCORE: 49   	BEST RATIO: 0.04622641509433962      WON: 0    	
GEN: 89    BEST FITNESS: 9007199256689040.0       	BEST SCORE: 53   	BEST RATIO: 0.0563230605738576       WON: 0    	
GEN: 90    BEST FITNESS: 2251799815436425.5       	BEST SCORE: 51   	BEST RATIO: 0.04415584415584416      WON: 0    	
GEN: 91    BEST FITNESS: 562949955060812.0        	BEST SCORE: 49   	BEST RATIO: 0.05088265835929388      WON: 0    	
GEN: 92    BEST FITNESS: 281474978260453.94       	BEST SCORE: 48   	BEST RATIO: 0.045112781954887216     WON: 0    	
GEN: 93    BEST FITNESS: 4503599629197094.0       	BEST SCORE: 52   	BEST RATIO: 0.044905008635578586     WON: 0    	
GEN: 94    BEST FITNESS: 9007199256695830.0       	BEST SCORE: 53   	BEST RATIO: 0.05849889624724062      WON: 0    	
GEN: 95    BEST FITNESS: 562949955051444.0        	BEST SCORE: 49   	BEST RATIO: 0.04827586206896552      WON: 0    	
GEN: 96    BEST FITNESS: 4503599629204769.0       	BEST SCORE: 52   	BEST RATIO: 0.04642857142857143      WON: 0    	
GEN: 97    BEST FITNESS: 2251799815425853.0       	BEST SCORE: 51   	BEST RATIO: 0.042218543046357616     WON: 0    	
GEN: 98    BEST FITNESS: 4503599629217912.0       	BEST SCORE: 52   	BEST RATIO: 0.04933586337760911      WON: 0    	
GEN: 99    BEST FITNESS: 7.205759404009925e+16    	BEST SCORE: 56   	BEST RATIO: 0.05333333333333334      WON: 0    	
GEN: 100   BEST FITNESS: 1125899908515781.8       	BEST SCORE: 50   	BEST RATIO: 0.04258943781942078      WON: 0    	
GEN: 101   BEST FITNESS: 562949955052713.6        	BEST SCORE: 49   	BEST RATIO: 0.04861111111111111      WON: 0    	
GEN: 102   BEST FITNESS: 2251799815500205.0       	BEST SCORE: 51   	BEST RATIO: 0.06242350061199511      WON: 0    	
GEN: 103   BEST FITNESS: 1.8014398511474584e+16   	BEST SCORE: 54   	BEST RATIO: 0.04838709677419355      WON: 0    	
GEN: 104   BEST FITNESS: 4503599629200133.0       	BEST SCORE: 52   	BEST RATIO: 0.045494313210848646     WON: 0    	
GEN: 105   BEST FITNESS: 70368745621762.92        	BEST SCORE: 46   	BEST RATIO: 0.05281285878300804      WON: 0    	
GEN: 106   BEST FITNESS: 281474978268486.1        	BEST SCORE: 48   	BEST RATIO: 0.047105004906771344     WON: 0    	
GEN: 107   BEST FITNESS: 9007199256672036.0       	BEST SCORE: 53   	BEST RATIO: 0.05160662122687439      WON: 0    	
GEN: 108   BEST FITNESS: 9007199256666806.0       	BEST SCORE: 53   	BEST RATIO: 0.050332383665717        WON: 0    	
GEN: 109   BEST FITNESS: 1125899908540620.5       	BEST SCORE: 50   	BEST RATIO: 0.04789272030651341      WON: 0    	
GEN: 110   BEST FITNESS: 7.205759404013022e+16    	BEST SCORE: 56   	BEST RATIO: 0.06201550387596899      WON: 0    	
GEN: 111   BEST FITNESS: 1.4411518807799302e+17   	BEST SCORE: 57   	BEST RATIO: 0.036585365853658534     WON: 0    	
GEN: 112   BEST FITNESS: 1.801439851144876e+16    	BEST SCORE: 54   	BEST RATIO: 0.043654001616814875     WON: 0    	
GEN: 113   BEST FITNESS: 7.378697629484112e+19    	BEST SCORE: 66   	BEST RATIO: 0.03866432337434095      WON: 0    	
GEN: 114   BEST FITNESS: 2.3058430092162304e+18   	BEST SCORE: 61   	BEST RATIO: 0.04485294117647059      WON: 0    	
GEN: 115   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.041846153846153845     WON: 0    	
GEN: 116   BEST FITNESS: 3.689348814742195e+19    	BEST SCORE: 65   	BEST RATIO: 0.041427660930529        WON: 0    	
GEN: 117   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.043098063710181135     WON: 0    	
GEN: 118   BEST FITNESS: 1.1529215046092828e+18   	BEST SCORE: 60   	BEST RATIO: 0.04285714285714286      WON: 0    	
GEN: 119   BEST FITNESS: 2.3058430092162785e+18   	BEST SCORE: 61   	BEST RATIO: 0.052226027397260275     WON: 0    	
GEN: 120   BEST FITNESS: 7.37869762948412e+19     	BEST SCORE: 66   	BEST RATIO: 0.04700854700854701      WON: 0    	
GEN: 121   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04257907542579075      WON: 0    	
GEN: 122   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04055619930475087      WON: 0    	
GEN: 123   BEST FITNESS: 2.305843009216164e+18    	BEST SCORE: 61   	BEST RATIO: 0.037888198757763975     WON: 0    	
GEN: 124   BEST FITNESS: 9.22337203685744e+18     	BEST SCORE: 63   	BEST RATIO: 0.04010184595798854      WON: 0    	
GEN: 125   BEST FITNESS: 2.882303761539816e+17    	BEST SCORE: 58   	BEST RATIO: 0.0425531914893617       WON: 0    	
GEN: 126   BEST FITNESS: 1.4757395258967943e+20   	BEST SCORE: 67   	BEST RATIO: 0.04087858450274558      WON: 0    	
GEN: 127   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04489544895448955      WON: 0    	
GEN: 128   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.04298356510745891      WON: 0    	
GEN: 129   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.043588123815540114     WON: 0    	
GEN: 130   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.03871319520174482      WON: 0    	
GEN: 131   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.044226044226044224     WON: 0    	
GEN: 132   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04141656662665066      WON: 0    	
GEN: 133   BEST FITNESS: 1.844674407371237e+19    	BEST SCORE: 64   	BEST RATIO: 0.0469208211143695       WON: 0    	
GEN: 134   BEST FITNESS: 1.844674407371233e+19    	BEST SCORE: 64   	BEST RATIO: 0.0425249169435216       WON: 0    	
GEN: 135   BEST FITNESS: 9.223372036857526e+18    	BEST SCORE: 63   	BEST RATIO: 0.05015923566878981      WON: 0    	
GEN: 136   BEST FITNESS: 5.76460752305821e+17     	BEST SCORE: 59   	BEST RATIO: 0.049372384937238493     WON: 0    	
GEN: 137   BEST FITNESS: 4.611686018430012e+18    	BEST SCORE: 62   	BEST RATIO: 0.04509090909090909      WON: 0    	
GEN: 138   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.04004711425206125      WON: 0    	
GEN: 139   BEST FITNESS: 2.8823037615395526e+17   	BEST SCORE: 58   	BEST RATIO: 0.03945578231292517      WON: 0    	
GEN: 140   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.045484508899143045     WON: 0    	
GEN: 141   BEST FITNESS: 7.378697629484112e+19    	BEST SCORE: 66   	BEST RATIO: 0.038869257950530034     WON: 0    	
GEN: 142   BEST FITNESS: 7.378697629484119e+19    	BEST SCORE: 66   	BEST RATIO: 0.045674740484429065     WON: 0    	
GEN: 143   BEST FITNESS: 1.4757395258967936e+20   	BEST SCORE: 67   	BEST RATIO: 0.0359828141783029       WON: 0    	
GEN: 144   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.04752342704149933      WON: 0    	
GEN: 145   BEST FITNESS: 7.378697629484116e+19    	BEST SCORE: 66   	BEST RATIO: 0.04258064516129032      WON: 0    	
GEN: 146   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.044099378881987575     WON: 0    	
GEN: 147   BEST FITNESS: 2.951479051793561e+20    	BEST SCORE: 68   	BEST RATIO: 0.05226748654880861      WON: 0    	
