GEN: 26    AVG FITNESS: 198.4021835212957        	AVG SCORE: 0.195     	AVG RATIO: 0.04094918101637968      	BEST FITNESS: 2999.9303601412403       	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 2       	WON: 0    	
GEN: 27    AVG FITNESS: 218.7082102114935        	AVG SCORE: 0.215     	AVG RATIO: 0.0452155625657203       	BEST FITNESS: 2999.9442964747923       	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 28    AVG FITNESS: 197.30400946997472       	AVG SCORE: 0.194     	AVG RATIO: 0.0406282722513089       	BEST FITNESS: 4901.7748546662315       	BEST SCORE: 5    	BEST RATIO: 0.3333333333333333       TOO_OLD: 1       	WON: 0    	
GEN: 29    AVG FITNESS: 203.5454258838436        	AVG SCORE: 0.2       	AVG RATIO: 0.04149377593360996      	BEST FITNESS: 2999.9442964747923       	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 30    AVG FITNESS: 245.05118813298654       	AVG SCORE: 0.241     	AVG RATIO: 0.04521575984990619      	BEST FITNESS: 2999.9442964747923       	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 31    AVG FITNESS: 242.01190658755084       	AVG SCORE: 0.238     	AVG RATIO: 0.0477432296890672       	BEST FITNESS: 2999.9396514951213       	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 210.52312066853776       	AVG SCORE: 0.207     	AVG RATIO: 0.04110405083399524      	BEST FITNESS: 2999.9257137668897       	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 232.97248548480127       	AVG SCORE: 0.229     	AVG RATIO: 0.043207547169811324     	BEST FITNESS: 2999.911771853364        	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525      TOO_OLD: 1       	WON: 0    	
GEN: 34    AVG FITNESS: 232.68726343136035       	AVG SCORE: 0.229     	AVG RATIO: 0.045965475712565235     	BEST FITNESS: 3960.0557656370343       	BEST SCORE: 4    	BEST RATIO: 0.09523809523809523      TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 244.6414950493528        	AVG SCORE: 0.241     	AVG RATIO: 0.048055832502492526     	BEST FITNESS: 6729.034998622178        	BEST SCORE: 7    	BEST RATIO: 0.0945945945945946       TOO_OLD: 0       	WON: 0    	
GEN: 36    AVG FITNESS: 276.58387947429213       	AVG SCORE: 0.272     	AVG RATIO: 0.05018450184501846      	BEST FITNESS: 3960.274675744211        	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 1       	WON: 0    	
GEN: 37    AVG FITNESS: 300.60368280015575       	AVG SCORE: 0.296     	AVG RATIO: 0.05213103205353998      	BEST FITNESS: 3960.2017708086364       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 1       	WON: 0    	
GEN: 38    AVG FITNESS: 349.2278741156799        	AVG SCORE: 0.345     	AVG RATIO: 0.05807103181282612      	BEST FITNESS: 6729.199577743731        	BEST SCORE: 7    	BEST RATIO: 0.1044776119402985       TOO_OLD: 0       	WON: 0    	
GEN: 39    AVG FITNESS: 347.045339216427         	AVG SCORE: 0.343     	AVG RATIO: 0.0585724043715847       	BEST FITNESS: 7616.493859534541        	BEST SCORE: 8    	BEST RATIO: 0.09411764705882353      TOO_OLD: 0       	WON: 0    	
GEN: 40    AVG FITNESS: 342.94972600001967       	AVG SCORE: 0.338     	AVG RATIO: 0.05582163501238646      	BEST FITNESS: 4901.538950605972        	BEST SCORE: 5    	BEST RATIO: 0.14705882352941177      TOO_OLD: 1       	WON: 0    	
GEN: 41    AVG FITNESS: 359.02016197648607       	AVG SCORE: 0.355     	AVG RATIO: 0.05579129341505579      	BEST FITNESS: 7616.101453321193        	BEST SCORE: 8    	BEST RATIO: 0.08163265306122448      TOO_OLD: 5       	WON: 0    	
GEN: 42    AVG FITNESS: 380.1154064901162        	AVG SCORE: 0.375     	AVG RATIO: 0.05423777842059589      	BEST FITNESS: 4901.227879094429        	BEST SCORE: 5    	BEST RATIO: 0.0847457627118644       TOO_OLD: 4       	WON: 0    	
GEN: 43    AVG FITNESS: 434.96080010702144       	AVG SCORE: 0.431     	AVG RATIO: 0.05843275488069414      	BEST FITNESS: 6729.058516731251        	BEST SCORE: 7    	BEST RATIO: 0.0958904109589041       TOO_OLD: 5       	WON: 0    	
GEN: 44    AVG FITNESS: 466.599419945631         	AVG SCORE: 0.462     	AVG RATIO: 0.061428001595532515     	BEST FITNESS: 6729.645732817205        	BEST SCORE: 7    	BEST RATIO: 0.14583333333333334      TOO_OLD: 5       	WON: 0    	
GEN: 45    AVG FITNESS: 497.6762877977539        	AVG SCORE: 0.493     	AVG RATIO: 0.06033533227267165      	BEST FITNESS: 7616.433521101903        	BEST SCORE: 8    	BEST RATIO: 0.09195402298850575      TOO_OLD: 10      	WON: 0    	
GEN: 46    AVG FITNESS: 635.706232207487         	AVG SCORE: 0.633     	AVG RATIO: 0.06928633975481611      	BEST FITNESS: 8488.666325770078        	BEST SCORE: 9    	BEST RATIO: 0.17647058823529413      TOO_OLD: 4       	WON: 0    	
GEN: 47    AVG FITNESS: 645.7326757723848        	AVG SCORE: 0.644     	AVG RATIO: 0.06248180847967401      	BEST FITNESS: 10998.723849153062       	BEST SCORE: 12   	BEST RATIO: 0.07228915662650602      TOO_OLD: 13      	WON: 0    	
GEN: 48    AVG FITNESS: 694.8279420923432        	AVG SCORE: 0.696     	AVG RATIO: 0.06330725850463889      	BEST FITNESS: 10178.083323248797       	BEST SCORE: 11   	BEST RATIO: 0.08333333333333333      TOO_OLD: 16      	WON: 0    	
GEN: 49    AVG FITNESS: 801.2894573169477        	AVG SCORE: 0.805     	AVG RATIO: 0.06378763866877972      	BEST FITNESS: 11002.077827992352       	BEST SCORE: 12   	BEST RATIO: 0.10619469026548672      TOO_OLD: 20      	WON: 0    	
GEN: 50    AVG FITNESS: 862.0367240568289        	AVG SCORE: 0.864     	AVG RATIO: 0.06232866830183235      	BEST FITNESS: 10177.975047569831       	BEST SCORE: 11   	BEST RATIO: 0.08208955223880597      TOO_OLD: 27      	WON: 0    	
GEN: 51    AVG FITNESS: 984.8596918185602        	AVG SCORE: 0.993     	AVG RATIO: 0.06078227336720328      	BEST FITNESS: 11000.624343297448       	BEST SCORE: 12   	BEST RATIO: 0.08823529411764706      TOO_OLD: 38      	WON: 0    	
GEN: 52    AVG FITNESS: 1089.0136742488678       	AVG SCORE: 1.103     	AVG RATIO: 0.06685658867741544      	BEST FITNESS: 12601.059902234769       	BEST SCORE: 14   	BEST RATIO: 0.1                      TOO_OLD: 25      	WON: 0    	
GEN: 53    AVG FITNESS: 1021.7144873356865       	AVG SCORE: 1.028     	AVG RATIO: 0.06187552666425906      	BEST FITNESS: 11807.600392105434       	BEST SCORE: 13   	BEST RATIO: 0.08904109589041095      TOO_OLD: 30      	WON: 0    	
GEN: 54    AVG FITNESS: 1114.2219638472789       	AVG SCORE: 1.128     	AVG RATIO: 0.05994897959183673      	BEST FITNESS: 14142.744066112422       	BEST SCORE: 16   	BEST RATIO: 0.10062893081761007      TOO_OLD: 43      	WON: 0    	
GEN: 55    AVG FITNESS: 1039.0099738800059       	AVG SCORE: 1.046     	AVG RATIO: 0.058846694796061895     	BEST FITNESS: 10990.812233101842       	BEST SCORE: 12   	BEST RATIO: 0.041379310344827586     TOO_OLD: 27      	WON: 0    	
GEN: 56    AVG FITNESS: 975.8390437505414        	AVG SCORE: 0.981     	AVG RATIO: 0.054234851835471026     	BEST FITNESS: 9339.814522180362        	BEST SCORE: 10   	BEST RATIO: 0.07575757575757576      TOO_OLD: 42      	WON: 0    	
GEN: 57    AVG FITNESS: 1139.6596926487525       	AVG SCORE: 1.159     	AVG RATIO: 0.05874898621248986      	BEST FITNESS: 17741.299413949473       	BEST SCORE: 21   	BEST RATIO: 0.06287425149700598      TOO_OLD: 27      	WON: 0    	
GEN: 58    AVG FITNESS: 1163.6060031703835       	AVG SCORE: 1.179     	AVG RATIO: 0.05292929292929294      	BEST FITNESS: 15628.10852243017        	BEST SCORE: 18   	BEST RATIO: 0.09523809523809523      TOO_OLD: 55      	WON: 0    	
GEN: 59    AVG FITNESS: 1176.9583547739355       	AVG SCORE: 1.189     	AVG RATIO: 0.05795476701111329      	BEST FITNESS: 14140.4359244253         	BEST SCORE: 16   	BEST RATIO: 0.08839779005524862      TOO_OLD: 36      	WON: 0    	
GEN: 60    AVG FITNESS: 1258.1634773487533       	AVG SCORE: 1.276     	AVG RATIO: 0.05958440345552184      	BEST FITNESS: 14892.415017248954       	BEST SCORE: 17   	BEST RATIO: 0.09883720930232558      TOO_OLD: 37      	WON: 0    	
GEN: 61    AVG FITNESS: 1274.813528080374        	AVG SCORE: 1.293     	AVG RATIO: 0.05927657818731949      	BEST FITNESS: 12600.478416336275       	BEST SCORE: 14   	BEST RATIO: 0.09523809523809523      TOO_OLD: 39      	WON: 0    	
GEN: 62    AVG FITNESS: 1413.347688769565        	AVG SCORE: 1.436     	AVG RATIO: 0.05916282135794331      	BEST FITNESS: 12600.893801066168       	BEST SCORE: 14   	BEST RATIO: 0.09859154929577464      TOO_OLD: 48      	WON: 0    	
GEN: 63    AVG FITNESS: 1448.9136384311294       	AVG SCORE: 1.475     	AVG RATIO: 0.06244179155024977      	BEST FITNESS: 15627.209550865557       	BEST SCORE: 18   	BEST RATIO: 0.09183673469387756      TOO_OLD: 41      	WON: 0    	
GEN: 64    AVG FITNESS: 1508.211594976521        	AVG SCORE: 1.536     	AVG RATIO: 0.05846973734297678      	BEST FITNESS: 14881.6647087455         	BEST SCORE: 17   	BEST RATIO: 0.06439393939393939      TOO_OLD: 51      	WON: 0    	
GEN: 65    AVG FITNESS: 1587.889451583301        	AVG SCORE: 1.62      	AVG RATIO: 0.062197650310988256     	BEST FITNESS: 15617.801567140927       	BEST SCORE: 18   	BEST RATIO: 0.06691449814126393      TOO_OLD: 42      	WON: 0    	
GEN: 66    AVG FITNESS: 1689.811949096234        	AVG SCORE: 1.736     	AVG RATIO: 0.05884147374843236      	BEST FITNESS: 15618.577104669304       	BEST SCORE: 18   	BEST RATIO: 0.06844106463878327      TOO_OLD: 53      	WON: 0    	
GEN: 67    AVG FITNESS: 1551.2313825880037       	AVG SCORE: 1.583     	AVG RATIO: 0.055594577509306735     	BEST FITNESS: 17048.707469150922       	BEST SCORE: 20   	BEST RATIO: 0.06734006734006734      TOO_OLD: 60      	WON: 0    	
GEN: 68    AVG FITNESS: 1460.4973052268854       	AVG SCORE: 1.488     	AVG RATIO: 0.05129796256076119      	BEST FITNESS: 15615.342995028745       	BEST SCORE: 18   	BEST RATIO: 0.0625                   TOO_OLD: 79      	WON: 0    	
GEN: 69    AVG FITNESS: 1531.8123966220487       	AVG SCORE: 1.564     	AVG RATIO: 0.05596307295953054      	BEST FITNESS: 15625.924347970027       	BEST SCORE: 18   	BEST RATIO: 0.08737864077669903      TOO_OLD: 59      	WON: 0    	
GEN: 70    AVG FITNESS: 1714.2582176075061       	AVG SCORE: 1.757     	AVG RATIO: 0.050443570382705055     	BEST FITNESS: 16346.479739451113       	BEST SCORE: 19   	BEST RATIO: 0.08085106382978724      TOO_OLD: 96      	WON: 0    	
GEN: 71    AVG FITNESS: 1720.5637116282383       	AVG SCORE: 1.769     	AVG RATIO: 0.04524412389063659      	BEST FITNESS: 13376.54958078694        	BEST SCORE: 15   	BEST RATIO: 0.08571428571428572      TOO_OLD: 144     	WON: 0    	
GEN: 72    AVG FITNESS: 2288.359928776076        	AVG SCORE: 2.382     	AVG RATIO: 0.047021200994907024     	BEST FITNESS: 21021.62108526283        	BEST SCORE: 26   	BEST RATIO: 0.05241935483870968      TOO_OLD: 178     	WON: 0    	
GEN: 73    AVG FITNESS: 2306.933819996913        	AVG SCORE: 2.393     	AVG RATIO: 0.046984214246446235     	BEST FITNESS: 18427.35174920299        	BEST SCORE: 22   	BEST RATIO: 0.06547619047619048      TOO_OLD: 184     	WON: 0    	
GEN: 74    AVG FITNESS: 2062.287848785812        	AVG SCORE: 2.136     	AVG RATIO: 0.04072372309393529      	BEST FITNESS: 20356.15525325098        	BEST SCORE: 25   	BEST RATIO: 0.04091653027823241      TOO_OLD: 223     	WON: 0    	
GEN: 75    AVG FITNESS: 2241.2396782339893       	AVG SCORE: 2.329     	AVG RATIO: 0.042407137654770576     	BEST FITNESS: 18433.686364368215       	BEST SCORE: 22   	BEST RATIO: 0.07308970099667775      TOO_OLD: 215     	WON: 0    	
GEN: 76    AVG FITNESS: 2408.0412648013953       	AVG SCORE: 2.503     	AVG RATIO: 0.0421288270243886       	BEST FITNESS: 19094.91979951296        	BEST SCORE: 23   	BEST RATIO: 0.06166219839142091      TOO_OLD: 231     	WON: 0    	
GEN: 77    AVG FITNESS: 2345.489727806641        	AVG SCORE: 2.436     	AVG RATIO: 0.04365669635656553      	BEST FITNESS: 19107.585143360408       	BEST SCORE: 23   	BEST RATIO: 0.07467532467532467      TOO_OLD: 204     	WON: 0    	
GEN: 78    AVG FITNESS: 2538.166688139777        	AVG SCORE: 2.644     	AVG RATIO: 0.044272533949532        	BEST FITNESS: 17758.524929272324       	BEST SCORE: 21   	BEST RATIO: 0.09090909090909091      TOO_OLD: 217     	WON: 0    	
GEN: 79    AVG FITNESS: 2224.2210284380876       	AVG SCORE: 2.318     	AVG RATIO: 0.03881836755199786      	BEST FITNESS: 19774.772366235517       	BEST SCORE: 24   	BEST RATIO: 0.0821917808219178       TOO_OLD: 244     	WON: 0    	
GEN: 80    AVG FITNESS: 2482.955590093908        	AVG SCORE: 2.597     	AVG RATIO: 0.04150020774073956      	BEST FITNESS: 22313.507369441577       	BEST SCORE: 28   	BEST RATIO: 0.08484848484848485      TOO_OLD: 238     	WON: 0    	
GEN: 81    AVG FITNESS: 2566.42726840852         	AVG SCORE: 2.694     	AVG RATIO: 0.042394485884241336     	BEST FITNESS: 19759.767344898042       	BEST SCORE: 24   	BEST RATIO: 0.06593406593406594      TOO_OLD: 230     	WON: 0    	
GEN: 82    AVG FITNESS: 2417.7424425244453       	AVG SCORE: 2.52      	AVG RATIO: 0.040429969517086474     	BEST FITNESS: 16338.273224004368       	BEST SCORE: 19   	BEST RATIO: 0.06484641638225255      TOO_OLD: 233     	WON: 0    	
GEN: 83    AVG FITNESS: 2558.7980431016676       	AVG SCORE: 2.68      	AVG RATIO: 0.043043911213902546     	BEST FITNESS: 18441.623158502254       	BEST SCORE: 22   	BEST RATIO: 0.08560311284046693      TOO_OLD: 218     	WON: 0    	
GEN: 84    AVG FITNESS: 2676.389687641156        	AVG SCORE: 2.802     	AVG RATIO: 0.043672069825436415     	BEST FITNESS: 19112.24402856482        	BEST SCORE: 23   	BEST RATIO: 0.08098591549295775      TOO_OLD: 225     	WON: 0    	
GEN: 85    AVG FITNESS: 2777.338704380156        	AVG SCORE: 2.934     	AVG RATIO: 0.04530224658380298      	BEST FITNESS: 20404.003785065655       	BEST SCORE: 25   	BEST RATIO: 0.06265664160401002      TOO_OLD: 213     	WON: 0    	
GEN: 86    AVG FITNESS: 2681.3765594310894       	AVG SCORE: 2.815     	AVG RATIO: 0.04420817890571015      	BEST FITNESS: 22306.32818085561        	BEST SCORE: 28   	BEST RATIO: 0.0784313725490196       TOO_OLD: 216     	WON: 0    	
GEN: 87    AVG FITNESS: 2821.3367519141316       	AVG SCORE: 2.954     	AVG RATIO: 0.04697986577181208      	BEST FITNESS: 18441.08295596878        	BEST SCORE: 22   	BEST RATIO: 0.08461538461538462      TOO_OLD: 176     	WON: 0    	
GEN: 88    AVG FITNESS: 2988.7091386409925       	AVG SCORE: 3.165     	AVG RATIO: 0.047486159247423144     	BEST FITNESS: 21065.900438430817       	BEST SCORE: 26   	BEST RATIO: 0.08387096774193549      TOO_OLD: 182     	WON: 0    	
GEN: 89    AVG FITNESS: 3203.9799764630625       	AVG SCORE: 3.412     	AVG RATIO: 0.04813769751693003      	BEST FITNESS: 22911.08569302091        	BEST SCORE: 29   	BEST RATIO: 0.07671957671957672      TOO_OLD: 198     	WON: 0    	
GEN: 90    AVG FITNESS: 3373.232348888264        	AVG SCORE: 3.6       	AVG RATIO: 0.046840235762520006     	BEST FITNESS: 21663.95993615587        	BEST SCORE: 27   	BEST RATIO: 0.060948081264108354     TOO_OLD: 226     	WON: 0    	
GEN: 91    AVG FITNESS: 3292.33913965881         	AVG SCORE: 3.501     	AVG RATIO: 0.046299112633402535     	BEST FITNESS: 22284.42795698654        	BEST SCORE: 28   	BEST RATIO: 0.06378132118451026      TOO_OLD: 224     	WON: 0    	
GEN: 92    AVG FITNESS: 3361.4907536829523       	AVG SCORE: 3.576     	AVG RATIO: 0.047444674414902084     	BEST FITNESS: 21663.45317437305        	BEST SCORE: 27   	BEST RATIO: 0.060674157303370786     TOO_OLD: 220     	WON: 0    	
GEN: 93    AVG FITNESS: 3233.864291716279        	AVG SCORE: 3.438     	AVG RATIO: 0.04731691875748359      	BEST FITNESS: 26840.585867585305       	BEST SCORE: 36   	BEST RATIO: 0.061224489795918366     TOO_OLD: 211     	WON: 0    	
GEN: 94    AVG FITNESS: 3366.025381377131        	AVG SCORE: 3.597     	AVG RATIO: 0.0483656263866292       	BEST FITNESS: 22848.615945229496       	BEST SCORE: 29   	BEST RATIO: 0.048494983277591976     TOO_OLD: 203     	WON: 0    	
