GEN: 28    AVG SCORE: 0.9854545454545455    	AVG RATIO: 0.03242430714807246   	BEST SCORE: 18   	BEST RATIO: 0.08071748878923767   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 29    AVG SCORE: 0.9781818181818182    	AVG RATIO: 0.03782654037356335   	BEST SCORE: 18   	BEST RATIO: 0.05084745762711865   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 30    AVG SCORE: 1.0272727272727273    	AVG RATIO: 0.03416848312795246   	BEST SCORE: 24   	BEST RATIO: 0.0507399577167019    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 31    AVG SCORE: 1.5745454545454545    	AVG RATIO: 0.03408911192846077   	BEST SCORE: 23   	BEST RATIO: 0.06497175141242938   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 32    AVG SCORE: 1.680909090909091     	AVG RATIO: 0.031223187170570644  	BEST SCORE: 26   	BEST RATIO: 0.05241935483870968   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 33    AVG SCORE: 2.036363636363636     	AVG RATIO: 0.03380820564988032   	BEST SCORE: 24   	BEST RATIO: 0.05194805194805195   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 34    AVG SCORE: 1.7545454545454546    	AVG RATIO: 0.033188737804409715  	BEST SCORE: 25   	BEST RATIO: 0.05197505197505198   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 35    AVG SCORE: 1.8745454545454545    	AVG RATIO: 0.033630505168214885  	BEST SCORE: 27   	BEST RATIO: 0.05325443786982249   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 36    AVG SCORE: 1.7845454545454544    	AVG RATIO: 0.029577036509999745  	BEST SCORE: 28   	BEST RATIO: 0.04416403785488959   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 37    AVG SCORE: 1.99                  	AVG RATIO: 0.030465999384416964  	BEST SCORE: 26   	BEST RATIO: 0.044596912521440824  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 38    AVG SCORE: 1.960909090909091     	AVG RATIO: 0.03309216377644859   	BEST SCORE: 28   	BEST RATIO: 0.06334841628959276   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 39    AVG SCORE: 2.3345454545454545    	AVG RATIO: 0.031327388808812605  	BEST SCORE: 25   	BEST RATIO: 0.057208237986270026  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 40    AVG SCORE: 2.232727272727273     	AVG RATIO: 0.032283585134271243  	BEST SCORE: 26   	BEST RATIO: 0.05639913232104121   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 41    AVG SCORE: 2.0881818181818184    	AVG RATIO: 0.03076810240421411   	BEST SCORE: 27   	BEST RATIO: 0.058695652173913045  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 42    AVG SCORE: 2.4890909090909092    	AVG RATIO: 0.03052633987412582   	BEST SCORE: 27   	BEST RATIO: 0.05421686746987952   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 43    AVG SCORE: 2.3                   	AVG RATIO: 0.03591665104998161   	BEST SCORE: 28   	BEST RATIO: 0.06896551724137931   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 44    AVG SCORE: 2.3527272727272726    	AVG RATIO: 0.03538806984407887   	BEST SCORE: 28   	BEST RATIO: 0.06845965770171149   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 45    AVG SCORE: 2.518181818181818     	AVG RATIO: 0.03099742086110103   	BEST SCORE: 28   	BEST RATIO: 0.05970149253731343   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 46    AVG SCORE: 2.5854545454545454    	AVG RATIO: 0.032617092857850555  	BEST SCORE: 28   	BEST RATIO: 0.06511627906976744   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 47    AVG SCORE: 2.5                   	AVG RATIO: 0.033044023726602874  	BEST SCORE: 27   	BEST RATIO: 0.04679376083188908   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 48    AVG SCORE: 2.5872727272727274    	AVG RATIO: 0.032024365831444364  	BEST SCORE: 29   	BEST RATIO: 0.06345733041575492   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 49    AVG SCORE: 2.748181818181818     	AVG RATIO: 0.03428493230362404   	BEST SCORE: 29   	BEST RATIO: 0.05708661417322835   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 50    AVG SCORE: 3.188181818181818     	AVG RATIO: 0.036273820876231794  	BEST SCORE: 30   	BEST RATIO: 0.06072874493927125   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 51    AVG SCORE: 3.05                  	AVG RATIO: 0.034980479379350206  	BEST SCORE: 31   	BEST RATIO: 0.06224899598393574   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 52    AVG SCORE: 3.3254545454545457    	AVG RATIO: 0.03922287392971615   	BEST SCORE: 32   	BEST RATIO: 0.06625258799171843   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
