GEN: 23    AVG FITNESS: 101.8655957296272     	AVG SCORE: 0.1509090909090909    	AVG RATIO: 0.021939810676596172  	BEST FITNESS: 5024.719635813122     	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 24    AVG FITNESS: 69.22585041861397     	AVG SCORE: 0.11272727272727273   	AVG RATIO: 0.01950478253725509   	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 25    AVG FITNESS: 80.74900296794715     	AVG SCORE: 0.12818181818181817   	AVG RATIO: 0.02008232436013184   	BEST FITNESS: 2149.249528362592     	BEST SCORE: 2    	BEST RATIO: 0.5                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 26    AVG FITNESS: 92.79909738321723     	AVG SCORE: 0.1409090909090909    	AVG RATIO: 0.02071393323504215   	BEST FITNESS: 5027.633040365744     	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	
GEN: 27    AVG FITNESS: 89.51858288748369     	AVG SCORE: 0.13454545454545455   	AVG RATIO: 0.018659656223158887  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 28    AVG FITNESS: 104.51996808602767    	AVG SCORE: 0.14363636363636365   	AVG RATIO: 0.023439874000034413  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 29    AVG FITNESS: 107.9106055701655     	AVG SCORE: 0.16727272727272727   	AVG RATIO: 0.023346951677024844  	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 30    AVG FITNESS: 96.48221614453594     	AVG SCORE: 0.14272727272727273   	AVG RATIO: 0.020688903158876903  	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 31    AVG FITNESS: 102.97675950287542    	AVG SCORE: 0.14909090909090908   	AVG RATIO: 0.024162604633688804  	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 32    AVG FITNESS: 88.15093969758182     	AVG SCORE: 0.13727272727272727   	AVG RATIO: 0.02055736520609515   	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 33    AVG FITNESS: 104.83012094923171    	AVG SCORE: 0.15                  	AVG RATIO: 0.02362816116397596   	BEST FITNESS: 9192.68633409604      	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
