GEN: 35    BEST FITNESS: 10.574257425742575       	BEST SCORE: 12   	BEST RATIO: 0.1348314606741573       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 36    BEST FITNESS: 15.478947368421053       	BEST SCORE: 17   	BEST RATIO: 0.09826589595375723      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 37    BEST FITNESS: 9.090909090909092        	BEST SCORE: 10   	BEST RATIO: 0.1                      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 38    BEST FITNESS: 20.825242718446603       	BEST SCORE: 22   	BEST RATIO: 0.05641025641025641      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 39    BEST FITNESS: 11.152941176470588       	BEST SCORE: 12   	BEST RATIO: 0.0759493670886076       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 40    BEST FITNESS: 14.154135338345865       	BEST SCORE: 15   	BEST RATIO: 0.05976095617529881      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 41    BEST FITNESS: 11.064935064935066       	BEST SCORE: 12   	BEST RATIO: 0.08450704225352113      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 42    BEST FITNESS: 11.7                     	BEST SCORE: 13   	BEST RATIO: 0.1111111111111111       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 43    BEST FITNESS: 13.015075376884422       	BEST SCORE: 14   	BEST RATIO: 0.07567567567567568      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 44    BEST FITNESS: 10.866141732283465       	BEST SCORE: 12   	BEST RATIO: 0.10434782608695652      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 45    BEST FITNESS: 14.439024390243903       	BEST SCORE: 16   	BEST RATIO: 0.10810810810810811      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 46    BEST FITNESS: 11.96951219512195        	BEST SCORE: 13   	BEST RATIO: 0.08609271523178808      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 47    BEST FITNESS: 14.659685863874346       	BEST SCORE: 16   	BEST RATIO: 0.09142857142857143      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 48    BEST FITNESS: 14.89051094890511        	BEST SCORE: 17   	BEST RATIO: 0.14166666666666666      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 49    BEST FITNESS: 16.294736842105262       	BEST SCORE: 18   	BEST RATIO: 0.10465116279069768      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 50    BEST FITNESS: 20.047516198704102       	BEST SCORE: 21   	BEST RATIO: 0.04751131221719457      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 51    BEST FITNESS: 21.06743737957611        	BEST SCORE: 22   	BEST RATIO: 0.04426559356136821      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
