GEN: 14    AVG FITNESS: 78.74005328206523     	AVG SCORE: 0.12181818181818181   	AVG RATIO: 0.01815711047247776   	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 15    AVG FITNESS: 81.36663619499778     	AVG SCORE: 0.12454545454545454   	AVG RATIO: 0.018581263656129957  	BEST FITNESS: 2149.9540739565236    	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 16    AVG FITNESS: 107.50560732192896    	AVG SCORE: 0.16090909090909092   	AVG RATIO: 0.024223149124900853  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 17    AVG FITNESS: 89.98238497562421     	AVG SCORE: 0.13727272727272727   	AVG RATIO: 0.018015275142543932  	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 18    AVG FITNESS: 116.44210782490939    	AVG SCORE: 0.17545454545454545   	AVG RATIO: 0.025981560325248742  	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 19    AVG FITNESS: 110.57010677587259    	AVG SCORE: 0.1590909090909091    	AVG RATIO: 0.022291034838649217  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 20    AVG FITNESS: 118.4081587263382     	AVG SCORE: 0.16090909090909092   	AVG RATIO: 0.022013696919304843  	BEST FITNESS: 9189.58683997628      	BEST SCORE: 4    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 21    AVG FITNESS: 132.6335077469778     	AVG SCORE: 0.19                  	AVG RATIO: 0.02588030998168174   	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 22    AVG FITNESS: 137.2117401938622     	AVG SCORE: 0.20363636363636364   	AVG RATIO: 0.02939123543356494   	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 23    AVG FITNESS: 130.3409529505729     	AVG SCORE: 0.19636363636363635   	AVG RATIO: 0.025203720287593063  	BEST FITNESS: 5016.170998995946     	BEST SCORE: 3    	BEST RATIO: 0.125                 WON: 0    	WON AVG RATIO: 0                     	
GEN: 24    AVG FITNESS: 109.16228763846921    	AVG SCORE: 0.17272727272727273   	AVG RATIO: 0.027172834311449554  	BEST FITNESS: 2149.476355007297     	BEST SCORE: 2    	BEST RATIO: 0.4                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 25    AVG FITNESS: 101.87661823798591    	AVG SCORE: 0.15545454545454546   	AVG RATIO: 0.02267685014035282   	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 26    AVG FITNESS: 135.29318569812477    	AVG SCORE: 0.20363636363636364   	AVG RATIO: 0.0266553126815018    	BEST FITNESS: 5018.2761625849325    	BEST SCORE: 3    	BEST RATIO: 0.13636363636363635   WON: 0    	WON AVG RATIO: 0                     	
GEN: 27    AVG FITNESS: 131.5846322522349     	AVG SCORE: 0.18636363636363637   	AVG RATIO: 0.024305038989530955  	BEST FITNESS: 5024.719635813122     	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 28    AVG FITNESS: 160.99511988686135    	AVG SCORE: 0.22727272727272727   	AVG RATIO: 0.029203708867449853  	BEST FITNESS: 9169.408691482031     	BEST SCORE: 4    	BEST RATIO: 0.14814814814814814   WON: 0    	WON AVG RATIO: 0                     	
GEN: 29    AVG FITNESS: 140.18190079410726    	AVG SCORE: 0.20272727272727273   	AVG RATIO: 0.02524245968288968   	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 30    AVG FITNESS: 171.6012304208152     	AVG SCORE: 0.23545454545454544   	AVG RATIO: 0.027411172554436685  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 31    AVG FITNESS: 142.3531235421595     	AVG SCORE: 0.20272727272727273   	AVG RATIO: 0.02469770290245789   	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 32    AVG FITNESS: 169.60949770225707    	AVG SCORE: 0.22727272727272727   	AVG RATIO: 0.028161909427790614  	BEST FITNESS: 9184.57636729794      	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367   WON: 0    	WON AVG RATIO: 0                     	
GEN: 33    AVG FITNESS: 150.62183260346876    	AVG SCORE: 0.21454545454545454   	AVG RATIO: 0.02775847524646244   	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 34    AVG FITNESS: 127.98371751321548    	AVG SCORE: 0.18545454545454546   	AVG RATIO: 0.02421252697094941   	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
