GEN: 26    AVG FITNESS: 6313.3333333333385       	AVG SCORE: 0.113     	AVG RATIO: 0.029138731304796286     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 27    AVG FITNESS: 6250.8333333333385       	AVG SCORE: 0.108     	AVG RATIO: 0.026335040234089245     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 28    AVG FITNESS: 6220.833333333341        	AVG SCORE: 0.105     	AVG RATIO: 0.025691216050893077     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 1       	WON: 0    	
GEN: 29    AVG FITNESS: 6330.5000000000055       	AVG SCORE: 0.115     	AVG RATIO: 0.029540200359619833     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 30    AVG FITNESS: 6409.166666666676        	AVG SCORE: 0.121     	AVG RATIO: 0.029234114520415556     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 31    AVG FITNESS: 6622.166666666673        	AVG SCORE: 0.14      	AVG RATIO: 0.035934291581108835     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 6588.833333333341        	AVG SCORE: 0.137     	AVG RATIO: 0.03502940424443877      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 6797.166666666676        	AVG SCORE: 0.155     	AVG RATIO: 0.03902316213494461      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 34    AVG FITNESS: 6540.166666666672        	AVG SCORE: 0.133     	AVG RATIO: 0.03327495621716287      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 6425.500000000005        	AVG SCORE: 0.123     	AVG RATIO: 0.029695799130854655     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 1       	WON: 0    	
GEN: 36    AVG FITNESS: 6413.333333333337        	AVG SCORE: 0.122     	AVG RATIO: 0.027981651376146787     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 2       	WON: 0    	
GEN: 37    AVG FITNESS: 6904.333333333343        	AVG SCORE: 0.165     	AVG RATIO: 0.03818560518398519      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 1       	WON: 0    	
