GEN: 30    AVG FITNESS: 575.5930172773155        	AVG SCORE: 0.148     	AVG RATIO: 0.00439978595635888      	BEST SCORE: 2    	BEST RATIO: 0.018691588785046728     TOO_OLD: 293     	WON: 0    	
GEN: 31    AVG FITNESS: 660.1842125852511        	AVG SCORE: 0.12      	AVG RATIO: 0.0031088082901554403    	BEST SCORE: 2    	BEST RATIO: 0.018018018018018018     TOO_OLD: 347     	WON: 0    	
GEN: 32    AVG FITNESS: 681.8324975815055        	AVG SCORE: 0.111     	AVG RATIO: 0.0027570789865871835    	BEST SCORE: 2    	BEST RATIO: 0.017699115044247787     TOO_OLD: 370     	WON: 0    	
GEN: 33    AVG FITNESS: 695.5096968015736        	AVG SCORE: 0.101     	AVG RATIO: 0.002413323457026117     	BEST SCORE: 2    	BEST RATIO: 0.017543859649122806     TOO_OLD: 391     	WON: 0    	
GEN: 34    AVG FITNESS: 547.4296718147365        	AVG SCORE: 0.127     	AVG RATIO: 0.0034398699891657635    	BEST SCORE: 2    	BEST RATIO: 0.01834862385321101      TOO_OLD: 336     	WON: 0    	
GEN: 35    AVG FITNESS: 572.5355414166049        	AVG SCORE: 0.166     	AVG RATIO: 0.004301186712960564     	BEST SCORE: 5    	BEST RATIO: 0.08928571428571429      TOO_OLD: 345     	WON: 0    	
GEN: 36    AVG FITNESS: 810.3091586032614        	AVG SCORE: 0.182     	AVG RATIO: 0.004957642123614175     	BEST SCORE: 2    	BEST RATIO: 0.016129032258064516     TOO_OLD: 322     	WON: 0    	
GEN: 37    AVG FITNESS: 1972.4994656925921       	AVG SCORE: 0.242     	AVG RATIO: 0.007196169972345298     	BEST SCORE: 4    	BEST RATIO: 0.03125                  TOO_OLD: 281     	WON: 0    	
GEN: 38    AVG FITNESS: 1545.9809331063982       	AVG SCORE: 0.223     	AVG RATIO: 0.0067614687244170885    	BEST SCORE: 3    	BEST RATIO: 0.01935483870967742      TOO_OLD: 276     	WON: 0    	
GEN: 39    AVG FITNESS: 12708.561498185723       	AVG SCORE: 0.302     	AVG RATIO: 0.009636555091100545     	BEST SCORE: 9    	BEST RATIO: 0.04712041884816754      TOO_OLD: 245     	WON: 0    	
GEN: 40    AVG FITNESS: 4464.018644529551        	AVG SCORE: 0.432     	AVG RATIO: 0.012783712603201847     	BEST SCORE: 6    	BEST RATIO: 0.04918032786885246      TOO_OLD: 249     	WON: 0    	
GEN: 41    AVG FITNESS: 6693.506534180921        	AVG SCORE: 0.426     	AVG RATIO: 0.014354550662128922     	BEST SCORE: 7    	BEST RATIO: 0.058333333333333334     TOO_OLD: 204     	WON: 0    	
GEN: 42    AVG FITNESS: 14446.48621168039        	AVG SCORE: 0.514     	AVG RATIO: 0.01988394584139265      	BEST SCORE: 8    	BEST RATIO: 0.06779661016949153      TOO_OLD: 147     	WON: 0    	
GEN: 43    AVG FITNESS: 37267.87209065142        	AVG SCORE: 0.618     	AVG RATIO: 0.021655336743990467     	BEST SCORE: 9    	BEST RATIO: 0.05142857142857143      TOO_OLD: 155     	WON: 0    	
GEN: 44    AVG FITNESS: 29298.106542399903       	AVG SCORE: 0.692     	AVG RATIO: 0.02960427807486631      	BEST SCORE: 9    	BEST RATIO: 0.049723756906077346     TOO_OLD: 97      	WON: 0    	
GEN: 45    AVG FITNESS: 452921.45866730483       	AVG SCORE: 0.795     	AVG RATIO: 0.02719343252950231      	BEST SCORE: 12   	BEST RATIO: 0.03582089552238806      TOO_OLD: 127     	WON: 0    	
GEN: 46    AVG FITNESS: 141187.72767312793       	AVG SCORE: 0.71      	AVG RATIO: 0.02459811529933481      	BEST SCORE: 11   	BEST RATIO: 0.043137254901960784     TOO_OLD: 130     	WON: 0    	
GEN: 47    AVG FITNESS: 269661.4277796478        	AVG SCORE: 0.854     	AVG RATIO: 0.024220766329164183     	BEST SCORE: 14   	BEST RATIO: 0.054901960784313725     TOO_OLD: 166     	WON: 0    	
GEN: 48    AVG FITNESS: 437788.79750682425       	AVG SCORE: 0.982     	AVG RATIO: 0.025865929145265372     	BEST SCORE: 12   	BEST RATIO: 0.03498542274052478      TOO_OLD: 175     	WON: 0    	
GEN: 49    AVG FITNESS: 949010.362780711         	AVG SCORE: 1.208     	AVG RATIO: 0.03128399026259906      	BEST SCORE: 15   	BEST RATIO: 0.04120879120879121      TOO_OLD: 133     	WON: 0    	
GEN: 50    AVG FITNESS: 1446694.8848306362       	AVG SCORE: 1.438     	AVG RATIO: 0.034094411646157854     	BEST SCORE: 18   	BEST RATIO: 0.05421686746987952      TOO_OLD: 112     	WON: 0    	
GEN: 51    AVG FITNESS: 2373990.704041271        	AVG SCORE: 1.602     	AVG RATIO: 0.03497587494268935      	BEST SCORE: 17   	BEST RATIO: 0.047619047619047616     TOO_OLD: 114     	WON: 0    	
GEN: 52    AVG FITNESS: 2277731.1897158194       	AVG SCORE: 1.632     	AVG RATIO: 0.038743679225126414     	BEST SCORE: 22   	BEST RATIO: 0.053268765133171914     TOO_OLD: 86      	WON: 0    	
GEN: 53    AVG FITNESS: 3189128.8492772635       	AVG SCORE: 1.638     	AVG RATIO: 0.0388602880121468       	BEST SCORE: 18   	BEST RATIO: 0.045                    TOO_OLD: 83      	WON: 0    	
GEN: 54    AVG FITNESS: 2264215.0204806966       	AVG SCORE: 1.728     	AVG RATIO: 0.03775728706900319      	BEST SCORE: 22   	BEST RATIO: 0.06376811594202898      TOO_OLD: 104     	WON: 0    	
GEN: 55    AVG FITNESS: 4329685.743774271        	AVG SCORE: 1.688     	AVG RATIO: 0.03900905897578111      	BEST SCORE: 23   	BEST RATIO: 0.05066079295154185      TOO_OLD: 91      	WON: 0    	
GEN: 56    AVG FITNESS: 3535444.1080099964       	AVG SCORE: 1.644     	AVG RATIO: 0.04097502617018094      	BEST SCORE: 21   	BEST RATIO: 0.05817174515235457      TOO_OLD: 64      	WON: 0    	
GEN: 57    AVG FITNESS: 5311565.218958695        	AVG SCORE: 1.825     	AVG RATIO: 0.04041455366831278      	BEST SCORE: 20   	BEST RATIO: 0.046948356807511735     TOO_OLD: 70      	WON: 0    	
GEN: 58    AVG FITNESS: 2867220.7393548265       	AVG SCORE: 1.868     	AVG RATIO: 0.04226435585320603      	BEST SCORE: 18   	BEST RATIO: 0.05642633228840126      TOO_OLD: 80      	WON: 0    	
GEN: 59    AVG FITNESS: 3937385.7704297486       	AVG SCORE: 1.919     	AVG RATIO: 0.04218787785521138      	BEST SCORE: 18   	BEST RATIO: 0.05027932960893855      TOO_OLD: 68      	WON: 0    	
GEN: 60    AVG FITNESS: 3741689.2907360876       	AVG SCORE: 1.958     	AVG RATIO: 0.037983278046130865     	BEST SCORE: 17   	BEST RATIO: 0.03908045977011494      TOO_OLD: 114     	WON: 0    	
GEN: 61    AVG FITNESS: 5143433.171698403        	AVG SCORE: 1.909     	AVG RATIO: 0.03804001275306871      	BEST SCORE: 17   	BEST RATIO: 0.035789473684210524     TOO_OLD: 110     	WON: 0    	
GEN: 62    AVG FITNESS: 5067923.435192498        	AVG SCORE: 2.001     	AVG RATIO: 0.03816808453820623      	BEST SCORE: 17   	BEST RATIO: 0.04748603351955307      TOO_OLD: 109     	WON: 0    	
GEN: 63    AVG FITNESS: 5805151.5134210475       	AVG SCORE: 1.905     	AVG RATIO: 0.03471715993585071      	BEST SCORE: 23   	BEST RATIO: 0.05021834061135371      TOO_OLD: 141     	WON: 0    	
GEN: 64    AVG FITNESS: 9058244.02354408         	AVG SCORE: 2.051     	AVG RATIO: 0.03531092899938021      	BEST SCORE: 23   	BEST RATIO: 0.03605015673981191      TOO_OLD: 151     	WON: 0    	
GEN: 65    AVG FITNESS: 20347107.64676352        	AVG SCORE: 2.717     	AVG RATIO: 0.0364952718676123       	BEST SCORE: 27   	BEST RATIO: 0.046875                 TOO_OLD: 160     	WON: 0    	
GEN: 66    AVG FITNESS: 18502375.916066434       	AVG SCORE: 2.945     	AVG RATIO: 0.03758151168280949      	BEST SCORE: 24   	BEST RATIO: 0.05                     TOO_OLD: 162     	WON: 0    	
GEN: 67    AVG FITNESS: 28624008.7799841         	AVG SCORE: 2.869     	AVG RATIO: 0.03738695300893951      	BEST SCORE: 24   	BEST RATIO: 0.03870967741935484      TOO_OLD: 168     	WON: 0    	
