GEN: 51    BEST FITNESS: 268961722.4944093        	BEST SCORE: 28   	BEST RATIO: 0.07142857142857142      WON: 0    	
GEN: 52    BEST FITNESS: 33964591.90440353        	BEST SCORE: 25   	BEST RATIO: 0.056818181818181816     WON: 0    	
GEN: 53    BEST FITNESS: 67561489.15928032        	BEST SCORE: 26   	BEST RATIO: 0.0771513353115727       WON: 0    	
GEN: 54    BEST FITNESS: 537439391.5996536        	BEST SCORE: 29   	BEST RATIO: 0.07754010695187166      WON: 0    	
GEN: 55    BEST FITNESS: 134702534.0900667        	BEST SCORE: 27   	BEST RATIO: 0.06367924528301887      WON: 0    	
GEN: 56    BEST FITNESS: 134705203.27721563       	BEST SCORE: 27   	BEST RATIO: 0.0703125                WON: 0    	
GEN: 57    BEST FITNESS: 1074356236.0037894       	BEST SCORE: 30   	BEST RATIO: 0.09146341463414634      WON: 0    	
GEN: 58    BEST FITNESS: 268968284.95123595       	BEST SCORE: 28   	BEST RATIO: 0.09556313993174062      WON: 0    	
GEN: 59    BEST FITNESS: 134706636.14654496       	BEST SCORE: 27   	BEST RATIO: 0.07458563535911603      WON: 0    	
GEN: 60    BEST FITNESS: 268965966.25625634       	BEST SCORE: 28   	BEST RATIO: 0.0851063829787234       WON: 0    	
GEN: 61    BEST FITNESS: 134709607.66609073       	BEST SCORE: 27   	BEST RATIO: 0.08571428571428572      WON: 0    	
GEN: 62    BEST FITNESS: 134707342.79013127       	BEST SCORE: 27   	BEST RATIO: 0.07692307692307693      WON: 0    	
GEN: 63    BEST FITNESS: 134711675.48923406       	BEST SCORE: 27   	BEST RATIO: 0.09608540925266904      WON: 0    	
GEN: 64    BEST FITNESS: 134708295.5417687        	BEST SCORE: 27   	BEST RATIO: 0.08035714285714286      WON: 0    	
GEN: 65    BEST FITNESS: 537440592.0461239        	BEST SCORE: 29   	BEST RATIO: 0.08123249299719888      WON: 0    	
GEN: 66    BEST FITNESS: 268964040.89914143       	BEST SCORE: 28   	BEST RATIO: 0.0782122905027933       WON: 0    	
GEN: 67    BEST FITNESS: 4295665060.464046        	BEST SCORE: 32   	BEST RATIO: 0.07710843373493977      WON: 0    	
GEN: 68    BEST FITNESS: 268956539.5275177        	BEST SCORE: 28   	BEST RATIO: 0.060215053763440864     WON: 0    	
GEN: 69    BEST FITNESS: 4295660507.561706        	BEST SCORE: 32   	BEST RATIO: 0.06823027718550106      WON: 0    	
GEN: 70    BEST FITNESS: 1074346858.997223        	BEST SCORE: 30   	BEST RATIO: 0.06622516556291391      WON: 0    	
GEN: 71    BEST FITNESS: 2148132480.431887        	BEST SCORE: 31   	BEST RATIO: 0.06813186813186813      WON: 0    	
GEN: 72    BEST FITNESS: 1074345357.1290293       	BEST SCORE: 30   	BEST RATIO: 0.0635593220338983       WON: 0    	
GEN: 73    BEST FITNESS: 537426621.2993764        	BEST SCORE: 29   	BEST RATIO: 0.053406998158379376     WON: 0    	
GEN: 74    BEST FITNESS: 537442804.371244         	BEST SCORE: 29   	BEST RATIO: 0.08923076923076922      WON: 0    	
GEN: 75    BEST FITNESS: 2148127558.8149786       	BEST SCORE: 31   	BEST RATIO: 0.06031128404669261      WON: 0    	
GEN: 76    BEST FITNESS: 8590662530.863043        	BEST SCORE: 33   	BEST RATIO: 0.05472636815920398      WON: 0    	
GEN: 77    BEST FITNESS: 537437596.0106469        	BEST SCORE: 29   	BEST RATIO: 0.07268170426065163      WON: 0    	
GEN: 78    BEST FITNESS: 4295661363.324596        	BEST SCORE: 32   	BEST RATIO: 0.06971677559912855      WON: 0    	
GEN: 79    BEST FITNESS: 4295665143.159656        	BEST SCORE: 32   	BEST RATIO: 0.07729468599033816      WON: 0    	
GEN: 80    BEST FITNESS: 2148129917.1779933       	BEST SCORE: 31   	BEST RATIO: 0.06378600823045268      WON: 0    	
GEN: 81    BEST FITNESS: 4295647977.096665        	BEST SCORE: 32   	BEST RATIO: 0.052545155993431854     WON: 0    	
GEN: 82    BEST FITNESS: 4295655259.062437        	BEST SCORE: 32   	BEST RATIO: 0.06049149338374291      WON: 0    	
