GEN: 51    BEST FITNESS: 8738569.436957922        	BEST SCORE: 23   	BEST RATIO: 0.0744336569579288       WON: 0    	
GEN: 52    BEST FITNESS: 2389963.0068227034       	BEST SCORE: 21   	BEST RATIO: 0.10344827586206896      WON: 0    	
GEN: 53    BEST FITNESS: 17163416.748703204       	BEST SCORE: 24   	BEST RATIO: 0.096                    WON: 0    	
GEN: 54    BEST FITNESS: 67560210.81201234        	BEST SCORE: 26   	BEST RATIO: 0.07262569832402235      WON: 0    	
GEN: 55    BEST FITNESS: 537442736.2027655        	BEST SCORE: 29   	BEST RATIO: 0.08895705521472393      WON: 0    	
GEN: 56    BEST FITNESS: 8740014.19261113         	BEST SCORE: 23   	BEST RATIO: 0.08214285714285714      WON: 0    	
GEN: 57    BEST FITNESS: 4516315.720529223        	BEST SCORE: 22   	BEST RATIO: 0.09606986899563319      WON: 0    	
GEN: 58    BEST FITNESS: 33975720.427722335       	BEST SCORE: 25   	BEST RATIO: 0.10121457489878542      WON: 0    	
GEN: 59    BEST FITNESS: 4514339.4460576          	BEST SCORE: 22   	BEST RATIO: 0.08058608058608059      WON: 0    	
GEN: 60    BEST FITNESS: 67555852.73877428        	BEST SCORE: 26   	BEST RATIO: 0.06088992974238876      WON: 0    	
GEN: 61    BEST FITNESS: 4516096.587370981        	BEST SCORE: 22   	BEST RATIO: 0.09401709401709402      WON: 0    	
GEN: 62    BEST FITNESS: 67560883.36172014        	BEST SCORE: 26   	BEST RATIO: 0.07492795389048991      WON: 0    	
GEN: 63    BEST FITNESS: 8739620.011897562        	BEST SCORE: 23   	BEST RATIO: 0.0798611111111111       WON: 0    	
GEN: 64    BEST FITNESS: 17160688.989879716       	BEST SCORE: 24   	BEST RATIO: 0.07920792079207921      WON: 0    	
GEN: 65    BEST FITNESS: 67559469.90574557        	BEST SCORE: 26   	BEST RATIO: 0.07027027027027027      WON: 0    	
GEN: 66    BEST FITNESS: 33970310.50844799        	BEST SCORE: 25   	BEST RATIO: 0.07246376811594203      WON: 0    	
GEN: 67    BEST FITNESS: 33965151.40471668        	BEST SCORE: 25   	BEST RATIO: 0.058004640371229696     WON: 0    	
GEN: 68    BEST FITNESS: 67562979.51724821        	BEST SCORE: 26   	BEST RATIO: 0.08333333333333333      WON: 0    	
GEN: 69    BEST FITNESS: 134705334.59601834       	BEST SCORE: 27   	BEST RATIO: 0.07068062827225131      WON: 0    	
GEN: 70    BEST FITNESS: 67563507.33413757        	BEST SCORE: 26   	BEST RATIO: 0.0858085808580858       WON: 0    	
GEN: 71    BEST FITNESS: 268963704.00169647       	BEST SCORE: 28   	BEST RATIO: 0.07713498622589532      WON: 0    	
GEN: 72    BEST FITNESS: 134708421.6111121        	BEST SCORE: 27   	BEST RATIO: 0.08083832335329341      WON: 0    	
GEN: 73    BEST FITNESS: 134706700.660579         	BEST SCORE: 27   	BEST RATIO: 0.07479224376731301      WON: 0    	
GEN: 74    BEST FITNESS: 2148127982.8796225       	BEST SCORE: 31   	BEST RATIO: 0.060903732809430254     WON: 0    	
GEN: 75    BEST FITNESS: 537441498.41012          	BEST SCORE: 29   	BEST RATIO: 0.08430232558139535      WON: 0    	
GEN: 76    BEST FITNESS: 134709977.76156187       	BEST SCORE: 27   	BEST RATIO: 0.08737864077669903      WON: 0    	
