GEN: 30    AVG FITNESS: 256.12764684679547       	AVG SCORE: 0.309     	AVG RATIO: 0.026827574231637435     	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 21      	WON: 0    	
GEN: 31    AVG FITNESS: 243.75422247140224       	AVG SCORE: 0.281     	AVG RATIO: 0.023163795235347458     	BEST SCORE: 4    	BEST RATIO: 0.19047619047619047      TOO_OLD: 30      	WON: 0    	
GEN: 32    AVG FITNESS: 259.4885903172066        	AVG SCORE: 0.301     	AVG RATIO: 0.026597154722983123     	BEST SCORE: 4    	BEST RATIO: 0.11764705882352941      TOO_OLD: 22      	WON: 0    	
GEN: 33    AVG FITNESS: 211.4047722949799        	AVG SCORE: 0.273     	AVG RATIO: 0.023237997957099084     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 25      	WON: 0    	
GEN: 34    AVG FITNESS: 242.02231766436205       	AVG SCORE: 0.296     	AVG RATIO: 0.02636736148227329      	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      TOO_OLD: 18      	WON: 0    	
GEN: 35    AVG FITNESS: 240.69165400885458       	AVG SCORE: 0.312     	AVG RATIO: 0.02729181245626312      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 18      	WON: 0    	
GEN: 36    AVG FITNESS: 270.36875481123184       	AVG SCORE: 0.316     	AVG RATIO: 0.026617250673854446     	BEST SCORE: 4    	BEST RATIO: 0.16                     TOO_OLD: 19      	WON: 0    	
GEN: 37    AVG FITNESS: 336.98268734444054       	AVG SCORE: 0.336     	AVG RATIO: 0.02809834420471651      	BEST SCORE: 6    	BEST RATIO: 0.20689655172413793      TOO_OLD: 11      	WON: 0    	
GEN: 38    AVG FITNESS: 275.1397909600759        	AVG SCORE: 0.337     	AVG RATIO: 0.025186846038863977     	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 22      	WON: 0    	
GEN: 39    AVG FITNESS: 273.50854276077683       	AVG SCORE: 0.308     	AVG RATIO: 0.021542981044974468     	BEST SCORE: 4    	BEST RATIO: 0.019704433497536946     TOO_OLD: 35      	WON: 0    	
GEN: 40    AVG FITNESS: 307.7003904025714        	AVG SCORE: 0.356     	AVG RATIO: 0.02084675294255431      	BEST SCORE: 5    	BEST RATIO: 0.16129032258064516      TOO_OLD: 59      	WON: 0    	
GEN: 41    AVG FITNESS: 308.72608557230626       	AVG SCORE: 0.355     	AVG RATIO: 0.022130789851006794     	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 47      	WON: 0    	
GEN: 42    AVG FITNESS: 306.9636883214372        	AVG SCORE: 0.333     	AVG RATIO: 0.01955028474138437      	BEST SCORE: 6    	BEST RATIO: 0.08955223880597014      TOO_OLD: 55      	WON: 0    	
GEN: 43    AVG FITNESS: 348.88831666501966       	AVG SCORE: 0.373     	AVG RATIO: 0.02266788210270435      	BEST SCORE: 4    	BEST RATIO: 0.10526315789473684      TOO_OLD: 50      	WON: 0    	
GEN: 44    AVG FITNESS: 338.94693206025977       	AVG SCORE: 0.372     	AVG RATIO: 0.021051440212777998     	BEST SCORE: 5    	BEST RATIO: 0.09803921568627451      TOO_OLD: 55      	WON: 0    	
GEN: 45    AVG FITNESS: 422.518593395748         	AVG SCORE: 0.431     	AVG RATIO: 0.026362468652516974     	BEST SCORE: 5    	BEST RATIO: 0.09259259259259259      TOO_OLD: 38      	WON: 0    	
GEN: 46    AVG FITNESS: 421.84095207400213       	AVG SCORE: 0.417     	AVG RATIO: 0.024780128357499407     	BEST SCORE: 8    	BEST RATIO: 0.03636363636363636      TOO_OLD: 47      	WON: 0    	
