GEN: 26    AVG FITNESS: 0.121282739525472        	AVG SCORE: 0.138     	AVG RATIO: 0.023123324396782843     	BEST FITNESS: 2.526315789473684        	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 0       	WON: 0    	
GEN: 27    AVG FITNESS: 0.11187416106508145      	AVG SCORE: 0.125     	AVG RATIO: 0.021139861322509723     	BEST FITNESS: 2.55                     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 28    AVG FITNESS: 0.13280084837510098      	AVG SCORE: 0.15      	AVG RATIO: 0.025041736227045072     	BEST FITNESS: 2.608695652173913        	BEST SCORE: 3    	BEST RATIO: 0.15                     TOO_OLD: 0       	WON: 0    	
GEN: 29    AVG FITNESS: 0.12612541301870286      	AVG SCORE: 0.143     	AVG RATIO: 0.022406769037919147     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 4       	WON: 0    	
GEN: 30    AVG FITNESS: 0.1313410234808639       	AVG SCORE: 0.148     	AVG RATIO: 0.024025974025974024     	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 31    AVG FITNESS: 0.12101658084378838      	AVG SCORE: 0.139     	AVG RATIO: 0.024211809789235327     	BEST FITNESS: 4.363636363636363        	BEST SCORE: 6    	BEST RATIO: 0.375                    TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 0.14076291035297017      	AVG SCORE: 0.159     	AVG RATIO: 0.02652210175145955      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 0.1344133277022619       	AVG SCORE: 0.153     	AVG RATIO: 0.02589708869329722      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 34    AVG FITNESS: 0.12048096069994671      	AVG SCORE: 0.137     	AVG RATIO: 0.02477396021699819      	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 0.12890196879030869      	AVG SCORE: 0.147     	AVG RATIO: 0.02442266157168965      	BEST FITNESS: 1.5555555555555556       	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 1       	WON: 0    	
GEN: 36    AVG FITNESS: 0.1349244134259637       	AVG SCORE: 0.153     	AVG RATIO: 0.026020408163265306     	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 37    AVG FITNESS: 0.1331130875144433       	AVG SCORE: 0.151     	AVG RATIO: 0.024649036891936007     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 38    AVG FITNESS: 0.14340056039419816      	AVG SCORE: 0.162     	AVG RATIO: 0.025924147863658188     	BEST FITNESS: 1.4285714285714286       	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 0       	WON: 0    	
GEN: 39    AVG FITNESS: 0.13329083123243893      	AVG SCORE: 0.152     	AVG RATIO: 0.025745257452574527     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 2       	WON: 0    	
GEN: 40    AVG FITNESS: 0.13890306801621075      	AVG SCORE: 0.159     	AVG RATIO: 0.026570855614973264     	BEST FITNESS: 1.5                      	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 41    AVG FITNESS: 0.1466778861676155       	AVG SCORE: 0.167     	AVG RATIO: 0.026550079491255964     	BEST FITNESS: 2.55                     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 1       	WON: 0    	
GEN: 42    AVG FITNESS: 0.13610722783557955      	AVG SCORE: 0.152     	AVG RATIO: 0.02465931213497729      	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 2       	WON: 0    	
GEN: 43    AVG FITNESS: 0.18297552058228606      	AVG SCORE: 0.203     	AVG RATIO: 0.027792990142387734     	BEST FITNESS: 2.608695652173913        	BEST SCORE: 3    	BEST RATIO: 0.15                     TOO_OLD: 2       	WON: 0    	
GEN: 44    AVG FITNESS: 0.14932373998584395      	AVG SCORE: 0.166     	AVG RATIO: 0.024372338863602995     	BEST FITNESS: 1.6666666666666667       	BEST SCORE: 2    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 45    AVG FITNESS: 0.15412276535867228      	AVG SCORE: 0.172     	AVG RATIO: 0.024956471271038883     	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 46    AVG FITNESS: 0.17739361435351847      	AVG SCORE: 0.198     	AVG RATIO: 0.027615062761506277     	BEST FITNESS: 1.6363636363636365       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 0       	WON: 0    	
GEN: 47    AVG FITNESS: 0.15136891734237043      	AVG SCORE: 0.169     	AVG RATIO: 0.024812802818969318     	BEST FITNESS: 3.5294117647058822       	BEST SCORE: 4    	BEST RATIO: 0.13333333333333333      TOO_OLD: 1       	WON: 0    	
GEN: 48    AVG FITNESS: 0.18472306232687172      	AVG SCORE: 0.206     	AVG RATIO: 0.028690807799442896     	BEST FITNESS: 2.0                      	BEST SCORE: 3    	BEST RATIO: 0.5                      TOO_OLD: 3       	WON: 0    	
GEN: 49    AVG FITNESS: 0.20743395209366655      	AVG SCORE: 0.233     	AVG RATIO: 0.03032274856845393      	BEST FITNESS: 2.625                    	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 6       	WON: 0    	
GEN: 50    AVG FITNESS: 0.20622175083567498      	AVG SCORE: 0.231     	AVG RATIO: 0.029706790123456794     	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 2       	WON: 0    	
GEN: 51    AVG FITNESS: 0.18186997681422745      	AVG SCORE: 0.204     	AVG RATIO: 0.023502304147465437     	BEST FITNESS: 2.769230769230769        	BEST SCORE: 4    	BEST RATIO: 0.4444444444444444       TOO_OLD: 14      	WON: 0    	
GEN: 52    AVG FITNESS: 0.2168433351983514       	AVG SCORE: 0.242     	AVG RATIO: 0.027252252252252248     	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 13      	WON: 0    	
GEN: 53    AVG FITNESS: 0.19743429526749498      	AVG SCORE: 0.219     	AVG RATIO: 0.02211227786752827      	BEST FITNESS: 3.2                      	BEST SCORE: 4    	BEST RATIO: 0.25                     TOO_OLD: 24      	WON: 0    	
GEN: 54    AVG FITNESS: 0.20461132329442214      	AVG SCORE: 0.226     	AVG RATIO: 0.022944162436548225     	BEST FITNESS: 2.5                      	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 17      	WON: 0    	
GEN: 55    AVG FITNESS: 0.23516097008743286      	AVG SCORE: 0.259     	AVG RATIO: 0.023398681000993765     	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 27      	WON: 0    	
GEN: 56    AVG FITNESS: 0.2319336887223477       	AVG SCORE: 0.255     	AVG RATIO: 0.02244718309859155      	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 30      	WON: 0    	
