GEN: 26    AVG FITNESS: 1139.507155444883        	AVG SCORE: 0.674     	AVG RATIO: 0.04171308330238891      	BEST FITNESS: 77760.82011273869        	BEST SCORE: 11   	BEST RATIO: 0.10185185185185185      TOO_OLD: 34      	WON: 0    	
GEN: 27    AVG FITNESS: 1818.2124129247782       	AVG SCORE: 0.82      	AVG RATIO: 0.04402211843023568      	BEST FITNESS: 94575.68489605562        	BEST SCORE: 12   	BEST RATIO: 0.08695652173913043      TOO_OLD: 37      	WON: 0    	
GEN: 28    AVG FITNESS: 2048.342047474166        	AVG SCORE: 0.913     	AVG RATIO: 0.046500967709076094     	BEST FITNESS: 177705.62551062633       	BEST SCORE: 15   	BEST RATIO: 0.1048951048951049       TOO_OLD: 39      	WON: 0    	
GEN: 29    AVG FITNESS: 1505.5012406467615       	AVG SCORE: 0.81      	AVG RATIO: 0.04534766543500169      	BEST FITNESS: 95242.76342728597        	BEST SCORE: 12   	BEST RATIO: 0.12244897959183673      TOO_OLD: 35      	WON: 0    	
GEN: 30    AVG FITNESS: 1848.7098970471964       	AVG SCORE: 0.845     	AVG RATIO: 0.04427096977000052      	BEST FITNESS: 173849.2794100614        	BEST SCORE: 15   	BEST RATIO: 0.052083333333333336     TOO_OLD: 40      	WON: 0    	
GEN: 31    AVG FITNESS: 1653.95764420174         	AVG SCORE: 0.827     	AVG RATIO: 0.042829768501734936     	BEST FITNESS: 94235.25769019875        	BEST SCORE: 12   	BEST RATIO: 0.07643312101910828      TOO_OLD: 44      	WON: 0    	
GEN: 32    AVG FITNESS: 1799.7339200686683       	AVG SCORE: 0.873     	AVG RATIO: 0.04271246147071774      	BEST FITNESS: 94731.939083187          	BEST SCORE: 12   	BEST RATIO: 0.09302325581395349      TOO_OLD: 51      	WON: 0    	
GEN: 33    AVG FITNESS: 1885.832364241234        	AVG SCORE: 0.901     	AVG RATIO: 0.04541101758983922      	BEST FITNESS: 176599.44202710254       	BEST SCORE: 15   	BEST RATIO: 0.0797872340425532       TOO_OLD: 41      	WON: 0    	
GEN: 34    AVG FITNESS: 2533.881195281659        	AVG SCORE: 0.953     	AVG RATIO: 0.04484916937267636      	BEST FITNESS: 474061.40293355484       	BEST SCORE: 18   	BEST RATIO: 0.09944751381215469      TOO_OLD: 53      	WON: 0    	
GEN: 35    AVG FITNESS: 2522.584549130015        	AVG SCORE: 1.127     	AVG RATIO: 0.04838778927482718      	BEST FITNESS: 140295.37436821463       	BEST SCORE: 14   	BEST RATIO: 0.06930693069306931      TOO_OLD: 41      	WON: 0    	
GEN: 36    AVG FITNESS: 2740.9996595642033       	AVG SCORE: 1.117     	AVG RATIO: 0.05188109614491407      	BEST FITNESS: 318010.9934797036        	BEST SCORE: 17   	BEST RATIO: 0.08173076923076923      TOO_OLD: 31      	WON: 0    	
