GEN: 30    AVG FITNESS: 6963.00000000001         	AVG SCORE: 0.17      	AVG RATIO: 0.029360967184801384     	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 12      	WON: 0    	
GEN: 31    AVG FITNESS: 6935.500000000006        	AVG SCORE: 0.168     	AVG RATIO: 0.03137840866641763      	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 5       	WON: 0    	
GEN: 32    AVG FITNESS: 6743.000000000009        	AVG SCORE: 0.151     	AVG RATIO: 0.025627970128988455     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 10      	WON: 0    	
GEN: 33    AVG FITNESS: 7317.404761904777        	AVG SCORE: 0.201     	AVG RATIO: 0.03343869572450508      	BEST SCORE: 5    	BEST RATIO: 0.15625                  TOO_OLD: 11      	WON: 0    	
GEN: 34    AVG FITNESS: 6933.000000000009        	AVG SCORE: 0.168     	AVG RATIO: 0.030440297155281754     	BEST SCORE: 3    	BEST RATIO: 0.10714285714285714      TOO_OLD: 4       	WON: 0    	
GEN: 35    AVG FITNESS: 7326.500000000013        	AVG SCORE: 0.202     	AVG RATIO: 0.03184612959167586      	BEST SCORE: 4    	BEST RATIO: 0.14285714285714285      TOO_OLD: 12      	WON: 0    	
GEN: 36    AVG FITNESS: 7243.000000000011        	AVG SCORE: 0.194     	AVG RATIO: 0.03178764542028511      	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857       TOO_OLD: 9       	WON: 0    	
GEN: 37    AVG FITNESS: 7246.83333333335         	AVG SCORE: 0.195     	AVG RATIO: 0.030947468655768928     	BEST SCORE: 3    	BEST RATIO: 0.13636363636363635      TOO_OLD: 13      	WON: 0    	
GEN: 38    AVG FITNESS: 7705.8333333333485       	AVG SCORE: 0.235     	AVG RATIO: 0.039238604107530474     	BEST SCORE: 3    	BEST RATIO: 0.14285714285714285      TOO_OLD: 7       	WON: 0    	
GEN: 39    AVG FITNESS: 7489.83333333335         	AVG SCORE: 0.217     	AVG RATIO: 0.03101772441395083      	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857       TOO_OLD: 18      	WON: 0    	
GEN: 40    AVG FITNESS: 7200.071428571441        	AVG SCORE: 0.191     	AVG RATIO: 0.027960767091201873     	BEST SCORE: 5    	BEST RATIO: 0.078125                 TOO_OLD: 18      	WON: 0    	
GEN: 41    AVG FITNESS: 7592.500000000015        	AVG SCORE: 0.225     	AVG RATIO: 0.03471150879358223      	BEST SCORE: 4    	BEST RATIO: 0.18181818181818182      TOO_OLD: 12      	WON: 0    	
GEN: 42    AVG FITNESS: 7518.4166666666815       	AVG SCORE: 0.218     	AVG RATIO: 0.034282119830161974     	BEST SCORE: 6    	BEST RATIO: 0.10714285714285714      TOO_OLD: 11      	WON: 0    	
GEN: 43    AVG FITNESS: 7607.190476190494        	AVG SCORE: 0.228     	AVG RATIO: 0.03751233958538993      	BEST SCORE: 19   	BEST RATIO: 0.04810126582278481      TOO_OLD: 4       	WON: 0    	
GEN: 44    AVG FITNESS: 7995.833333333356        	AVG SCORE: 0.261     	AVG RATIO: 0.03784254023488473      	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 11      	WON: 0    	
GEN: 45    AVG FITNESS: 8078.99567099569         	AVG SCORE: 0.27      	AVG RATIO: 0.035667107001321        	BEST SCORE: 9    	BEST RATIO: 0.07627118644067797      TOO_OLD: 17      	WON: 0    	
GEN: 46    AVG FITNESS: 8445.38888888891         	AVG SCORE: 0.304     	AVG RATIO: 0.03432313424410071      	BEST SCORE: 10   	BEST RATIO: 0.03636363636363636      TOO_OLD: 20      	WON: 0    	
GEN: 47    AVG FITNESS: 8496.32142857145         	AVG SCORE: 0.307     	AVG RATIO: 0.03147426696739799      	BEST SCORE: 10   	BEST RATIO: 0.056818181818181816     TOO_OLD: 31      	WON: 0    	
GEN: 48    AVG FITNESS: 8548.500000000015        	AVG SCORE: 0.312     	AVG RATIO: 0.034891523149183624     	BEST SCORE: 8    	BEST RATIO: 0.050314465408805034     TOO_OLD: 19      	WON: 0    	
GEN: 49    AVG FITNESS: 8528.436507936525        	AVG SCORE: 0.31      	AVG RATIO: 0.02935884079931812      	BEST SCORE: 8    	BEST RATIO: 0.08695652173913043      TOO_OLD: 31      	WON: 0    	
GEN: 50    AVG FITNESS: 9666.92993600603         	AVG SCORE: 0.415     	AVG RATIO: 0.03758377105596812      	BEST SCORE: 21   	BEST RATIO: 0.04964539007092199      TOO_OLD: 23      	WON: 0    	
GEN: 51    AVG FITNESS: 9808.031746031751        	AVG SCORE: 0.427     	AVG RATIO: 0.035005738645679615     	BEST SCORE: 13   	BEST RATIO: 0.058823529411764705     TOO_OLD: 32      	WON: 0    	
GEN: 52    AVG FITNESS: 10085.692460317458       	AVG SCORE: 0.451     	AVG RATIO: 0.03504273504273504      	BEST SCORE: 14   	BEST RATIO: 0.06451612903225806      TOO_OLD: 36      	WON: 0    	
GEN: 53    AVG FITNESS: 10055.702380952383       	AVG SCORE: 0.448     	AVG RATIO: 0.032904884318766064     	BEST SCORE: 14   	BEST RATIO: 0.05166051660516605      TOO_OLD: 39      	WON: 0    	
GEN: 54    AVG FITNESS: 10287.510531135531       	AVG SCORE: 0.468     	AVG RATIO: 0.03196066379840197      	BEST SCORE: 14   	BEST RATIO: 0.0673076923076923       TOO_OLD: 46      	WON: 0    	
GEN: 55    AVG FITNESS: 10057.051837051835       	AVG SCORE: 0.449     	AVG RATIO: 0.033597725231966476     	BEST SCORE: 11   	BEST RATIO: 0.0718954248366013       TOO_OLD: 32      	WON: 0    	
GEN: 56    AVG FITNESS: 10494.082972582968       	AVG SCORE: 0.488     	AVG RATIO: 0.036824630244491396     	BEST SCORE: 10   	BEST RATIO: 0.04184100418410042      TOO_OLD: 29      	WON: 0    	
GEN: 57    AVG FITNESS: 10573.182428682423       	AVG SCORE: 0.497     	AVG RATIO: 0.036957168352171325     	BEST SCORE: 11   	BEST RATIO: 0.05641025641025641      TOO_OLD: 27      	WON: 0    	
GEN: 58    AVG FITNESS: 11207.354797979793       	AVG SCORE: 0.557     	AVG RATIO: 0.03655335345845912      	BEST SCORE: 14   	BEST RATIO: 0.06451612903225806      TOO_OLD: 38      	WON: 0    	
GEN: 59    AVG FITNESS: 12021.671384171354       	AVG SCORE: 0.634     	AVG RATIO: 0.038611449451887936     	BEST SCORE: 13   	BEST RATIO: 0.07428571428571429      TOO_OLD: 29      	WON: 0    	
GEN: 60    AVG FITNESS: 12226.939893439878       	AVG SCORE: 0.65      	AVG RATIO: 0.03765278340960435      	BEST SCORE: 12   	BEST RATIO: 0.06486486486486487      TOO_OLD: 39      	WON: 0    	
GEN: 61    AVG FITNESS: 12918.904799448885       	AVG SCORE: 0.719     	AVG RATIO: 0.037742782152230966     	BEST SCORE: 20   	BEST RATIO: 0.05333333333333334      TOO_OLD: 40      	WON: 0    	
GEN: 62    AVG FITNESS: 13699.166463653271       	AVG SCORE: 0.796     	AVG RATIO: 0.03619004319163446      	BEST SCORE: 19   	BEST RATIO: 0.0657439446366782       TOO_OLD: 45      	WON: 0    	
GEN: 63    AVG FITNESS: 15890.090506715458       	AVG SCORE: 0.999     	AVG RATIO: 0.03933535456943734      	BEST SCORE: 16   	BEST RATIO: 0.046242774566473986     TOO_OLD: 42      	WON: 0    	
GEN: 64    AVG FITNESS: 16459.003085824344       	AVG SCORE: 1.058     	AVG RATIO: 0.03717106418859572      	BEST SCORE: 21   	BEST RATIO: 0.04411764705882353      TOO_OLD: 56      	WON: 0    	
GEN: 65    AVG FITNESS: 19068.91783483114        	AVG SCORE: 1.3       	AVG RATIO: 0.041754994539731485     	BEST SCORE: 17   	BEST RATIO: 0.05379746835443038      TOO_OLD: 44      	WON: 0    	
GEN: 66    AVG FITNESS: 17090.96196858694        	AVG SCORE: 1.111     	AVG RATIO: 0.03813544777400199      	BEST SCORE: 18   	BEST RATIO: 0.05217391304347826      TOO_OLD: 49      	WON: 0    	
GEN: 67    AVG FITNESS: 18930.657791970705       	AVG SCORE: 1.288     	AVG RATIO: 0.04096170970614426      	BEST SCORE: 25   	BEST RATIO: 0.04424778761061947      TOO_OLD: 47      	WON: 0    	
GEN: 68    AVG FITNESS: 19374.051038014248       	AVG SCORE: 1.332     	AVG RATIO: 0.039159194473026605     	BEST SCORE: 20   	BEST RATIO: 0.04819277108433735      TOO_OLD: 59      	WON: 0    	
GEN: 69    AVG FITNESS: 18683.653611309575       	AVG SCORE: 1.265     	AVG RATIO: 0.03937865770140704      	BEST SCORE: 18   	BEST RATIO: 0.055900621118012424     TOO_OLD: 52      	WON: 0    	
GEN: 70    AVG FITNESS: 18930.74377114972        	AVG SCORE: 1.287     	AVG RATIO: 0.03832524344123164      	BEST SCORE: 17   	BEST RATIO: 0.04607046070460705      TOO_OLD: 65      	WON: 0    	
GEN: 71    AVG FITNESS: 21368.388089249944       	AVG SCORE: 1.517     	AVG RATIO: 0.04178027486298163      	BEST SCORE: 18   	BEST RATIO: 0.09045226130653267      TOO_OLD: 53      	WON: 0    	
GEN: 72    AVG FITNESS: 20378.84598940793        	AVG SCORE: 1.426     	AVG RATIO: 0.039452206390925434     	BEST SCORE: 19   	BEST RATIO: 0.08225108225108226      TOO_OLD: 65      	WON: 0    	
GEN: 73    AVG FITNESS: 22465.642721056043       	AVG SCORE: 1.624     	AVG RATIO: 0.04075589128416192      	BEST SCORE: 19   	BEST RATIO: 0.060897435897435896     TOO_OLD: 64      	WON: 0    	
