GEN: 30    AVG FITNESS: 918250.3453332629        	AVG SCORE: 1.179     	AVG RATIO: 0.027336594866563105     	BEST SCORE: 12   	BEST RATIO: 0.026726057906458798     TOO_OLD: 94      	WON: 0    	
GEN: 31    AVG FITNESS: 1885986.3798634345       	AVG SCORE: 1.071     	AVG RATIO: 0.022034770085382162     	BEST SCORE: 15   	BEST RATIO: 0.030800821355236138     TOO_OLD: 158     	WON: 0    	
GEN: 32    AVG FITNESS: 5266862.607241799        	AVG SCORE: 1.113     	AVG RATIO: 0.02253446984268389      	BEST SCORE: 17   	BEST RATIO: 0.028380634390651086     TOO_OLD: 105     	WON: 0    	
GEN: 33    AVG FITNESS: 12784612.9917033         	AVG SCORE: 1.175     	AVG RATIO: 0.020924600206574776     	BEST SCORE: 19   	BEST RATIO: 0.02676056338028169      TOO_OLD: 130     	WON: 0    	
GEN: 34    AVG FITNESS: 10904413.117700273       	AVG SCORE: 1.215     	AVG RATIO: 0.019583507946229973     	BEST SCORE: 17   	BEST RATIO: 0.025718608169440244     TOO_OLD: 154     	WON: 0    	
GEN: 35    AVG FITNESS: 8782988.20266628         	AVG SCORE: 1.083     	AVG RATIO: 0.018027765755568134     	BEST SCORE: 16   	BEST RATIO: 0.0221606648199446       TOO_OLD: 179     	WON: 0    	
GEN: 36    AVG FITNESS: 18705025.369109888       	AVG SCORE: 1.079     	AVG RATIO: 0.018972429314952875     	BEST SCORE: 16   	BEST RATIO: 0.021164021164021163     TOO_OLD: 134     	WON: 0    	
GEN: 37    AVG FITNESS: 7469150.834987385        	AVG SCORE: 1.126     	AVG RATIO: 0.019579884537803433     	BEST SCORE: 17   	BEST RATIO: 0.027960526315789474     TOO_OLD: 140     	WON: 0    	
GEN: 38    AVG FITNESS: 21830907.95324956        	AVG SCORE: 1.236     	AVG RATIO: 0.020887551965390206     	BEST SCORE: 17   	BEST RATIO: 0.023480662983425413     TOO_OLD: 108     	WON: 0    	
GEN: 39    AVG FITNESS: 23349430.8062783         	AVG SCORE: 1.166     	AVG RATIO: 0.019335367471477842     	BEST SCORE: 19   	BEST RATIO: 0.02483660130718954      TOO_OLD: 138     	WON: 0    	
GEN: 40    AVG FITNESS: 20569299.818762887       	AVG SCORE: 1.455     	AVG RATIO: 0.020895265175994143     	BEST SCORE: 17   	BEST RATIO: 0.024320457796852647     TOO_OLD: 148     	WON: 0    	
GEN: 41    AVG FITNESS: 22772377.010995407       	AVG SCORE: 1.342     	AVG RATIO: 0.020534006579450693     	BEST SCORE: 17   	BEST RATIO: 0.023066485753052916     TOO_OLD: 153     	WON: 0    	
GEN: 42    AVG FITNESS: 20858306.10028855        	AVG SCORE: 1.382     	AVG RATIO: 0.020993786932810767     	BEST SCORE: 18   	BEST RATIO: 0.02608695652173913      TOO_OLD: 134     	WON: 0    	
GEN: 43    AVG FITNESS: 24869933.740789603       	AVG SCORE: 1.506     	AVG RATIO: 0.02113595217043493      	BEST SCORE: 17   	BEST RATIO: 0.022696929238985315     TOO_OLD: 174     	WON: 0    	
GEN: 44    AVG FITNESS: 24434620.355633635       	AVG SCORE: 1.412     	AVG RATIO: 0.02158493334963923      	BEST SCORE: 18   	BEST RATIO: 0.023106546854942234     TOO_OLD: 132     	WON: 0    	
GEN: 45    AVG FITNESS: 28072234.771201365       	AVG SCORE: 1.531     	AVG RATIO: 0.020638708024965962     	BEST SCORE: 18   	BEST RATIO: 0.023047375160051217     TOO_OLD: 173     	WON: 0    	
GEN: 46    AVG FITNESS: 21743198.96778278        	AVG SCORE: 1.615     	AVG RATIO: 0.0216227071897175       	BEST SCORE: 17   	BEST RATIO: 0.025373134328358207     TOO_OLD: 152     	WON: 0    	
GEN: 47    AVG FITNESS: 22276526.27301698        	AVG SCORE: 1.499     	AVG RATIO: 0.022556617259799867     	BEST SCORE: 19   	BEST RATIO: 0.033216783216783216     TOO_OLD: 124     	WON: 0    	
GEN: 48    AVG FITNESS: 20038968.194002315       	AVG SCORE: 1.452     	AVG RATIO: 0.0213115716550226       	BEST SCORE: 14   	BEST RATIO: 0.020437956204379562     TOO_OLD: 154     	WON: 0    	
GEN: 49    AVG FITNESS: 24914904.136355214       	AVG SCORE: 1.554     	AVG RATIO: 0.02180532364207838      	BEST SCORE: 17   	BEST RATIO: 0.024355300859598854     TOO_OLD: 151     	WON: 0    	
GEN: 50    AVG FITNESS: 30287232.150776703       	AVG SCORE: 1.592     	AVG RATIO: 0.020728356965222714     	BEST SCORE: 18   	BEST RATIO: 0.024965325936199722     TOO_OLD: 191     	WON: 0    	
GEN: 51    AVG FITNESS: 22727563.442336857       	AVG SCORE: 1.532     	AVG RATIO: 0.020435658356343457     	BEST SCORE: 18   	BEST RATIO: 0.025423728813559324     TOO_OLD: 201     	WON: 0    	
GEN: 52    AVG FITNESS: 24448322.13881978        	AVG SCORE: 1.41      	AVG RATIO: 0.01935138547685382      	BEST SCORE: 19   	BEST RATIO: 0.024771838331160364     TOO_OLD: 235     	WON: 0    	
GEN: 53    AVG FITNESS: 46746311.752859734       	AVG SCORE: 1.811     	AVG RATIO: 0.02204799181874627      	BEST SCORE: 23   	BEST RATIO: 0.03758169934640523      TOO_OLD: 200     	WON: 0    	
GEN: 54    AVG FITNESS: 50647235.38522296        	AVG SCORE: 1.749     	AVG RATIO: 0.02139397201291712      	BEST SCORE: 20   	BEST RATIO: 0.02320185614849188      TOO_OLD: 209     	WON: 0    	
GEN: 55    AVG FITNESS: 41030330.83044825        	AVG SCORE: 1.689     	AVG RATIO: 0.020408163265306124     	BEST SCORE: 17   	BEST RATIO: 0.02014218009478673      TOO_OLD: 222     	WON: 0    	
GEN: 56    AVG FITNESS: 39642053.3894551         	AVG SCORE: 1.587     	AVG RATIO: 0.019968794825980823     	BEST SCORE: 20   	BEST RATIO: 0.0267022696929239       TOO_OLD: 180     	WON: 0    	
GEN: 57    AVG FITNESS: 35065206.03182024        	AVG SCORE: 1.609     	AVG RATIO: 0.019720553989459492     	BEST SCORE: 18   	BEST RATIO: 0.021151586368977675     TOO_OLD: 246     	WON: 0    	
GEN: 58    AVG FITNESS: 64652341.18179236        	AVG SCORE: 1.786     	AVG RATIO: 0.02060689973462559      	BEST SCORE: 24   	BEST RATIO: 0.02843601895734597      TOO_OLD: 215     	WON: 0    	
GEN: 59    AVG FITNESS: 53408112.2830574         	AVG SCORE: 1.73      	AVG RATIO: 0.02088943091394279      	BEST SCORE: 26   	BEST RATIO: 0.036061026352288486     TOO_OLD: 188     	WON: 0    	
GEN: 60    AVG FITNESS: 52938151.33512261        	AVG SCORE: 1.848     	AVG RATIO: 0.02056967308912412      	BEST SCORE: 18   	BEST RATIO: 0.02195121951219512      TOO_OLD: 258     	WON: 0    	
GEN: 61    AVG FITNESS: 61134122.03025632        	AVG SCORE: 2.047     	AVG RATIO: 0.021725748248779455     	BEST SCORE: 17   	BEST RATIO: 0.02199223803363519      TOO_OLD: 231     	WON: 0    	
GEN: 62    AVG FITNESS: 59555433.17517576        	AVG SCORE: 1.887     	AVG RATIO: 0.02075154234436343      	BEST SCORE: 18   	BEST RATIO: 0.022756005056890013     TOO_OLD: 235     	WON: 0    	
GEN: 63    AVG FITNESS: 53082734.44401979        	AVG SCORE: 1.838     	AVG RATIO: 0.019611818307920487     	BEST SCORE: 17   	BEST RATIO: 0.02316076294277929      TOO_OLD: 276     	WON: 0    	
GEN: 64    AVG FITNESS: 50427005.45901267        	AVG SCORE: 1.828     	AVG RATIO: 0.020034194029196442     	BEST SCORE: 17   	BEST RATIO: 0.01954022988505747      TOO_OLD: 241     	WON: 0    	
GEN: 65    AVG FITNESS: 40843024.327035025       	AVG SCORE: 1.81      	AVG RATIO: 0.02105924512495928      	BEST SCORE: 22   	BEST RATIO: 0.03206997084548105      TOO_OLD: 234     	WON: 0    	
GEN: 66    AVG FITNESS: 48293626.07430304        	AVG SCORE: 1.939     	AVG RATIO: 0.02233150596581748      	BEST SCORE: 18   	BEST RATIO: 0.02127659574468085      TOO_OLD: 183     	WON: 0    	
GEN: 67    AVG FITNESS: 64053044.61983897        	AVG SCORE: 2.035     	AVG RATIO: 0.023337958874731928     	BEST SCORE: 17   	BEST RATIO: 0.018579234972677595     TOO_OLD: 195     	WON: 0    	
GEN: 68    AVG FITNESS: 59007812.97796095        	AVG SCORE: 1.974     	AVG RATIO: 0.022157368952744415     	BEST SCORE: 20   	BEST RATIO: 0.023094688221709007     TOO_OLD: 197     	WON: 0    	
GEN: 69    AVG FITNESS: 76764412.87891239        	AVG SCORE: 2.059     	AVG RATIO: 0.021785362860135642     	BEST SCORE: 26   	BEST RATIO: 0.03143893591293833      TOO_OLD: 226     	WON: 0    	
GEN: 70    AVG FITNESS: 122960458.99739556       	AVG SCORE: 2.166     	AVG RATIO: 0.022454670799597766     	BEST SCORE: 30   	BEST RATIO: 0.028846153846153848     TOO_OLD: 216     	WON: 0    	
