GEN: 23    AVG FITNESS: 246.13216110506784    	AVG SCORE: 0.29545454545454547   	AVG RATIO: 0.03416714260280754   	BEST FITNESS: 9186.292042124109     	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	
GEN: 24    AVG FITNESS: 249.2084174099127     	AVG SCORE: 0.2963636363636364    	AVG RATIO: 0.03086258890266256   	BEST FITNESS: 9177.295955565198     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086   WON: 0    	WON AVG RATIO: 0                     	
GEN: 25    AVG FITNESS: 289.2477224815061     	AVG SCORE: 0.34454545454545454   	AVG RATIO: 0.04424320880929532   	BEST FITNESS: 9194.157014813387     	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077    WON: 0    	WON AVG RATIO: 0                     	
GEN: 26    AVG FITNESS: 251.13290361089955    	AVG SCORE: 0.3                   	AVG RATIO: 0.0328636080605627    	BEST FITNESS: 14695.805799283726    	BEST SCORE: 5    	BEST RATIO: 0.38461538461538464   WON: 0    	WON AVG RATIO: 0                     	
GEN: 27    AVG FITNESS: 303.58275124008406    	AVG SCORE: 0.32                  	AVG RATIO: 0.03670611648347284   	BEST FITNESS: 62456.51341512614     	BEST SCORE: 10   	BEST RATIO: 0.06993006993006994   WON: 0    	WON AVG RATIO: 0                     	
GEN: 28    AVG FITNESS: 417.0911119090585     	AVG SCORE: 0.3972727272727273    	AVG RATIO: 0.04191408192859423   	BEST FITNESS: 29534.298635942167    	BEST SCORE: 7    	BEST RATIO: 0.1                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 29    AVG FITNESS: 901.3289207052945     	AVG SCORE: 0.5418181818181819    	AVG RATIO: 0.04679609184574929   	BEST FITNESS: 115580.78763027047    	BEST SCORE: 13   	BEST RATIO: 0.10236220472440945   WON: 0    	WON AVG RATIO: 0                     	
GEN: 30    AVG FITNESS: 1184.1508916415326    	AVG SCORE: 0.7572727272727273    	AVG RATIO: 0.0533657506143052    	BEST FITNESS: 50024.75582302983     	BEST SCORE: 9    	BEST RATIO: 0.08108108108108109   WON: 0    	WON AVG RATIO: 0                     	
GEN: 31    AVG FITNESS: 2713.050759212757     	AVG SCORE: 1.009090909090909     	AVG RATIO: 0.05688412460597704   	BEST FITNESS: 472784.732320254      	BEST SCORE: 18   	BEST RATIO: 0.08181818181818182   WON: 0    	WON AVG RATIO: 0                     	
GEN: 32    AVG FITNESS: 3111.443411683652     	AVG SCORE: 1.1209090909090909    	AVG RATIO: 0.05811752115944095   	BEST FITNESS: 758216.8563501751     	BEST SCORE: 19   	BEST RATIO: 0.0673758865248227    WON: 0    	WON AVG RATIO: 0                     	
GEN: 33    AVG FITNESS: 2750.4504453472564    	AVG SCORE: 1.1                   	AVG RATIO: 0.05303778619313774   	BEST FITNESS: 318010.9934797036     	BEST SCORE: 17   	BEST RATIO: 0.08173076923076923   WON: 0    	WON AVG RATIO: 0                     	
