GEN: 30    AVG FITNESS: 6766.666666666674        	AVG SCORE: 0.153     	AVG RATIO: 0.03616166390924132      	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 1       	WON: 0    	
GEN: 31    AVG FITNESS: 6468.500000000005        	AVG SCORE: 0.127     	AVG RATIO: 0.03125                  	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 2       	WON: 0    	
GEN: 32    AVG FITNESS: 6609.666666666674        	AVG SCORE: 0.139     	AVG RATIO: 0.03210903210903211      	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 2       	WON: 0    	
GEN: 33    AVG FITNESS: 7033.500000000011        	AVG SCORE: 0.176     	AVG RATIO: 0.03963963963963964      	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 2       	WON: 0    	
GEN: 34    AVG FITNESS: 6860.166666666678        	AVG SCORE: 0.161     	AVG RATIO: 0.03380932381352374      	BEST SCORE: 4    	BEST RATIO: 0.0975609756097561       TOO_OLD: 2       	WON: 0    	
GEN: 35    AVG FITNESS: 6947.666666666677        	AVG SCORE: 0.169     	AVG RATIO: 0.03802880288028803      	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 2       	WON: 0    	
GEN: 36    AVG FITNESS: 7068.50000000001         	AVG SCORE: 0.18      	AVG RATIO: 0.03902862098872506      	BEST SCORE: 3    	BEST RATIO: 0.15                     TOO_OLD: 1       	WON: 0    	
GEN: 37    AVG FITNESS: 7283.571428571441        	AVG SCORE: 0.199     	AVG RATIO: 0.04217888935989826      	BEST SCORE: 5    	BEST RATIO: 0.22727272727272727      TOO_OLD: 1       	WON: 0    	
GEN: 38    AVG FITNESS: 7263.833333333345        	AVG SCORE: 0.197     	AVG RATIO: 0.041343126967471146     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 1       	WON: 0    	
GEN: 39    AVG FITNESS: 7097.333333333343        	AVG SCORE: 0.182     	AVG RATIO: 0.03732567678424938      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 2       	WON: 0    	
GEN: 40    AVG FITNESS: 7449.3333333333485       	AVG SCORE: 0.213     	AVG RATIO: 0.043926582800577436     	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 1       	WON: 0    	
GEN: 41    AVG FITNESS: 7693.333333333348        	AVG SCORE: 0.234     	AVG RATIO: 0.04625420043486855      	BEST SCORE: 3    	BEST RATIO: 0.1111111111111111       TOO_OLD: 1       	WON: 0    	
GEN: 42    AVG FITNESS: 7301.8333333333485       	AVG SCORE: 0.199     	AVG RATIO: 0.039211822660098525     	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 3       	WON: 0    	
GEN: 43    AVG FITNESS: 7504.500000000014        	AVG SCORE: 0.217     	AVG RATIO: 0.04264099037138927      	BEST SCORE: 3    	BEST RATIO: 0.11538461538461539      TOO_OLD: 0       	WON: 0    	
GEN: 44    AVG FITNESS: 7763.000000000016        	AVG SCORE: 0.24      	AVG RATIO: 0.04428044280442804      	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 45    AVG FITNESS: 7675.333333333352        	AVG SCORE: 0.232     	AVG RATIO: 0.04366647844908715      	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 1       	WON: 0    	
GEN: 46    AVG FITNESS: 7866.1666666666815       	AVG SCORE: 0.249     	AVG RATIO: 0.04645522388059701      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 47    AVG FITNESS: 7685.0000000000155       	AVG SCORE: 0.233     	AVG RATIO: 0.04388773780372952      	BEST SCORE: 3    	BEST RATIO: 0.1875                   TOO_OLD: 1       	WON: 0    	
GEN: 48    AVG FITNESS: 8173.000000000017        	AVG SCORE: 0.276     	AVG RATIO: 0.048497627833421195     	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 1       	WON: 0    	
GEN: 49    AVG FITNESS: 8097.4047619047815       	AVG SCORE: 0.27      	AVG RATIO: 0.04648760330578513      	BEST SCORE: 5    	BEST RATIO: 0.2                      TOO_OLD: 2       	WON: 0    	
GEN: 50    AVG FITNESS: 8015.666666666685        	AVG SCORE: 0.262     	AVG RATIO: 0.04454267256035362      	BEST SCORE: 4    	BEST RATIO: 0.19047619047619047      TOO_OLD: 4       	WON: 0    	
GEN: 51    AVG FITNESS: 8261.500000000024        	AVG SCORE: 0.284     	AVG RATIO: 0.050678087080656666     	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      TOO_OLD: 2       	WON: 0    	
GEN: 52    AVG FITNESS: 8207.000000000024        	AVG SCORE: 0.278     	AVG RATIO: 0.046613011401743794     	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525      TOO_OLD: 2       	WON: 0    	
GEN: 53    AVG FITNESS: 8613.166666666688        	AVG SCORE: 0.314     	AVG RATIO: 0.05135754007196598      	BEST SCORE: 3    	BEST RATIO: 0.13636363636363635      TOO_OLD: 0       	WON: 0    	
GEN: 54    AVG FITNESS: 8612.666666666686        	AVG SCORE: 0.314     	AVG RATIO: 0.054981614428296265     	BEST SCORE: 3    	BEST RATIO: 0.12                     TOO_OLD: 0       	WON: 0    	
GEN: 55    AVG FITNESS: 8898.000000000015        	AVG SCORE: 0.34      	AVG RATIO: 0.05407124681933843      	BEST SCORE: 4    	BEST RATIO: 0.14285714285714285      TOO_OLD: 3       	WON: 0    	
GEN: 56    AVG FITNESS: 8942.738095238108        	AVG SCORE: 0.344     	AVG RATIO: 0.052768829575088196     	BEST SCORE: 5    	BEST RATIO: 0.22727272727272727      TOO_OLD: 3       	WON: 0    	
GEN: 57    AVG FITNESS: 9067.904761904772        	AVG SCORE: 0.355     	AVG RATIO: 0.05285884455032757      	BEST SCORE: 5    	BEST RATIO: 0.08064516129032258      TOO_OLD: 2       	WON: 0    	
GEN: 58    AVG FITNESS: 8777.166666666682        	AVG SCORE: 0.329     	AVG RATIO: 0.05077944127180121      	BEST SCORE: 4    	BEST RATIO: 0.13793103448275862      TOO_OLD: 3       	WON: 0    	
GEN: 59    AVG FITNESS: 9057.000000000016        	AVG SCORE: 0.353     	AVG RATIO: 0.050638358915507095     	BEST SCORE: 4    	BEST RATIO: 0.10256410256410256      TOO_OLD: 7       	WON: 0    	
GEN: 60    AVG FITNESS: 8641.333333333348        	AVG SCORE: 0.318     	AVG RATIO: 0.048247610377787895     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 5       	WON: 0    	
GEN: 61    AVG FITNESS: 9075.904761904783        	AVG SCORE: 0.356     	AVG RATIO: 0.05824607329842932      	BEST SCORE: 5    	BEST RATIO: 0.18518518518518517      TOO_OLD: 1       	WON: 0    	
GEN: 62    AVG FITNESS: 8989.166666666684        	AVG SCORE: 0.347     	AVG RATIO: 0.0508723061134731       	BEST SCORE: 4    	BEST RATIO: 0.10256410256410256      TOO_OLD: 5       	WON: 0    	
GEN: 63    AVG FITNESS: 8870.833333333352        	AVG SCORE: 0.338     	AVG RATIO: 0.05376173055511373      	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 3       	WON: 0    	
GEN: 64    AVG FITNESS: 9793.16666666667         	AVG SCORE: 0.42      	AVG RATIO: 0.05903021784961349      	BEST SCORE: 4    	BEST RATIO: 0.08333333333333333      TOO_OLD: 4       	WON: 0    	
GEN: 65    AVG FITNESS: 9778.083333333341        	AVG SCORE: 0.418     	AVG RATIO: 0.059039548022598864     	BEST SCORE: 6    	BEST RATIO: 0.14634146341463414      TOO_OLD: 3       	WON: 0    	
GEN: 66    AVG FITNESS: 9445.738095238108        	AVG SCORE: 0.389     	AVG RATIO: 0.05510695565944185      	BEST SCORE: 5    	BEST RATIO: 0.2631578947368421       TOO_OLD: 9       	WON: 0    	
GEN: 67    AVG FITNESS: 9463.57142857144         	AVG SCORE: 0.39      	AVG RATIO: 0.054675452123931025     	BEST SCORE: 5    	BEST RATIO: 0.20833333333333334      TOO_OLD: 7       	WON: 0    	
GEN: 68    AVG FITNESS: 9266.309523809532        	AVG SCORE: 0.373     	AVG RATIO: 0.05115194733955019      	BEST SCORE: 5    	BEST RATIO: 0.08333333333333333      TOO_OLD: 7       	WON: 0    	
GEN: 69    AVG FITNESS: 9449.476190476204        	AVG SCORE: 0.389     	AVG RATIO: 0.055730659025787964     	BEST SCORE: 5    	BEST RATIO: 0.16666666666666666      TOO_OLD: 5       	WON: 0    	
