GEN: 30    AVG FITNESS: 211.83684000000002       	AVG SCORE: 1.555     	AVG RATIO: 0.0456145497213259       	BEST SCORE: 21   	BEST RATIO: 0.04208416833667335      TOO_OLD: 97      	WON: 0    	
GEN: 31    AVG FITNESS: 220.94619999999992       	AVG SCORE: 1.629     	AVG RATIO: 0.045518050743265905     	BEST SCORE: 22   	BEST RATIO: 0.047516198704103674     TOO_OLD: 102     	WON: 0    	
GEN: 32    AVG FITNESS: 208.87542000000028       	AVG SCORE: 1.544     	AVG RATIO: 0.0454706090234421       	BEST SCORE: 24   	BEST RATIO: 0.05811138014527845      TOO_OLD: 94      	WON: 0    	
GEN: 33    AVG FITNESS: 238.42981000000003       	AVG SCORE: 1.778     	AVG RATIO: 0.046446017606645594     	BEST SCORE: 18   	BEST RATIO: 0.05405405405405406      TOO_OLD: 104     	WON: 0    	
GEN: 34    AVG FITNESS: 240.5280199999999        	AVG SCORE: 1.767     	AVG RATIO: 0.04456044787411106      	BEST SCORE: 19   	BEST RATIO: 0.051630434782608696     TOO_OLD: 131     	WON: 0    	
GEN: 35    AVG FITNESS: 243.89661000000024       	AVG SCORE: 1.792     	AVG RATIO: 0.046592652297132164     	BEST SCORE: 24   	BEST RATIO: 0.06818181818181818      TOO_OLD: 111     	WON: 0    	
GEN: 36    AVG FITNESS: 263.0214700000001        	AVG SCORE: 1.959     	AVG RATIO: 0.0492297640288493       	BEST SCORE: 22   	BEST RATIO: 0.06567164179104477      TOO_OLD: 105     	WON: 0    	
GEN: 37    AVG FITNESS: 274.2374800000001        	AVG SCORE: 2.018     	AVG RATIO: 0.049424442811658094     	BEST SCORE: 23   	BEST RATIO: 0.06199460916442048      TOO_OLD: 104     	WON: 0    	
GEN: 38    AVG FITNESS: 296.0446099999999        	AVG SCORE: 2.179     	AVG RATIO: 0.04882475520401532      	BEST SCORE: 19   	BEST RATIO: 0.04428904428904429      TOO_OLD: 121     	WON: 0    	
GEN: 39    AVG FITNESS: 286.37038999999993       	AVG SCORE: 2.112     	AVG RATIO: 0.047581499087570686     	BEST SCORE: 19   	BEST RATIO: 0.05234159779614325      TOO_OLD: 135     	WON: 0    	
