GEN: 35    BEST FITNESS: 4.583333333333333        	BEST SCORE: 5    	BEST RATIO: 0.09090909090909091      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 36    BEST FITNESS: 5.5813953488372094       	BEST SCORE: 6    	BEST RATIO: 0.075                    WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 37    BEST FITNESS: 6.19672131147541         	BEST SCORE: 7    	BEST RATIO: 0.12962962962962962      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 38    BEST FITNESS: 4.9714285714285715       	BEST SCORE: 6    	BEST RATIO: 0.20689655172413793      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 39    BEST FITNESS: 6.02                     	BEST SCORE: 7    	BEST RATIO: 0.16279069767441862      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 40    BEST FITNESS: 5.0                      	BEST SCORE: 6    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 41    BEST FITNESS: 11.792857142857143       	BEST SCORE: 13   	BEST RATIO: 0.10236220472440945      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 42    BEST FITNESS: 16.346938775510203       	BEST SCORE: 18   	BEST RATIO: 0.10112359550561797      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 43    BEST FITNESS: 12.005882352941176       	BEST SCORE: 13   	BEST RATIO: 0.08280254777070063      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 44    BEST FITNESS: 8.325                    	BEST SCORE: 9    	BEST RATIO: 0.08108108108108109      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 45    BEST FITNESS: 11.729323308270677       	BEST SCORE: 13   	BEST RATIO: 0.10833333333333334      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 46    BEST FITNESS: 15.429347826086957       	BEST SCORE: 17   	BEST RATIO: 0.10179640718562874      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 47    BEST FITNESS: 14.017467248908297       	BEST SCORE: 15   	BEST RATIO: 0.07009345794392523      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 48    BEST FITNESS: 15.058823529411764       	BEST SCORE: 16   	BEST RATIO: 0.0625                   WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 49    BEST FITNESS: 16.603448275862068       	BEST SCORE: 18   	BEST RATIO: 0.08411214953271028      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 50    BEST FITNESS: 17.864779874213838       	BEST SCORE: 19   	BEST RATIO: 0.06354515050167224      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 51    BEST FITNESS: 22.455764075067023       	BEST SCORE: 24   	BEST RATIO: 0.06876790830945559      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
