GEN: 30    AVG FITNESS: 4180.913114183744        	AVG SCORE: 1.277     	AVG RATIO: 0.0562134084606242       	BEST SCORE: 19   	BEST RATIO: 0.06934306569343066      TOO_OLD: 44      	WON: 0    	
GEN: 31    AVG FITNESS: 8770.337196635552        	AVG SCORE: 1.418     	AVG RATIO: 0.05810522865104081      	BEST SCORE: 22   	BEST RATIO: 0.10232558139534884      TOO_OLD: 42      	WON: 0    	
GEN: 32    AVG FITNESS: 4325.779606149025        	AVG SCORE: 1.418     	AVG RATIO: 0.056038570976920644     	BEST SCORE: 16   	BEST RATIO: 0.0893854748603352       TOO_OLD: 52      	WON: 0    	
GEN: 33    AVG FITNESS: 5287.990828351171        	AVG SCORE: 1.425     	AVG RATIO: 0.05732791567767631      	BEST SCORE: 19   	BEST RATIO: 0.07196969696969698      TOO_OLD: 50      	WON: 0    	
GEN: 34    AVG FITNESS: 6377.473120748021        	AVG SCORE: 1.578     	AVG RATIO: 0.06275102397900346      	BEST SCORE: 18   	BEST RATIO: 0.07377049180327869      TOO_OLD: 34      	WON: 0    	
GEN: 35    AVG FITNESS: 3803.0018375850927       	AVG SCORE: 1.313     	AVG RATIO: 0.060579496170526895     	BEST SCORE: 17   	BEST RATIO: 0.056856187290969896     TOO_OLD: 26      	WON: 0    	
GEN: 36    AVG FITNESS: 5078.732793837014        	AVG SCORE: 1.377     	AVG RATIO: 0.05863317010857995      	BEST SCORE: 19   	BEST RATIO: 0.06291390728476821      TOO_OLD: 36      	WON: 0    	
GEN: 37    AVG FITNESS: 5950.111078379265        	AVG SCORE: 1.538     	AVG RATIO: 0.05549541747853071      	BEST SCORE: 18   	BEST RATIO: 0.07860262008733625      TOO_OLD: 60      	WON: 0    	
GEN: 38    AVG FITNESS: 5317.6551584986955       	AVG SCORE: 1.565     	AVG RATIO: 0.05907443756605767      	BEST SCORE: 17   	BEST RATIO: 0.07834101382488479      TOO_OLD: 50      	WON: 0    	
GEN: 39    AVG FITNESS: 14506.91738653555        	AVG SCORE: 1.533     	AVG RATIO: 0.05568268497330282      	BEST SCORE: 23   	BEST RATIO: 0.09126984126984126      TOO_OLD: 62      	WON: 0    	
GEN: 40    AVG FITNESS: 9197.347810343455        	AVG SCORE: 2.002     	AVG RATIO: 0.059269346912191365     	BEST SCORE: 19   	BEST RATIO: 0.07480314960629922      TOO_OLD: 62      	WON: 0    	
GEN: 41    AVG FITNESS: 30790.036447142254       	AVG SCORE: 2.03      	AVG RATIO: 0.05879626947807448      	BEST SCORE: 23   	BEST RATIO: 0.10087719298245613      TOO_OLD: 64      	WON: 0    	
GEN: 42    AVG FITNESS: 26199.901551533698       	AVG SCORE: 2.107     	AVG RATIO: 0.05719171575147255      	BEST SCORE: 24   	BEST RATIO: 0.07453416149068323      TOO_OLD: 75      	WON: 0    	
GEN: 43    AVG FITNESS: 10253.312786852155       	AVG SCORE: 1.931     	AVG RATIO: 0.05626620822285031      	BEST SCORE: 20   	BEST RATIO: 0.06779661016949153      TOO_OLD: 87      	WON: 0    	
GEN: 44    AVG FITNESS: 26743.744736491048       	AVG SCORE: 1.98      	AVG RATIO: 0.05958471260908818      	BEST SCORE: 24   	BEST RATIO: 0.06779661016949153      TOO_OLD: 61      	WON: 0    	
GEN: 45    AVG FITNESS: 18180.010703941338       	AVG SCORE: 2.53      	AVG RATIO: 0.06426865823299294      	BEST SCORE: 21   	BEST RATIO: 0.08045977011494253      TOO_OLD: 58      	WON: 0    	
GEN: 46    AVG FITNESS: 14154.265304184444       	AVG SCORE: 2.311     	AVG RATIO: 0.06559191666903187      	BEST SCORE: 21   	BEST RATIO: 0.06907894736842106      TOO_OLD: 54      	WON: 0    	
GEN: 47    AVG FITNESS: 25821.99233007628        	AVG SCORE: 2.271     	AVG RATIO: 0.06345347862531434      	BEST SCORE: 23   	BEST RATIO: 0.06571428571428571      TOO_OLD: 63      	WON: 0    	
GEN: 48    AVG FITNESS: 38175.470380498744       	AVG SCORE: 2.726     	AVG RATIO: 0.06864423851732473      	BEST SCORE: 24   	BEST RATIO: 0.08480565371024736      TOO_OLD: 46      	WON: 0    	
GEN: 49    AVG FITNESS: 49287.66787642018        	AVG SCORE: 2.034     	AVG RATIO: 0.060607866507747306     	BEST SCORE: 23   	BEST RATIO: 0.08646616541353383      TOO_OLD: 61      	WON: 0    	
GEN: 50    AVG FITNESS: 22342.227993967063       	AVG SCORE: 2.401     	AVG RATIO: 0.06583312769049382      	BEST SCORE: 21   	BEST RATIO: 0.0945945945945946       TOO_OLD: 52      	WON: 0    	
GEN: 51    AVG FITNESS: 24484.146772940563       	AVG SCORE: 2.358     	AVG RATIO: 0.0658659217877095       	BEST SCORE: 22   	BEST RATIO: 0.08661417322834646      TOO_OLD: 44      	WON: 0    	
GEN: 52    AVG FITNESS: 22765.60547683552        	AVG SCORE: 2.439     	AVG RATIO: 0.06479120178514505      	BEST SCORE: 21   	BEST RATIO: 0.07241379310344828      TOO_OLD: 40      	WON: 0    	
GEN: 53    AVG FITNESS: 21083.294947402846       	AVG SCORE: 2.437     	AVG RATIO: 0.06524765729585005      	BEST SCORE: 22   	BEST RATIO: 0.08058608058608059      TOO_OLD: 42      	WON: 0    	
GEN: 54    AVG FITNESS: 256096.68383336352       	AVG SCORE: 2.585     	AVG RATIO: 0.0659910139895844       	BEST SCORE: 27   	BEST RATIO: 0.07714285714285714      TOO_OLD: 42      	WON: 0    	
GEN: 55    AVG FITNESS: 19911.735884952042       	AVG SCORE: 2.869     	AVG RATIO: 0.06275015857045997      	BEST SCORE: 21   	BEST RATIO: 0.10294117647058823      TOO_OLD: 71      	WON: 0    	
GEN: 56    AVG FITNESS: 70054.57448720782        	AVG SCORE: 2.721     	AVG RATIO: 0.06335273573923167      	BEST SCORE: 25   	BEST RATIO: 0.09505703422053231      TOO_OLD: 60      	WON: 0    	
GEN: 57    AVG FITNESS: 313949.5499358589        	AVG SCORE: 3.01      	AVG RATIO: 0.05868819216970831      	BEST SCORE: 28   	BEST RATIO: 0.07235142118863049      TOO_OLD: 112     	WON: 0    	
GEN: 58    AVG FITNESS: 110761.14940224226       	AVG SCORE: 2.742     	AVG RATIO: 0.06353104726598703      	BEST SCORE: 26   	BEST RATIO: 0.07854984894259819      TOO_OLD: 57      	WON: 0    	
GEN: 59    AVG FITNESS: 189541.94200646455       	AVG SCORE: 2.238     	AVG RATIO: 0.062046021624618794     	BEST SCORE: 27   	BEST RATIO: 0.07458563535911603      TOO_OLD: 51      	WON: 0    	
GEN: 60    AVG FITNESS: 361788.2407400017        	AVG SCORE: 2.352     	AVG RATIO: 0.06012577330129352      	BEST SCORE: 28   	BEST RATIO: 0.06930693069306931      TOO_OLD: 54      	WON: 0    	
GEN: 61    AVG FITNESS: 37140.9546874257         	AVG SCORE: 2.308     	AVG RATIO: 0.06532876673554303      	BEST SCORE: 23   	BEST RATIO: 0.07516339869281045      TOO_OLD: 29      	WON: 0    	
GEN: 62    AVG FITNESS: 43271.499628279445       	AVG SCORE: 2.282     	AVG RATIO: 0.061230513295231964     	BEST SCORE: 23   	BEST RATIO: 0.07120743034055728      TOO_OLD: 52      	WON: 0    	
GEN: 63    AVG FITNESS: 182121.58502778033       	AVG SCORE: 2.408     	AVG RATIO: 0.06048275688845352      	BEST SCORE: 26   	BEST RATIO: 0.087248322147651        TOO_OLD: 57      	WON: 0    	
GEN: 64    AVG FITNESS: 98647.37292093357        	AVG SCORE: 2.425     	AVG RATIO: 0.062398682551527154     	BEST SCORE: 24   	BEST RATIO: 0.08727272727272728      TOO_OLD: 42      	WON: 0    	
GEN: 65    AVG FITNESS: 53330.518784456406       	AVG SCORE: 2.171     	AVG RATIO: 0.06155721900873312      	BEST SCORE: 25   	BEST RATIO: 0.09727626459143969      TOO_OLD: 45      	WON: 0    	
GEN: 66    AVG FITNESS: 173212.15149436647       	AVG SCORE: 2.261     	AVG RATIO: 0.058298739138282235     	BEST SCORE: 27   	BEST RATIO: 0.08517350157728706      TOO_OLD: 72      	WON: 0    	
GEN: 67    AVG FITNESS: 70669.17961077022        	AVG SCORE: 2.349     	AVG RATIO: 0.06079507220870646      	BEST SCORE: 24   	BEST RATIO: 0.08191126279863481      TOO_OLD: 47      	WON: 0    	
GEN: 68    AVG FITNESS: 315256.798223349         	AVG SCORE: 2.409     	AVG RATIO: 0.062934322587387        	BEST SCORE: 28   	BEST RATIO: 0.07427055702917772      TOO_OLD: 46      	WON: 0    	
GEN: 69    AVG FITNESS: 615392.7629430065        	AVG SCORE: 3.641     	AVG RATIO: 0.07150993793699427      	BEST SCORE: 28   	BEST RATIO: 0.06779661016949153      TOO_OLD: 28      	WON: 0    	
