GEN: 26    AVG FITNESS: 88.57736909958614        	AVG SCORE: 0.136     	AVG RATIO: 0.02692536131459117      	BEST FITNESS: 2149.249528362592        	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 27    AVG FITNESS: 93.8361431337293         	AVG SCORE: 0.137     	AVG RATIO: 0.027318045862412765     	BEST FITNESS: 5029.352235031539        	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 0       	WON: 0    	
GEN: 28    AVG FITNESS: 95.12923173900408        	AVG SCORE: 0.142     	AVG RATIO: 0.028348971850668793     	BEST FITNESS: 5024.719635813122        	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 29    AVG FITNESS: 104.73802475691548       	AVG SCORE: 0.145     	AVG RATIO: 0.02897681854516387      	BEST FITNESS: 9191.162099733898        	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 30    AVG FITNESS: 103.10824526145454       	AVG SCORE: 0.162     	AVG RATIO: 0.029834254143646412     	BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      TOO_OLD: 0       	WON: 0    	
GEN: 31    AVG FITNESS: 82.90866696394528        	AVG SCORE: 0.128     	AVG RATIO: 0.02389843166542196      	BEST FITNESS: 9187.962811309775        	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      TOO_OLD: 0       	WON: 0    	
GEN: 32    AVG FITNESS: 100.70150869671686       	AVG SCORE: 0.141     	AVG RATIO: 0.026178982547344964     	BEST FITNESS: 5026.256363523016        	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 0       	WON: 0    	
GEN: 33    AVG FITNESS: 105.95804721103093       	AVG SCORE: 0.157     	AVG RATIO: 0.025343018563357547     	BEST FITNESS: 5028.255347850331        	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 1       	WON: 0    	
GEN: 34    AVG FITNESS: 98.08949937078113        	AVG SCORE: 0.154     	AVG RATIO: 0.027170077628793223     	BEST FITNESS: 2149.6550881716457       	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 35    AVG FITNESS: 120.17321948742367       	AVG SCORE: 0.174     	AVG RATIO: 0.027562173293204498     	BEST FITNESS: 5028.82964176195         	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 1       	WON: 0    	
GEN: 36    AVG FITNESS: 134.95872950314563       	AVG SCORE: 0.182     	AVG RATIO: 0.02719665271966527      	BEST FITNESS: 5029.352235031539        	BEST SCORE: 3    	BEST RATIO: 0.375                    TOO_OLD: 5       	WON: 0    	
GEN: 37    AVG FITNESS: 100.79403622581438       	AVG SCORE: 0.148     	AVG RATIO: 0.021803182086034177     	BEST FITNESS: 5011.6542707371345       	BEST SCORE: 3    	BEST RATIO: 0.10714285714285714      TOO_OLD: 8       	WON: 0    	
GEN: 38    AVG FITNESS: 129.80531619638566       	AVG SCORE: 0.179     	AVG RATIO: 0.02240020022525341      	BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 13      	WON: 0    	
GEN: 39    AVG FITNESS: 159.9258068628694        	AVG SCORE: 0.208     	AVG RATIO: 0.024505183788878417     	BEST FITNESS: 9194.157014813387        	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       TOO_OLD: 15      	WON: 0    	
GEN: 40    AVG FITNESS: 146.77729888853864       	AVG SCORE: 0.206     	AVG RATIO: 0.021156413679778163     	BEST FITNESS: 4839.523669796747        	BEST SCORE: 3    	BEST RATIO: 0.025                    TOO_OLD: 25      	WON: 0    	
GEN: 41    AVG FITNESS: 154.66848514881193       	AVG SCORE: 0.204     	AVG RATIO: 0.018250134192163175     	BEST FITNESS: 9194.157014813387        	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       TOO_OLD: 35      	WON: 0    	
GEN: 42    AVG FITNESS: 144.39697009687237       	AVG SCORE: 0.188     	AVG RATIO: 0.015043610466511963     	BEST FITNESS: 9171.433554439702        	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      TOO_OLD: 48      	WON: 0    	
GEN: 43    AVG FITNESS: 144.14722074035467       	AVG SCORE: 0.18      	AVG RATIO: 0.013590033975084938     	BEST FITNESS: 9177.295955565198        	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 53      	WON: 0    	
GEN: 44    AVG FITNESS: 138.86340891581216       	AVG SCORE: 0.193     	AVG RATIO: 0.01548583808071893      	BEST FITNESS: 2149.9540739565236       	BEST SCORE: 2    	BEST RATIO: 0.2222222222222222       TOO_OLD: 45      	WON: 0    	
GEN: 45    AVG FITNESS: 202.32712789125702       	AVG SCORE: 0.252     	AVG RATIO: 0.02138855881853675      	BEST FITNESS: 9106.758574227595        	BEST SCORE: 4    	BEST RATIO: 0.07547169811320754      TOO_OLD: 32      	WON: 0    	
GEN: 46    AVG FITNESS: 231.6771552790568        	AVG SCORE: 0.263     	AVG RATIO: 0.020489248987223433     	BEST FITNESS: 9182.817455976632        	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 41      	WON: 0    	
GEN: 47    AVG FITNESS: 175.29708213012364       	AVG SCORE: 0.229     	AVG RATIO: 0.018565058775841102     	BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 28      	WON: 0    	
GEN: 48    AVG FITNESS: 218.27141919789352       	AVG SCORE: 0.275     	AVG RATIO: 0.020186449387065993     	BEST FITNESS: 9175.378187074351        	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 43      	WON: 0    	
GEN: 49    AVG FITNESS: 199.85690928274548       	AVG SCORE: 0.254     	AVG RATIO: 0.020621904684582283     	BEST FITNESS: 9048.382387613583        	BEST SCORE: 4    	BEST RATIO: 0.0547945205479452       TOO_OLD: 29      	WON: 0    	
GEN: 50    AVG FITNESS: 242.03756007434117       	AVG SCORE: 0.289     	AVG RATIO: 0.021211009174311925     	BEST FITNESS: 9187.962811309775        	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      TOO_OLD: 25      	WON: 0    	
GEN: 51    AVG FITNESS: 167.27364044572212       	AVG SCORE: 0.227     	AVG RATIO: 0.01491752645068016      	BEST FITNESS: 8820.754803206062        	BEST SCORE: 4    	BEST RATIO: 0.029197080291970802     TOO_OLD: 47      	WON: 0    	
GEN: 52    AVG FITNESS: 232.26953261284018       	AVG SCORE: 0.27      	AVG RATIO: 0.0167348456675344       	BEST FITNESS: 9171.433554439702        	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      TOO_OLD: 56      	WON: 0    	
GEN: 53    AVG FITNESS: 277.69878682705547       	AVG SCORE: 0.291     	AVG RATIO: 0.01764705882352941      	BEST FITNESS: 14667.883399141554       	BEST SCORE: 5    	BEST RATIO: 0.20833333333333334      TOO_OLD: 56      	WON: 0    	
GEN: 54    AVG FITNESS: 254.76142948322675       	AVG SCORE: 0.31      	AVG RATIO: 0.018850714502888416     	BEST FITNESS: 9137.840909256109        	BEST SCORE: 4    	BEST RATIO: 0.0975609756097561       TOO_OLD: 49      	WON: 0    	
