GEN: 51    BEST FITNESS: 2148127388.837529        	BEST SCORE: 31   	BEST RATIO: 0.060077519379844964     WON: 0    	
GEN: 52    BEST FITNESS: 4295657293.557362        	BEST SCORE: 32   	BEST RATIO: 0.06324110671936758      WON: 0    	
GEN: 53    BEST FITNESS: 268955147.7017809        	BEST SCORE: 28   	BEST RATIO: 0.05785123966942149      WON: 0    	
GEN: 54    BEST FITNESS: 2148118914.316298        	BEST SCORE: 31   	BEST RATIO: 0.05057096247960848      WON: 0    	
GEN: 55    BEST FITNESS: 17180654122.06889        	BEST SCORE: 34   	BEST RATIO: 0.06614785992217899      WON: 0    	
GEN: 56    BEST FITNESS: 1074345833.4246855       	BEST SCORE: 30   	BEST RATIO: 0.06437768240343347      WON: 0    	
GEN: 57    BEST FITNESS: 4295654097.126215        	BEST SCORE: 32   	BEST RATIO: 0.05904059040590406      WON: 0    	
GEN: 58    BEST FITNESS: 1074348341.8438451       	BEST SCORE: 30   	BEST RATIO: 0.06912442396313365      WON: 0    	
GEN: 59    BEST FITNESS: 4295649365.895646        	BEST SCORE: 32   	BEST RATIO: 0.05387205387205387      WON: 0    	
GEN: 60    BEST FITNESS: 17180645651.70311        	BEST SCORE: 34   	BEST RATIO: 0.056572379367720464     WON: 0    	
GEN: 61    BEST FITNESS: 8590672895.096558        	BEST SCORE: 33   	BEST RATIO: 0.06707317073170732      WON: 0    	
GEN: 62    BEST FITNESS: 4295661107.184079        	BEST SCORE: 32   	BEST RATIO: 0.06926406926406926      WON: 0    	
GEN: 63    BEST FITNESS: 1074347875.6657517       	BEST SCORE: 30   	BEST RATIO: 0.06818181818181818      WON: 0    	
GEN: 64    BEST FITNESS: 268958272.98584247       	BEST SCORE: 28   	BEST RATIO: 0.06349206349206349      WON: 0    	
GEN: 65    BEST FITNESS: 17180647634.062145       	BEST SCORE: 34   	BEST RATIO: 0.058519793459552494     WON: 0    	
GEN: 66    BEST FITNESS: 68720348830.9447         	BEST SCORE: 36   	BEST RATIO: 0.054878048780487805     WON: 0    	
GEN: 67    BEST FITNESS: 34360560532.29846        	BEST SCORE: 35   	BEST RATIO: 0.05451713395638629      WON: 0    	
GEN: 68    BEST FITNESS: 137439875080.38974       	BEST SCORE: 37   	BEST RATIO: 0.053857350800582245     WON: 0    	
GEN: 69    BEST FITNESS: 17180644452.61307        	BEST SCORE: 34   	BEST RATIO: 0.05546492659053834      WON: 0    	
GEN: 70    BEST FITNESS: 1099512705455.0718       	BEST SCORE: 40   	BEST RATIO: 0.050955414012738856     WON: 0    	
GEN: 71    BEST FITNESS: 549756843729.0853        	BEST SCORE: 39   	BEST RATIO: 0.05508474576271186      WON: 0    	
GEN: 72    BEST FITNESS: 34360564082.38668        	BEST SCORE: 35   	BEST RATIO: 0.05756578947368421      WON: 0    	
GEN: 73    BEST FITNESS: 34360577756.19153        	BEST SCORE: 35   	BEST RATIO: 0.07430997876857749      WON: 0    	
GEN: 74    BEST FITNESS: 1074332715.4672823       	BEST SCORE: 30   	BEST RATIO: 0.04807692307692308      WON: 0    	
GEN: 75    BEST FITNESS: 34360575535.746605       	BEST SCORE: 35   	BEST RATIO: 0.0708502024291498       WON: 0    	
GEN: 76    BEST FITNESS: 137439869858.06158       	BEST SCORE: 37   	BEST RATIO: 0.050546448087431695     WON: 0    	
GEN: 77    BEST FITNESS: 281474978255946.9        	BEST SCORE: 48   	BEST RATIO: 0.0440771349862259       WON: 0    	
GEN: 78    BEST FITNESS: 4503599629219095.0       	BEST SCORE: 52   	BEST RATIO: 0.04961832061068702      WON: 0    	
GEN: 79    BEST FITNESS: 140737489870248.25       	BEST SCORE: 47   	BEST RATIO: 0.05471478463329453      WON: 0    	
GEN: 80    BEST FITNESS: 4.611686018429967e+18    	BEST SCORE: 62   	BEST RATIO: 0.040129449838187704     WON: 0    	
GEN: 81    BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.041767554479418885     WON: 0    	
GEN: 82    BEST FITNESS: 9.22337203685748e+18     	BEST SCORE: 63   	BEST RATIO: 0.043933054393305436     WON: 0    	
GEN: 83    BEST FITNESS: 9.22337203685744e+18     	BEST SCORE: 63   	BEST RATIO: 0.04017857142857143      WON: 0    	
GEN: 84    BEST FITNESS: 9.22337203685742e+18     	BEST SCORE: 63   	BEST RATIO: 0.03832116788321168      WON: 0    	
GEN: 85    BEST FITNESS: 1.8446744073712288e+19   	BEST SCORE: 64   	BEST RATIO: 0.039000609384521635     WON: 0    	
GEN: 86    BEST FITNESS: 7.205759403997963e+16    	BEST SCORE: 56   	BEST RATIO: 0.035668789808917196     WON: 0    	
GEN: 87    BEST FITNESS: 5.76460752305797e+17     	BEST SCORE: 59   	BEST RATIO: 0.04555984555984556      WON: 0    	
GEN: 88    BEST FITNESS: 1.1529215046092104e+18   	BEST SCORE: 60   	BEST RATIO: 0.03577817531305903      WON: 0    	
GEN: 89    BEST FITNESS: 9.223372036857414e+18    	BEST SCORE: 63   	BEST RATIO: 0.03786057692307692      WON: 0    	
GEN: 90    BEST FITNESS: 5.764607523057733e+17    	BEST SCORE: 59   	BEST RATIO: 0.04241552839683681      WON: 0    	
GEN: 91    BEST FITNESS: 4.61168601842998e+18     	BEST SCORE: 62   	BEST RATIO: 0.04144385026737968      WON: 0    	
GEN: 92    BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.04288407163053723      WON: 0    	
GEN: 93    BEST FITNESS: 1.5474250491067253e+26   	BEST SCORE: 87   	BEST RATIO: 0.04080675422138837      WON: 0    	
GEN: 94    BEST FITNESS: 1.2379400392853803e+27   	BEST SCORE: 90   	BEST RATIO: 0.041077133728890915     WON: 0    	
GEN: 95    BEST FITNESS: 4.951760157141521e+27    	BEST SCORE: 92   	BEST RATIO: 0.05013623978201635      WON: 0    	
GEN: 96    BEST FITNESS: 6.189700196426902e+26    	BEST SCORE: 89   	BEST RATIO: 0.04434479322371699      WON: 0    	
GEN: 97    BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.03894297635605007      WON: 0    	
GEN: 98    BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04308390022675737      WON: 0    	
GEN: 99    BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.03788246721709568      WON: 0    	
GEN: 100   BEST FITNESS: 4.835703278458517e+24    	BEST SCORE: 82   	BEST RATIO: 0.045657015590200446     WON: 0    	
GEN: 101   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.03864503816793893      WON: 0    	
GEN: 102   BEST FITNESS: 4.611686018429942e+18    	BEST SCORE: 62   	BEST RATIO: 0.037874160048869884     WON: 0    	
GEN: 103   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.0410958904109589       WON: 0    	
GEN: 104   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04156626506024096      WON: 0    	
GEN: 105   BEST FITNESS: 5.902958103587088e+20    	BEST SCORE: 69   	BEST RATIO: 0.03760217983651226      WON: 0    	
GEN: 106   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04148471615720524      WON: 0    	
GEN: 107   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04124293785310734      WON: 0    	
GEN: 108   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.0365                   WON: 0    	
GEN: 109   BEST FITNESS: 5.902958103587088e+20    	BEST SCORE: 69   	BEST RATIO: 0.035640495867768594     WON: 0    	
GEN: 110   BEST FITNESS: 2.951479051793559e+20    	BEST SCORE: 68   	BEST RATIO: 0.038923869490555235     WON: 0    	
GEN: 111   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.033460803059273424     WON: 0    	
GEN: 112   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.03801652892561983      WON: 0    	
GEN: 113   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.03621314019658562      WON: 0    	
GEN: 114   BEST FITNESS: 9.22337203685751e+18     	BEST SCORE: 63   	BEST RATIO: 0.04783599088838269      WON: 0    	
GEN: 115   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.04248952722920407      WON: 0    	
GEN: 116   BEST FITNESS: 1.475739525896794e+20    	BEST SCORE: 67   	BEST RATIO: 0.0389308541545613       WON: 0    	
GEN: 117   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.033482142857142856     WON: 0    	
GEN: 118   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.03915171288743882      WON: 0    	
GEN: 119   BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.043523316062176166     WON: 0    	
GEN: 120   BEST FITNESS: 4.835703278458517e+24    	BEST SCORE: 82   	BEST RATIO: 0.029839883551673944     WON: 0    	
GEN: 121   BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.036347901341410645     WON: 0    	
GEN: 122   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.04448295782784518      WON: 0    	
GEN: 123   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.030775716694772345     WON: 0    	
GEN: 124   BEST FITNESS: 9.671406556917033e+24    	BEST SCORE: 83   	BEST RATIO: 0.03830179972311952      WON: 0    	
GEN: 125   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.03379224030037547      WON: 0    	
GEN: 126   BEST FITNESS: 4.722366482869648e+21    	BEST SCORE: 72   	BEST RATIO: 0.0326530612244898       WON: 0    	
GEN: 127   BEST FITNESS: 3.094850098213451e+26    	BEST SCORE: 88   	BEST RATIO: 0.042450554751567775     WON: 0    	
GEN: 128   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.0337751175716118       WON: 0    	
GEN: 129   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.043583535108958835     WON: 0    	
GEN: 130   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.044296788482835        WON: 0    	
GEN: 131   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04098820887142055      WON: 0    	
GEN: 132   BEST FITNESS: 3.8685626227668134e+25   	BEST SCORE: 85   	BEST RATIO: 0.04228855721393035      WON: 0    	
GEN: 133   BEST FITNESS: 4.722366482869648e+21    	BEST SCORE: 72   	BEST RATIO: 0.0316622691292876       WON: 0    	
GEN: 134   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.035119315623592974     WON: 0    	
