GEN: 25    AVG SCORE: 0.25272727272727274   	AVG RATIO: 0.028466395260636306  	BEST SCORE: 4    	BEST RATIO: 0.16                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 26    AVG SCORE: 0.2636363636363636    	AVG RATIO: 0.029074434786515207  	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 27    AVG SCORE: 0.24272727272727274   	AVG RATIO: 0.027502611157088668  	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 28    AVG SCORE: 0.2590909090909091    	AVG RATIO: 0.027686765251873913  	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 29    AVG SCORE: 0.28545454545454546   	AVG RATIO: 0.03147959937324054   	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 30    AVG SCORE: 0.24272727272727274   	AVG RATIO: 0.03144483737914163   	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 31    AVG SCORE: 0.2590909090909091    	AVG RATIO: 0.02935994268295835   	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 32    AVG SCORE: 0.2781818181818182    	AVG RATIO: 0.02824266459895619   	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 33    AVG SCORE: 0.31363636363636366   	AVG RATIO: 0.03528743939719395   	BEST SCORE: 5    	BEST RATIO: 0.4166666666666667    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 34    AVG SCORE: 0.2963636363636364    	AVG RATIO: 0.03244713587420879   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 35    AVG SCORE: 0.32                  	AVG RATIO: 0.032845191632984674  	BEST SCORE: 5    	BEST RATIO: 0.20833333333333334   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 36    AVG SCORE: 0.3372727272727273    	AVG RATIO: 0.036259196912796554  	BEST SCORE: 5    	BEST RATIO: 0.35714285714285715   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 37    AVG SCORE: 0.35909090909090907   	AVG RATIO: 0.035681919687668026  	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 38    AVG SCORE: 0.3663636363636364    	AVG RATIO: 0.03537118388986038   	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 39    AVG SCORE: 0.35545454545454547   	AVG RATIO: 0.035784636146693125  	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 40    AVG SCORE: 0.3663636363636364    	AVG RATIO: 0.035054674155516524  	BEST SCORE: 5    	BEST RATIO: 0.29411764705882354   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 41    AVG SCORE: 0.38181818181818183   	AVG RATIO: 0.0370238699849       	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 42    AVG SCORE: 0.36363636363636365   	AVG RATIO: 0.03721267233396249   	BEST SCORE: 4    	BEST RATIO: 0.13793103448275862   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 43    AVG SCORE: 0.37454545454545457   	AVG RATIO: 0.03665776957098283   	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 44    AVG SCORE: 0.3845454545454545    	AVG RATIO: 0.03823824787410302   	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 45    AVG SCORE: 0.4036363636363636    	AVG RATIO: 0.03686902347748151   	BEST SCORE: 5    	BEST RATIO: 0.16129032258064516   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 46    AVG SCORE: 0.3618181818181818    	AVG RATIO: 0.036023428085116715  	BEST SCORE: 5    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 47    AVG SCORE: 0.37                  	AVG RATIO: 0.03917061421139527   	BEST SCORE: 4    	BEST RATIO: 0.11428571428571428   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 48    AVG SCORE: 0.38181818181818183   	AVG RATIO: 0.03565041306252577   	BEST SCORE: 5    	BEST RATIO: 0.2631578947368421    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 49    AVG SCORE: 0.41545454545454547   	AVG RATIO: 0.04138390567486573   	BEST SCORE: 5    	BEST RATIO: 0.10416666666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 50    AVG SCORE: 0.40545454545454546   	AVG RATIO: 0.04404402569358101   	BEST SCORE: 5    	BEST RATIO: 0.11904761904761904   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 51    AVG SCORE: 0.39181818181818184   	AVG RATIO: 0.037658970037371654  	BEST SCORE: 5    	BEST RATIO: 0.19230769230769232   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 52    AVG SCORE: 0.37636363636363634   	AVG RATIO: 0.03695714580177279   	BEST SCORE: 5    	BEST RATIO: 0.2777777777777778    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 53    AVG SCORE: 0.36                  	AVG RATIO: 0.035055601456232044  	BEST SCORE: 4    	BEST RATIO: 0.12903225806451613   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 54    AVG SCORE: 0.3790909090909091    	AVG RATIO: 0.03683693852290716   	BEST SCORE: 6    	BEST RATIO: 0.07228915662650602   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 55    AVG SCORE: 0.37272727272727274   	AVG RATIO: 0.03376787567238047   	BEST SCORE: 7    	BEST RATIO: 0.09722222222222222   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 56    AVG SCORE: 0.42818181818181816   	AVG RATIO: 0.03646728611805115   	BEST SCORE: 5    	BEST RATIO: 0.1388888888888889    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 57    AVG SCORE: 0.45545454545454545   	AVG RATIO: 0.04368484085377855   	BEST SCORE: 7    	BEST RATIO: 0.058823529411764705  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 58    AVG SCORE: 0.5027272727272727    	AVG RATIO: 0.041939390384082474  	BEST SCORE: 9    	BEST RATIO: 0.05113636363636364   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 59    AVG SCORE: 0.5036363636363637    	AVG RATIO: 0.0427446985135372    	BEST SCORE: 8    	BEST RATIO: 0.05673758865248227   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 60    AVG SCORE: 0.5009090909090909    	AVG RATIO: 0.0417395062954758    	BEST SCORE: 11   	BEST RATIO: 0.05365853658536585   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 61    AVG SCORE: 0.5254545454545455    	AVG RATIO: 0.03876544449679211   	BEST SCORE: 24   	BEST RATIO: 0.08247422680412371   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
