GEN: 115   AVG SCORE: 3.28                  	AVG RATIO: 0.06346834033870884   	BEST SCORE: 22   	BEST RATIO: 0.08870967741935484   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 116   AVG SCORE: 3.3636363636363638    	AVG RATIO: 0.06394943094433841   	BEST SCORE: 20   	BEST RATIO: 0.0847457627118644    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 117   AVG SCORE: 3.289090909090909     	AVG RATIO: 0.06572731145230315   	BEST SCORE: 24   	BEST RATIO: 0.08602150537634409   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 118   AVG SCORE: 3.3163636363636364    	AVG RATIO: 0.0635218399451419    	BEST SCORE: 21   	BEST RATIO: 0.07291666666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 119   AVG SCORE: 3.381818181818182     	AVG RATIO: 0.06121306861370446   	BEST SCORE: 21   	BEST RATIO: 0.0875                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 120   AVG SCORE: 3.5327272727272727    	AVG RATIO: 0.06438752014132622   	BEST SCORE: 19   	BEST RATIO: 0.06484641638225255   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 121   AVG SCORE: 3.56                  	AVG RATIO: 0.0632823478442622    	BEST SCORE: 23   	BEST RATIO: 0.09055118110236221   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 122   AVG SCORE: 3.6954545454545453    	AVG RATIO: 0.06559527337533662   	BEST SCORE: 18   	BEST RATIO: 0.09523809523809523   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 123   AVG SCORE: 3.839090909090909     	AVG RATIO: 0.06569714402855845   	BEST SCORE: 23   	BEST RATIO: 0.07395498392282958   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 124   AVG SCORE: 3.962727272727273     	AVG RATIO: 0.06847337247713696   	BEST SCORE: 21   	BEST RATIO: 0.09130434782608696   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 125   AVG SCORE: 3.5863636363636364    	AVG RATIO: 0.06207995072840639   	BEST SCORE: 22   	BEST RATIO: 0.0859375             WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 126   AVG SCORE: 4.236363636363636     	AVG RATIO: 0.06530756406734199   	BEST SCORE: 23   	BEST RATIO: 0.09090909090909091   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 127   AVG SCORE: 4.2281818181818185    	AVG RATIO: 0.06339818743111147   	BEST SCORE: 25   	BEST RATIO: 0.08445945945945946   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 128   AVG SCORE: 4.284545454545454     	AVG RATIO: 0.06512544029938047   	BEST SCORE: 23   	BEST RATIO: 0.08518518518518518   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 129   AVG SCORE: 4.125454545454545     	AVG RATIO: 0.06486931840661045   	BEST SCORE: 21   	BEST RATIO: 0.07954545454545454   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 130   AVG SCORE: 4.192727272727272     	AVG RATIO: 0.06433101436678179   	BEST SCORE: 24   	BEST RATIO: 0.06956521739130435   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 131   AVG SCORE: 4.329090909090909     	AVG RATIO: 0.06296328759428592   	BEST SCORE: 28   	BEST RATIO: 0.0665083135391924    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 132   AVG SCORE: 3.939090909090909     	AVG RATIO: 0.06308515468619023   	BEST SCORE: 24   	BEST RATIO: 0.08333333333333333   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 133   AVG SCORE: 4.17                  	AVG RATIO: 0.06539175737944339   	BEST SCORE: 21   	BEST RATIO: 0.075                 WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 134   AVG SCORE: 4.592727272727273     	AVG RATIO: 0.06880912372540722   	BEST SCORE: 22   	BEST RATIO: 0.08527131782945736   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 135   AVG SCORE: 4.254545454545455     	AVG RATIO: 0.06399808497081155   	BEST SCORE: 27   	BEST RATIO: 0.06835443037974684   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 136   AVG SCORE: 4.276363636363636     	AVG RATIO: 0.062046134094884     	BEST SCORE: 24   	BEST RATIO: 0.08955223880597014   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 137   AVG SCORE: 4.6036363636363635    	AVG RATIO: 0.06157372489967991   	BEST SCORE: 22   	BEST RATIO: 0.08                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 138   AVG SCORE: 4.879090909090909     	AVG RATIO: 0.06287827946922357   	BEST SCORE: 24   	BEST RATIO: 0.05741626794258373   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 139   AVG SCORE: 4.8954545454545455    	AVG RATIO: 0.06615806861214878   	BEST SCORE: 23   	BEST RATIO: 0.07876712328767123   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 140   AVG SCORE: 5.030909090909091     	AVG RATIO: 0.06372584781059835   	BEST SCORE: 23   	BEST RATIO: 0.10747663551401869   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 141   AVG SCORE: 5.2263636363636365    	AVG RATIO: 0.06680344026361514   	BEST SCORE: 25   	BEST RATIO: 0.06443298969072164   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 142   AVG SCORE: 5.233636363636363     	AVG RATIO: 0.06106510324547114   	BEST SCORE: 24   	BEST RATIO: 0.1016949152542373    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 143   AVG SCORE: 5.05                  	AVG RATIO: 0.06410575544360118   	BEST SCORE: 24   	BEST RATIO: 0.07894736842105263   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 144   AVG SCORE: 5.288181818181818     	AVG RATIO: 0.06388982805727708   	BEST SCORE: 25   	BEST RATIO: 0.08650519031141868   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 145   AVG SCORE: 5.331818181818182     	AVG RATIO: 0.06588204519936527   	BEST SCORE: 24   	BEST RATIO: 0.07973421926910298   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 146   AVG SCORE: 5.215454545454546     	AVG RATIO: 0.061767443597180546  	BEST SCORE: 23   	BEST RATIO: 0.07903780068728522   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 147   AVG SCORE: 5.45                  	AVG RATIO: 0.06616073597692596   	BEST SCORE: 23   	BEST RATIO: 0.09465020576131687   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 148   AVG SCORE: 5.598181818181819     	AVG RATIO: 0.0632674882497829    	BEST SCORE: 25   	BEST RATIO: 0.06720430107526881   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 149   AVG SCORE: 6.0                   	AVG RATIO: 0.0654494648421104    	BEST SCORE: 27   	BEST RATIO: 0.09375               WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 150   AVG SCORE: 5.75                  	AVG RATIO: 0.0653214173416537    	BEST SCORE: 27   	BEST RATIO: 0.07714285714285714   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 151   AVG SCORE: 5.9409090909090905    	AVG RATIO: 0.062355237122478306  	BEST SCORE: 26   	BEST RATIO: 0.07222222222222222   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 152   AVG SCORE: 5.989090909090909     	AVG RATIO: 0.06083459895414598   	BEST SCORE: 26   	BEST RATIO: 0.07669616519174041   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 153   AVG SCORE: 6.167272727272727     	AVG RATIO: 0.06319478585402023   	BEST SCORE: 27   	BEST RATIO: 0.07780979827089338   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 154   AVG SCORE: 6.058181818181819     	AVG RATIO: 0.05984446575218139   	BEST SCORE: 24   	BEST RATIO: 0.06976744186046512   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 155   AVG SCORE: 6.08                  	AVG RATIO: 0.05972883998338388   	BEST SCORE: 25   	BEST RATIO: 0.08928571428571429   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 156   AVG SCORE: 6.157272727272727     	AVG RATIO: 0.059885661372469576  	BEST SCORE: 28   	BEST RATIO: 0.05785123966942149   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 157   AVG SCORE: 6.152727272727272     	AVG RATIO: 0.0597060424941865    	BEST SCORE: 27   	BEST RATIO: 0.06553398058252427   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 158   AVG SCORE: 6.286363636363636     	AVG RATIO: 0.0577123566593666    	BEST SCORE: 26   	BEST RATIO: 0.07647058823529412   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 159   AVG SCORE: 6.359090909090909     	AVG RATIO: 0.058757330554990675  	BEST SCORE: 24   	BEST RATIO: 0.1095890410958904    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 160   AVG SCORE: 6.383636363636364     	AVG RATIO: 0.06256339228472374   	BEST SCORE: 24   	BEST RATIO: 0.10480349344978165   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 161   AVG SCORE: 6.617272727272727     	AVG RATIO: 0.05932232003487241   	BEST SCORE: 27   	BEST RATIO: 0.06192660550458716   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 162   AVG SCORE: 6.423636363636364     	AVG RATIO: 0.057730537705447615  	BEST SCORE: 28   	BEST RATIO: 0.07329842931937172   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 163   AVG SCORE: 6.382727272727273     	AVG RATIO: 0.058816675128580534  	BEST SCORE: 24   	BEST RATIO: 0.08421052631578947   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 164   AVG SCORE: 6.710909090909091     	AVG RATIO: 0.05986983529183857   	BEST SCORE: 27   	BEST RATIO: 0.07336956521739131   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 165   AVG SCORE: 6.928181818181818     	AVG RATIO: 0.05923219033139691   	BEST SCORE: 28   	BEST RATIO: 0.07017543859649122   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 166   AVG SCORE: 7.100909090909091     	AVG RATIO: 0.05964547743094993   	BEST SCORE: 28   	BEST RATIO: 0.0681265206812652    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 167   AVG SCORE: 6.903636363636363     	AVG RATIO: 0.0595186091913058    	BEST SCORE: 27   	BEST RATIO: 0.07871720116618076   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 168   AVG SCORE: 7.047272727272727     	AVG RATIO: 0.05982391451479068   	BEST SCORE: 29   	BEST RATIO: 0.08529411764705883   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 169   AVG SCORE: 6.882727272727273     	AVG RATIO: 0.05790486729791261   	BEST SCORE: 26   	BEST RATIO: 0.07202216066481995   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 170   AVG SCORE: 7.068181818181818     	AVG RATIO: 0.059531193504854266  	BEST SCORE: 26   	BEST RATIO: 0.07262569832402235   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 171   AVG SCORE: 6.798181818181818     	AVG RATIO: 0.057494336639372506  	BEST SCORE: 27   	BEST RATIO: 0.06537530266343826   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 172   AVG SCORE: 7.189090909090909     	AVG RATIO: 0.05620303085270231   	BEST SCORE: 28   	BEST RATIO: 0.08139534883720931   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 173   AVG SCORE: 6.927272727272728     	AVG RATIO: 0.059179404319247016  	BEST SCORE: 28   	BEST RATIO: 0.0665083135391924    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 174   AVG SCORE: 7.011818181818182     	AVG RATIO: 0.06022140050104076   	BEST SCORE: 25   	BEST RATIO: 0.102880658436214     WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 175   AVG SCORE: 7.398181818181818     	AVG RATIO: 0.058271058679147184  	BEST SCORE: 28   	BEST RATIO: 0.07446808510638298   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 176   AVG SCORE: 7.506363636363637     	AVG RATIO: 0.061465946485489246  	BEST SCORE: 28   	BEST RATIO: 0.06982543640897755   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 177   AVG SCORE: 7.123636363636364     	AVG RATIO: 0.05932990436294917   	BEST SCORE: 27   	BEST RATIO: 0.06398104265402843   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 178   AVG SCORE: 7.6445454545454545    	AVG RATIO: 0.05984576649984578   	BEST SCORE: 28   	BEST RATIO: 0.08408408408408409   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 179   AVG SCORE: 7.329090909090909     	AVG RATIO: 0.05679888215147963   	BEST SCORE: 28   	BEST RATIO: 0.09333333333333334   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 180   AVG SCORE: 7.450909090909091     	AVG RATIO: 0.05821538416289038   	BEST SCORE: 28   	BEST RATIO: 0.1339712918660287    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 181   AVG SCORE: 7.41                  	AVG RATIO: 0.0591326053462428    	BEST SCORE: 29   	BEST RATIO: 0.07945205479452055   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 182   AVG SCORE: 7.263636363636364     	AVG RATIO: 0.0590665984404482    	BEST SCORE: 29   	BEST RATIO: 0.08192090395480225   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 183   AVG SCORE: 7.2290909090909095    	AVG RATIO: 0.05925274804751058   	BEST SCORE: 27   	BEST RATIO: 0.0630841121495327    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 184   AVG SCORE: 7.160909090909091     	AVG RATIO: 0.05906901964667009   	BEST SCORE: 29   	BEST RATIO: 0.07611548556430446   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 185   AVG SCORE: 7.381818181818182     	AVG RATIO: 0.06107785813573567   	BEST SCORE: 29   	BEST RATIO: 0.06236559139784946   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 186   AVG SCORE: 7.5209090909090905    	AVG RATIO: 0.06330171712231318   	BEST SCORE: 29   	BEST RATIO: 0.0675990675990676    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 187   AVG SCORE: 7.545454545454546     	AVG RATIO: 0.05964241085246995   	BEST SCORE: 26   	BEST RATIO: 0.0718232044198895    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 188   AVG SCORE: 7.634545454545455     	AVG RATIO: 0.061198409435920344  	BEST SCORE: 31   	BEST RATIO: 0.07363420427553444   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 189   AVG SCORE: 7.4363636363636365    	AVG RATIO: 0.060456806568460086  	BEST SCORE: 31   	BEST RATIO: 0.07142857142857142   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 190   AVG SCORE: 7.566363636363636     	AVG RATIO: 0.060561771499797835  	BEST SCORE: 29   	BEST RATIO: 0.06744186046511629   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 191   AVG SCORE: 7.598181818181819     	AVG RATIO: 0.05858351052191895   	BEST SCORE: 28   	BEST RATIO: 0.06526806526806526   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 192   AVG SCORE: 7.601818181818182     	AVG RATIO: 0.05795860460208038   	BEST SCORE: 34   	BEST RATIO: 0.07505518763796909   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 193   AVG SCORE: 8.24909090909091      	AVG RATIO: 0.05877379346693073   	BEST SCORE: 30   	BEST RATIO: 0.06329113924050633   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 194   AVG SCORE: 8.282727272727273     	AVG RATIO: 0.05889596333101759   	BEST SCORE: 30   	BEST RATIO: 0.06109979633401222   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 195   AVG SCORE: 8.063636363636364     	AVG RATIO: 0.05921528092487749   	BEST SCORE: 28   	BEST RATIO: 0.07932011331444759   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 196   AVG SCORE: 8.066363636363636     	AVG RATIO: 0.06021355064070912   	BEST SCORE: 26   	BEST RATIO: 0.06842105263157895   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 197   AVG SCORE: 7.457272727272727     	AVG RATIO: 0.05839623004781284   	BEST SCORE: 26   	BEST RATIO: 0.08024691358024691   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 198   AVG SCORE: 7.922727272727273     	AVG RATIO: 0.0570818395859028    	BEST SCORE: 27   	BEST RATIO: 0.07277628032345014   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 199   AVG SCORE: 8.123636363636363     	AVG RATIO: 0.060813206177087124  	BEST SCORE: 26   	BEST RATIO: 0.06914893617021277   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 200   AVG SCORE: 7.758181818181818     	AVG RATIO: 0.05886611644186763   	BEST SCORE: 27   	BEST RATIO: 0.07105263157894737   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 201   AVG SCORE: 8.267272727272728     	AVG RATIO: 0.0622199001785188    	BEST SCORE: 27   	BEST RATIO: 0.06323185011709602   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 202   AVG SCORE: 7.950909090909091     	AVG RATIO: 0.05826846141132312   	BEST SCORE: 29   	BEST RATIO: 0.06823529411764706   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 203   AVG SCORE: 8.255454545454546     	AVG RATIO: 0.061252872661566274  	BEST SCORE: 26   	BEST RATIO: 0.0931899641577061    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 204   AVG SCORE: 7.983636363636363     	AVG RATIO: 0.06097377297662679   	BEST SCORE: 30   	BEST RATIO: 0.06666666666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 205   AVG SCORE: 8.223636363636365     	AVG RATIO: 0.05920958727582196   	BEST SCORE: 27   	BEST RATIO: 0.07180851063829788   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 206   AVG SCORE: 8.616363636363637     	AVG RATIO: 0.05954665291757358   	BEST SCORE: 31   	BEST RATIO: 0.06904231625835189   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 207   AVG SCORE: 8.155454545454546     	AVG RATIO: 0.05822950382633009   	BEST SCORE: 33   	BEST RATIO: 0.07838479809976247   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 208   AVG SCORE: 8.044545454545455     	AVG RATIO: 0.0594091555249001    	BEST SCORE: 32   	BEST RATIO: 0.05414551607445008   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 209   AVG SCORE: 8.328181818181818     	AVG RATIO: 0.05916488842942858   	BEST SCORE: 30   	BEST RATIO: 0.07058823529411765   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 210   AVG SCORE: 8.34                  	AVG RATIO: 0.060834760531539946  	BEST SCORE: 27   	BEST RATIO: 0.05578512396694215   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 211   AVG SCORE: 8.25                  	AVG RATIO: 0.06079054425063398   	BEST SCORE: 31   	BEST RATIO: 0.09226190476190477   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 212   AVG SCORE: 8.12                  	AVG RATIO: 0.05854590912284151   	BEST SCORE: 28   	BEST RATIO: 0.07799442896935933   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 213   AVG SCORE: 8.383636363636363     	AVG RATIO: 0.05810587476774255   	BEST SCORE: 31   	BEST RATIO: 0.08157894736842106   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 214   AVG SCORE: 8.265454545454546     	AVG RATIO: 0.0581596296011403    	BEST SCORE: 28   	BEST RATIO: 0.0665083135391924    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 215   AVG SCORE: 8.129090909090909     	AVG RATIO: 0.05796928671781463   	BEST SCORE: 27   	BEST RATIO: 0.06733167082294264   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 216   AVG SCORE: 8.036363636363637     	AVG RATIO: 0.05987199554648701   	BEST SCORE: 28   	BEST RATIO: 0.09333333333333334   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 217   AVG SCORE: 8.43                  	AVG RATIO: 0.057425498216546085  	BEST SCORE: 30   	BEST RATIO: 0.06276150627615062   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 218   AVG SCORE: 8.102727272727273     	AVG RATIO: 0.05903022908553917   	BEST SCORE: 28   	BEST RATIO: 0.058577405857740586  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 219   AVG SCORE: 7.967272727272727     	AVG RATIO: 0.058629480989683125  	BEST SCORE: 31   	BEST RATIO: 0.07311320754716981   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 220   AVG SCORE: 8.728181818181818     	AVG RATIO: 0.059063489410202744  	BEST SCORE: 29   	BEST RATIO: 0.09634551495016612   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 221   AVG SCORE: 8.883636363636363     	AVG RATIO: 0.06018203256040628   	BEST SCORE: 28   	BEST RATIO: 0.09061488673139159   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 222   AVG SCORE: 8.595454545454546     	AVG RATIO: 0.05920193009256534   	BEST SCORE: 29   	BEST RATIO: 0.07004830917874397   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 223   AVG SCORE: 8.896363636363636     	AVG RATIO: 0.05918408863550903   	BEST SCORE: 30   	BEST RATIO: 0.05964214711729622   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 224   AVG SCORE: 8.81090909090909      	AVG RATIO: 0.0609077435942765    	BEST SCORE: 28   	BEST RATIO: 0.07466666666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 225   AVG SCORE: 8.864545454545455     	AVG RATIO: 0.061094981320424985  	BEST SCORE: 30   	BEST RATIO: 0.10526315789473684   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 226   AVG SCORE: 8.792727272727273     	AVG RATIO: 0.05899747587382748   	BEST SCORE: 29   	BEST RATIO: 0.07341772151898734   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 227   AVG SCORE: 8.867272727272727     	AVG RATIO: 0.05884178333128915   	BEST SCORE: 29   	BEST RATIO: 0.0935483870967742    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 228   AVG SCORE: 8.680909090909092     	AVG RATIO: 0.05845264811675641   	BEST SCORE: 26   	BEST RATIO: 0.08904109589041095   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 229   AVG SCORE: 9.045454545454545     	AVG RATIO: 0.06050500215001877   	BEST SCORE: 29   	BEST RATIO: 0.09034267912772585   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 230   AVG SCORE: 9.218181818181819     	AVG RATIO: 0.06186203959556001   	BEST SCORE: 27   	BEST RATIO: 0.08359133126934984   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 231   AVG SCORE: 8.600909090909092     	AVG RATIO: 0.06262252375556063   	BEST SCORE: 28   	BEST RATIO: 0.06466512702078522   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 232   AVG SCORE: 8.97                  	AVG RATIO: 0.06208989308867437   	BEST SCORE: 33   	BEST RATIO: 0.06573705179282868   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 233   AVG SCORE: 9.110909090909091     	AVG RATIO: 0.060739479013060496  	BEST SCORE: 32   	BEST RATIO: 0.07729468599033816   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 234   AVG SCORE: 9.001818181818182     	AVG RATIO: 0.058527070773095706  	BEST SCORE: 29   	BEST RATIO: 0.08169014084507042   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 235   AVG SCORE: 9.125454545454545     	AVG RATIO: 0.06112288115016531   	BEST SCORE: 30   	BEST RATIO: 0.0702576112412178    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 236   AVG SCORE: 9.078181818181818     	AVG RATIO: 0.06231281499059061   	BEST SCORE: 30   	BEST RATIO: 0.06578947368421052   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 237   AVG SCORE: 8.722727272727273     	AVG RATIO: 0.05985392138996208   	BEST SCORE: 28   	BEST RATIO: 0.07407407407407407   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 238   AVG SCORE: 8.905454545454546     	AVG RATIO: 0.06143726461434193   	BEST SCORE: 33   	BEST RATIO: 0.09243697478991597   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 239   AVG SCORE: 9.066363636363636     	AVG RATIO: 0.0606695630714129    	BEST SCORE: 30   	BEST RATIO: 0.06912442396313365   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
