GEN: 21    AVG FITNESS: 114.72876335251267    	AVG SCORE: 0.1690909090909091    	AVG RATIO: 0.02571013010071971   	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 22    AVG FITNESS: 107.0775583203253     	AVG SCORE: 0.15454545454545454   	AVG RATIO: 0.02481455984456205   	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 23    AVG FITNESS: 118.24434188825798    	AVG SCORE: 0.17                  	AVG RATIO: 0.02261100494159584   	BEST FITNESS: 5027.633040365744     	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 24    AVG FITNESS: 140.12113444869513    	AVG SCORE: 0.18727272727272729   	AVG RATIO: 0.023426716581839663  	BEST FITNESS: 5023.038198361497     	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 25    AVG FITNESS: 149.90264210920802    	AVG SCORE: 0.2018181818181818    	AVG RATIO: 0.023546644043794324  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 26    AVG FITNESS: 156.4520044215679     	AVG SCORE: 0.2081818181818182    	AVG RATIO: 0.03253141961382859   	BEST FITNESS: 9175.378187074351     	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 27    AVG FITNESS: 130.08449460819588    	AVG SCORE: 0.1890909090909091    	AVG RATIO: 0.027711111105535167  	BEST FITNESS: 5004.18860149733      	BEST SCORE: 3    	BEST RATIO: 0.08823529411764706   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 28    AVG FITNESS: 186.96466658534385    	AVG SCORE: 0.2309090909090909    	AVG RATIO: 0.027487789509937136  	BEST FITNESS: 14643.750125116621    	BEST SCORE: 5    	BEST RATIO: 0.15625               WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 29    AVG FITNESS: 214.58108102160992    	AVG SCORE: 0.24454545454545454   	AVG RATIO: 0.02974497814963309   	BEST FITNESS: 39386.639833765155    	BEST SCORE: 8    	BEST RATIO: 0.16326530612244897   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 30    AVG FITNESS: 227.22951443293232    	AVG SCORE: 0.2809090909090909    	AVG RATIO: 0.03546841667603902   	BEST FITNESS: 9186.292042124109     	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 31    AVG FITNESS: 215.16511816117824    	AVG SCORE: 0.25636363636363635   	AVG RATIO: 0.028161136380995433  	BEST FITNESS: 21386.85504479018     	BEST SCORE: 6    	BEST RATIO: 0.10714285714285714   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 32    AVG FITNESS: 269.12306042455924    	AVG SCORE: 0.3090909090909091    	AVG RATIO: 0.03483462922723406   	BEST FITNESS: 9167.35002491506      	BEST SCORE: 4    	BEST RATIO: 0.14285714285714285   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 33    AVG FITNESS: 227.4458437208469     	AVG SCORE: 0.2863636363636364    	AVG RATIO: 0.034675230176887006  	BEST FITNESS: 9181.016834159147     	BEST SCORE: 4    	BEST RATIO: 0.19047619047619047   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 34    AVG FITNESS: 269.5873738337832     	AVG SCORE: 0.2927272727272727    	AVG RATIO: 0.03407661142846049   	BEST FITNESS: 21436.71983542815     	BEST SCORE: 6    	BEST RATIO: 0.13043478260869565   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 35    AVG FITNESS: 325.3626578614381     	AVG SCORE: 0.3409090909090909    	AVG RATIO: 0.03863626213461779   	BEST FITNESS: 21491.477660892382    	BEST SCORE: 6    	BEST RATIO: 0.17647058823529413   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 36    AVG FITNESS: 557.4862048822848     	AVG SCORE: 0.41909090909090907   	AVG RATIO: 0.037341002984492326  	BEST FITNESS: 77492.68261498278     	BEST SCORE: 11   	BEST RATIO: 0.0873015873015873    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 37    AVG FITNESS: 486.22793675904194    	AVG SCORE: 0.41545454545454547   	AVG RATIO: 0.04253817198049324   	BEST FITNESS: 50264.93281689876     	BEST SCORE: 9    	BEST RATIO: 0.10112359550561797   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 38    AVG FITNESS: 665.0903429316501     	AVG SCORE: 0.47363636363636363   	AVG RATIO: 0.03875853265605828   	BEST FITNESS: 63140.66030726172     	BEST SCORE: 10   	BEST RATIO: 0.10989010989010989   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 39    AVG FITNESS: 815.5079531546858     	AVG SCORE: 0.5272727272727272    	AVG RATIO: 0.042146789740495294  	BEST FITNESS: 140053.37396236276    	BEST SCORE: 14   	BEST RATIO: 0.0660377358490566    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 40    AVG FITNESS: 1119.2274479637838    	AVG SCORE: 0.66                  	AVG RATIO: 0.04299827562517752   	BEST FITNESS: 62991.810732683385    	BEST SCORE: 10   	BEST RATIO: 0.0970873786407767    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 41    AVG FITNESS: 2128.71737352938      	AVG SCORE: 0.899090909090909     	AVG RATIO: 0.04623013094333872   	BEST FITNESS: 141556.02469050037    	BEST SCORE: 14   	BEST RATIO: 0.09523809523809523   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 42    AVG FITNESS: 4470.057088710173     	AVG SCORE: 1.2736363636363637    	AVG RATIO: 0.04466091708838113   	BEST FITNESS: 760324.6834467154     	BEST SCORE: 19   	BEST RATIO: 0.084070796460177     WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 43    AVG FITNESS: 8283.211270546177     	AVG SCORE: 1.7645454545454546    	AVG RATIO: 0.048958321916653454  	BEST FITNESS: 759099.8396990636     	BEST SCORE: 19   	BEST RATIO: 0.07335907335907337   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 44    AVG FITNESS: 23550.622220653877    	AVG SCORE: 2.1463636363636365    	AVG RATIO: 0.049932392137382264  	BEST FITNESS: 8740695.706170745     	BEST SCORE: 23   	BEST RATIO: 0.08646616541353383   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 45    AVG FITNESS: 2030888.1180884673    	AVG SCORE: 2.74                  	AVG RATIO: 0.049959076361677894  	BEST FITNESS: 2148136027.793838     	BEST SCORE: 31   	BEST RATIO: 0.07542579075425791   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 46    AVG FITNESS: 1733792.804319108     	AVG SCORE: 4.798181818181818     	AVG RATIO: 0.06530737822175779   	BEST FITNESS: 1074351849.48531      	BEST SCORE: 30   	BEST RATIO: 0.07731958762886598   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 47    AVG FITNESS: 2652411.3155812384    	AVG SCORE: 4.8963636363636365    	AVG RATIO: 0.06080419305400254   	BEST FITNESS: 2148137915.357449     	BEST SCORE: 31   	BEST RATIO: 0.08010335917312661   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 48    AVG FITNESS: 546780.3106846343     	AVG SCORE: 4.77                  	AVG RATIO: 0.06502798654132229   	BEST FITNESS: 134706571.57819498    	BEST SCORE: 27   	BEST RATIO: 0.0743801652892562    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 49    AVG FITNESS: 3563950.3092449754    	AVG SCORE: 4.650909090909091     	AVG RATIO: 0.0636041359375714    	BEST FITNESS: 2148132152.5878973    	BEST SCORE: 31   	BEST RATIO: 0.06753812636165578   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 50    AVG FITNESS: 10694341.79838334     	AVG SCORE: 4.335454545454546     	AVG RATIO: 0.053345016075341145  	BEST FITNESS: 8590671988.058268     	BEST SCORE: 33   	BEST RATIO: 0.06573705179282868   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 51    AVG FITNESS: 9899764.369718        	AVG SCORE: 5.074545454545454     	AVG RATIO: 0.05404794293037988   	BEST FITNESS: 4295645827.443073     	BEST SCORE: 32   	BEST RATIO: 0.05063291139240506   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 52    AVG FITNESS: 16588018.037626524    	AVG SCORE: 5.1909090909090905    	AVG RATIO: 0.04814480156983781   	BEST FITNESS: 8590668305.676504     	BEST SCORE: 33   	BEST RATIO: 0.06088560885608856   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
