GEN: 41    BEST FITNESS: 274878872616.04456       	BEST SCORE: 38   	BEST RATIO: 0.04909560723514212      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 68720363860.80193        	BEST SCORE: 36   	BEST RATIO: 0.07003891050583658      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 274878880271.4537        	BEST SCORE: 38   	BEST RATIO: 0.053445850914205346     WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 549756853444.2393        	BEST SCORE: 39   	BEST RATIO: 0.06210191082802548      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 137439890003.84964       	BEST SCORE: 37   	BEST RATIO: 0.06690777576853527      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 549756864613.422         	BEST SCORE: 39   	BEST RATIO: 0.07330827067669173      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 1099512715426.4636       	BEST SCORE: 40   	BEST RATIO: 0.05649717514124294      WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 1099512700555.485        	BEST SCORE: 40   	BEST RATIO: 0.04866180048661801      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 68720361606.17346        	BEST SCORE: 36   	BEST RATIO: 0.06716417910447761      WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 2199024415889.097        	BEST SCORE: 41   	BEST RATIO: 0.06776859504132231      WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 549756850446.2761        	BEST SCORE: 39   	BEST RATIO: 0.05972434915773354      WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 1099512718847.7002       	BEST SCORE: 40   	BEST RATIO: 0.05873715124816446      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 274878883846.4319        	BEST SCORE: 38   	BEST RATIO: 0.055800293685756244     WON: 0    	WON AVG RATIO: 0                        	
GEN: 54    BEST FITNESS: 2199024390496.2217       	BEST SCORE: 41   	BEST RATIO: 0.05131414267834793      WON: 0    	WON AVG RATIO: 0                        	
GEN: 55    BEST FITNESS: 2199024392262.517        	BEST SCORE: 41   	BEST RATIO: 0.05216284987277354      WON: 0    	WON AVG RATIO: 0                        	
GEN: 56    BEST FITNESS: 281474978276236.94       	BEST SCORE: 48   	BEST RATIO: 0.04923076923076923      WON: 0    	WON AVG RATIO: 0                        	
GEN: 57    BEST FITNESS: 281474978263142.94       	BEST SCORE: 48   	BEST RATIO: 0.04575786463298379      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 2251799815451913.0       	BEST SCORE: 51   	BEST RATIO: 0.047397769516728624     WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 4503599629177993.0       	BEST SCORE: 52   	BEST RATIO: 0.04156674660271783      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 281474978270079.9        	BEST SCORE: 48   	BEST RATIO: 0.047524752475247525     WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 1125899908478179.2       	BEST SCORE: 50   	BEST RATIO: 0.036683785766691124     WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 4503599629198514.0       	BEST SCORE: 52   	BEST RATIO: 0.045178105994787145     WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 2251799815430258.5       	BEST SCORE: 51   	BEST RATIO: 0.04300168634064081      WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 9007199256630422.0       	BEST SCORE: 53   	BEST RATIO: 0.043124491456468676     WON: 0    	WON AVG RATIO: 0                        	
GEN: 65    BEST FITNESS: 9007199256619144.0       	BEST SCORE: 53   	BEST RATIO: 0.041341653666146644     WON: 0    	WON AVG RATIO: 0                        	
GEN: 66    BEST FITNESS: 1125899908531932.2       	BEST SCORE: 50   	BEST RATIO: 0.045871559633027525     WON: 0    	WON AVG RATIO: 0                        	

