
GEN: 41    BEST FITNESS: 1099512726914.478        	BEST SCORE: 40   	BEST RATIO: 0.06493506493506493      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 70368745645813.55        	BEST SCORE: 46   	BEST RATIO: 0.06415620641562064      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 1099512719351.1091       	BEST SCORE: 40   	BEST RATIO: 0.059084194977843424     WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 2199024412358.6265       	BEST SCORE: 41   	BEST RATIO: 0.06477093206951026      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 1099512729467.3464       	BEST SCORE: 40   	BEST RATIO: 0.06722689075630252      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 1099512729709.0732       	BEST SCORE: 40   	BEST RATIO: 0.06745362563237774      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 4398047719356.874        	BEST SCORE: 42   	BEST RATIO: 0.059322033898305086     WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 2199024376625.2847       	BEST SCORE: 41   	BEST RATIO: 0.04560622914349277      WON: 0    	WON AVG RATIO: 0                        	

GEN: 1     BEST FITNESS: 2149.79154254127         	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 2     BEST FITNESS: 2146.7156767413435       	BEST SCORE: 2    	BEST RATIO: 0.07142857142857142      WON: 0    	WON AVG RATIO: 0                        	
GEN: 3     BEST FITNESS: 504.3120139340182        	BEST SCORE: 1    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 4     BEST FITNESS: 2149.988999664993        	BEST SCORE: 2    	BEST RATIO: 0.18181818181818182      WON: 0    	WON AVG RATIO: 0                        	
GEN: 5     BEST FITNESS: 2149.986294709256        	BEST SCORE: 2    	BEST RATIO: 0.2                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 6     BEST FITNESS: 5023.896182881493        	BEST SCORE: 3    	BEST RATIO: 0.1875                   WON: 0    	WON AVG RATIO: 0                        	
GEN: 7     BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 8     BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 9     BEST FITNESS: 5010.465200741229        	BEST SCORE: 3    	BEST RATIO: 0.10344827586206896      WON: 0    	WON AVG RATIO: 0                        	
GEN: 10    BEST FITNESS: 5026.96582588445         	BEST SCORE: 3    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 11    BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      WON: 0    	WON AVG RATIO: 0                        	
GEN: 12    BEST FITNESS: 20974.482940075504       	BEST SCORE: 6    	BEST RATIO: 0.04838709677419355      WON: 0    	WON AVG RATIO: 0                        	
GEN: 13    BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 14    BEST FITNESS: 5023.896182881493        	BEST SCORE: 3    	BEST RATIO: 0.1875                   WON: 0    	WON AVG RATIO: 0                        	
GEN: 15    BEST FITNESS: 5029.352235031539        	BEST SCORE: 3    	BEST RATIO: 0.375                    WON: 0    	WON AVG RATIO: 0                        	
GEN: 16    BEST FITNESS: 9191.162099733898        	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 17    BEST FITNESS: 5023.896182881493        	BEST SCORE: 3    	BEST RATIO: 0.1875                   WON: 0    	WON AVG RATIO: 0                        	
GEN: 18    BEST FITNESS: 5027.633040365744        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       WON: 0    	WON AVG RATIO: 0                        	
GEN: 19    BEST FITNESS: 9092.88020852836         	BEST SCORE: 4    	BEST RATIO: 0.06896551724137931      WON: 0    	WON AVG RATIO: 0                        	
GEN: 20    BEST FITNESS: 5023.896182881493        	BEST SCORE: 3    	BEST RATIO: 0.1875                   WON: 0    	WON AVG RATIO: 0                        	
GEN: 21    BEST FITNESS: 14650.038169180392       	BEST SCORE: 5    	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 22    BEST FITNESS: 5022.147118486193        	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 23    BEST FITNESS: 5023.038198361497        	BEST SCORE: 3    	BEST RATIO: 0.17647058823529413      WON: 0    	WON AVG RATIO: 0                        	
GEN: 24    BEST FITNESS: 9142.685946958687        	BEST SCORE: 4    	BEST RATIO: 0.10256410256410256      WON: 0    	WON AVG RATIO: 0                        	
GEN: 25    BEST FITNESS: 9169.408691482031        	BEST SCORE: 4    	BEST RATIO: 0.14814814814814814      WON: 0    	WON AVG RATIO: 0                        	
GEN: 26    BEST FITNESS: 9175.378187074351        	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      WON: 0    	WON AVG RATIO: 0                        	
GEN: 27    BEST FITNESS: 14588.275279403013       	BEST SCORE: 5    	BEST RATIO: 0.10416666666666667      WON: 0    	WON AVG RATIO: 0                        	
GEN: 28    BEST FITNESS: 14681.441122662307       	BEST SCORE: 5    	BEST RATIO: 0.2631578947368421       WON: 0    	WON AVG RATIO: 0                        	
GEN: 29    BEST FITNESS: 14627.357445794212       	BEST SCORE: 5    	BEST RATIO: 0.13513513513513514      WON: 0    	WON AVG RATIO: 0                        	
GEN: 30    BEST FITNESS: 14681.441122662307       	BEST SCORE: 5    	BEST RATIO: 0.2631578947368421       WON: 0    	WON AVG RATIO: 0                        	
GEN: 31    BEST FITNESS: 9171.433554439702        	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      WON: 0    	WON AVG RATIO: 0                        	
GEN: 32    BEST FITNESS: 9195.571285864862        	BEST SCORE: 4    	BEST RATIO: 0.3333333333333333       WON: 0    	WON AVG RATIO: 0                        	
GEN: 33    BEST FITNESS: 9192.68633409604         	BEST SCORE: 4    	BEST RATIO: 0.2857142857142857       WON: 0    	WON AVG RATIO: 0                        	
GEN: 34    BEST FITNESS: 9167.35002491506         	BEST SCORE: 4    	BEST RATIO: 0.14285714285714285      WON: 0    	WON AVG RATIO: 0                        	
GEN: 35    BEST FITNESS: 21294.686234036628       	BEST SCORE: 6    	BEST RATIO: 0.0821917808219178       WON: 0    	WON AVG RATIO: 0                        	
GEN: 36    BEST FITNESS: 9173.423708485365        	BEST SCORE: 4    	BEST RATIO: 0.16                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 37    BEST FITNESS: 29595.19041280447        	BEST SCORE: 7    	BEST RATIO: 0.11475409836065574      WON: 0    	WON AVG RATIO: 0                        	
