GEN: 41    BEST FITNESS: 137439888816.43915       	BEST SCORE: 37   	BEST RATIO: 0.06560283687943262      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 17180654691.134056       	BEST SCORE: 34   	BEST RATIO: 0.06692913385826772      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 17180643649.250515       	BEST SCORE: 34   	BEST RATIO: 0.05475040257648953      WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 4398047712525.93         	BEST SCORE: 42   	BEST RATIO: 0.055408970976253295     WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 34360565218.286674       	BEST SCORE: 35   	BEST RATIO: 0.05862646566164154      WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 17180647338.00788        	BEST SCORE: 34   	BEST RATIO: 0.05821917808219178      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 17180648323.052372       	BEST SCORE: 34   	BEST RATIO: 0.059233449477351915     WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 68720356484.25043        	BEST SCORE: 36   	BEST RATIO: 0.06153846153846154      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 68720344740.1961         	BEST SCORE: 36   	BEST RATIO: 0.05194805194805195      WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 34360562419.046616       	BEST SCORE: 35   	BEST RATIO: 0.05608974358974359      WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 34360561058.022736       	BEST SCORE: 35   	BEST RATIO: 0.054945054945054944     WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 17180645452.354347       	BEST SCORE: 34   	BEST RATIO: 0.05638474295190713      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 137439883997.3978        	BEST SCORE: 37   	BEST RATIO: 0.06085526315789474      WON: 0    	WON AVG RATIO: 0                        	
GEN: 54    BEST FITNESS: 2148130666.6149125       	BEST SCORE: 31   	BEST RATIO: 0.0649895178197065       WON: 0    	WON AVG RATIO: 0                        	
GEN: 55    BEST FITNESS: 8590668305.676504        	BEST SCORE: 33   	BEST RATIO: 0.06088560885608856      WON: 0    	WON AVG RATIO: 0                        	
GEN: 56    BEST FITNESS: 549756850566.8716        	BEST SCORE: 39   	BEST RATIO: 0.0598159509202454       WON: 0    	WON AVG RATIO: 0                        	
GEN: 57    BEST FITNESS: 549756850325.6249        	BEST SCORE: 39   	BEST RATIO: 0.05963302752293578      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 1099512715043.8574       	BEST SCORE: 40   	BEST RATIO: 0.05625879043600562      WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 2199024393750.2          	BEST SCORE: 41   	BEST RATIO: 0.05290322580645161      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 35184373474440.01        	BEST SCORE: 45   	BEST RATIO: 0.05521472392638037      WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 17592187385615.832       	BEST SCORE: 44   	BEST RATIO: 0.0658682634730539       WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 34360560216.267555       	BEST SCORE: 35   	BEST RATIO: 0.05426356589147287      WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 1099512722849.5994       	BEST SCORE: 40   	BEST RATIO: 0.061633281972265024     WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 274878869648.8811        	BEST SCORE: 38   	BEST RATIO: 0.047619047619047616     WON: 0    	WON AVG RATIO: 0                        	

