GEN: 30    AVG FITNESS: 3836.359742800458        	AVG SCORE: 0.904     	AVG RATIO: 0.0367943343237413       	BEST SCORE: 20   	BEST RATIO: 0.046620046620046623     TOO_OLD: 80      	WON: 0    	
GEN: 31    AVG FITNESS: 4809.37118870475         	AVG SCORE: 0.983     	AVG RATIO: 0.039042020811819844     	BEST SCORE: 19   	BEST RATIO: 0.051490514905149054     TOO_OLD: 55      	WON: 0    	
GEN: 32    AVG FITNESS: 6606.213566638253        	AVG SCORE: 1.1       	AVG RATIO: 0.03785402112942634      	BEST SCORE: 20   	BEST RATIO: 0.05235602094240838      TOO_OLD: 81      	WON: 0    	
GEN: 33    AVG FITNESS: 9268.839956861308        	AVG SCORE: 1.164     	AVG RATIO: 0.04133229174064342      	BEST SCORE: 22   	BEST RATIO: 0.046218487394957986     TOO_OLD: 61      	WON: 0    	
GEN: 34    AVG FITNESS: 4941.471198378188        	AVG SCORE: 1.03      	AVG RATIO: 0.04361265190329         	BEST SCORE: 18   	BEST RATIO: 0.07228915662650602      TOO_OLD: 40      	WON: 0    	
GEN: 35    AVG FITNESS: 3919.4421145438796       	AVG SCORE: 1.041     	AVG RATIO: 0.045111804472178885     	BEST SCORE: 17   	BEST RATIO: 0.06910569105691057      TOO_OLD: 34      	WON: 0    	
GEN: 36    AVG FITNESS: 5787.984711504488        	AVG SCORE: 1.041     	AVG RATIO: 0.04173348300192431      	BEST SCORE: 21   	BEST RATIO: 0.05121951219512195      TOO_OLD: 54      	WON: 0    	
GEN: 37    AVG FITNESS: 7125.205130762424        	AVG SCORE: 1.124     	AVG RATIO: 0.04468474198934563      	BEST SCORE: 21   	BEST RATIO: 0.06363636363636363      TOO_OLD: 40      	WON: 0    	
GEN: 38    AVG FITNESS: 9285.636906161879        	AVG SCORE: 1.372     	AVG RATIO: 0.04702172869970526      	BEST SCORE: 21   	BEST RATIO: 0.06930693069306931      TOO_OLD: 51      	WON: 0    	
GEN: 39    AVG FITNESS: 37644.81480692713        	AVG SCORE: 1.509     	AVG RATIO: 0.0494494691309477       	BEST SCORE: 24   	BEST RATIO: 0.07547169811320754      TOO_OLD: 47      	WON: 0    	
GEN: 40    AVG FITNESS: 55067.82735383772        	AVG SCORE: 1.849     	AVG RATIO: 0.04901518967208335      	BEST SCORE: 25   	BEST RATIO: 0.06544502617801047      TOO_OLD: 87      	WON: 0    	
GEN: 41    AVG FITNESS: 181212.82987765322       	AVG SCORE: 1.901     	AVG RATIO: 0.05081257350582701      	BEST SCORE: 27   	BEST RATIO: 0.04954128440366973      TOO_OLD: 52      	WON: 0    	
GEN: 42    AVG FITNESS: 142246.9790266314        	AVG SCORE: 1.904     	AVG RATIO: 0.050463821892393325     	BEST SCORE: 26   	BEST RATIO: 0.05327868852459016      TOO_OLD: 50      	WON: 0    	
GEN: 43    AVG FITNESS: 50073.5061655446         	AVG SCORE: 1.98      	AVG RATIO: 0.05134055904164289      	BEST SCORE: 23   	BEST RATIO: 0.06371191135734072      TOO_OLD: 57      	WON: 0    	
